#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 2.41585 fm^-1 (group = 3)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-268.96       3.12726e-16
-268.802       0.000527136
-267.769       8.71697e-18
-265.769       0.000805527
-263.415       1.5639e-17
-261.539       4.48216e-16
-261.523       0.000151133
-261.069       2.23977e-19
-261.069       3.95056e-18
-260.655       7.81914e-21
-260.655       4.80899e-18
-260.598       3.71293e-18
-260.598       4.55819e-18
-260.212       3.8936e-18
-260.212       6.32267e-19
-260.201       4.25731e-18
-259.96       3.77116e-18
-259.855       8.09602e-19
-259.734       1.02833e-17
-259.604       1.96485e-19
-258.483       3.17902e-17
-257.663       9.16634e-17
-257.663       3.51145e-18
-257.581       0.000876377
-257.183       4.77477e-18
-257.128       1.27601e-18
-257.128       2.78058e-17
-257.037       1.08464e-17
-256.639       1.94772e-18
-256.551       1.18269e-18
-256.551       2.02922e-17
-256.462       9.79522e-18
-255.959       2.5549e-17
-255.29       1.04179e-18
-255.29       6.19593e-17
-254.936       0.0023632
-254.018       2.64263e-17
-254.018       2.62651e-18
-253.478       4.23579e-18
-251.056       0.0024545
-227.238       1.42933e-18
-225.671       0.00194585
-224.442       1.14789e-17
-224.442       5.0307e-17
-224.408       8.15346e-18
-223.818       1.62703e-16
-223.656       0.00180816
-223.453       1.83284e-16
-223.428       3.72694e-19
-223.355       3.84009e-17
-223.214       7.28923e-17
-222.852       4.85634e-17
-222.803       1.59796e-17
-222.715       1.75506e-17
-222.509       1.97651e-17
-222.405       4.06835e-17
-220.673       0.00164569
-220.168       6.98008e-17
-220.155       0.000677574
-219.76       2.16276e-17
-219.142       2.71051e-18
-219.14       6.23416e-19
-218.858       0.00194581
-217.837       1.9082e-17
-217.744       0
-217.67       1.94289e-16
-217.48       0.0010937
-217.318       1.11022e-16
-216.915       9.56266e-17
-216.826       0.000915557
-216.596       1.249e-16
-216.328       0.00029548
-216.17       4.07317e-05
-215.914       1.59595e-16
-215.727       0.00186174
-215.466       9.64506e-16
-215.337       0.00198798
-215.169       6.93889e-17
-214.866       2.77556e-17
-214.58       3.46945e-18
-214.089       6.33174e-17
-213.499       6.93889e-18
-212.798       2.63678e-16
-212.617       5.96745e-16
-212.215       0.00164002
-212.124       8.32667e-17
-211.82       9.71445e-17
-211.624       6.31439e-16
-211.276       0.0034372
-211.046       6.93889e-17
-210.785       4.16334e-17
-210.55       3.46945e-17
-210.138       1.77809e-17
-209.873       6.93889e-17
-209.762       5.55112e-17
-209.41       9.02056e-17
-209.22       0.00645549
-209.168       2.93006e-16
-208.804       0.00251359
-208.669       2.99138e-16
-206.702       2.11692e-06
-205.238       0.00145218
-204.798       6.09051e-18
-204.3       8.93851e-19
-203.669       5.69107e-18
-202.683       1.02953e-17
-202.488       1.53563e-17
-202.015       0.000462617
-193.487       3.46945e-18
-189.534       2.97787e-17
-189.245       8.8174e-18
-189.069       2.95699e-17
-187.967       1.18175e-15
-187.925       0.00161353
-187.755       5.55112e-17
-187.712       3.46945e-17
-187.654       2.42861e-17
-187.023       4.85723e-17
-186.646       3.1225e-17
-186.63       5.55112e-17
-185.053       2.70617e-16
-184.955       3.33067e-16
-184.86       0
-184.224       2.19898e-15
-184.187       0.00586031
-182.638       0.000392597
-182.633       1.63151e-15
-181.97       8.41341e-17
-181.244       0.000876445
-180.881       0.000591583
-180.651       0.00048687
-180.442       5.55112e-17
-179.401       0.00156261
-179.097       1.52656e-16
-178.868       3.1225e-17
-177.483       0.00444433
-177.39       5.48173e-16
-177.224       2.56739e-16
-176.197       0.00327407
-175.8       5.55112e-17
-175.099       2.22045e-16
-175.019       0.00471566
-174.73       0.00180448
-173.728       0.000960751
-172.993       4.16334e-17
-172.918       0.00184232
-172.517       7.28584e-17
-172.131       1.38778e-17
-170.664       0.00126524
-169.661       5.20417e-18
-168.039       4.42354e-17
-167.921       6.41848e-17
-167.554       0.00337455
-166.493       1.38778e-17
-166.232       0.000438293
-166.01       0.000325179
-165.036       0
-164.195       0.000554426
-163.969       0.00100661
-163.34       0.000623671
-163.01       7.63278e-17
-162.709       0.000550568
-162.011       6.59195e-17
-161.14       9.02056e-17
-160.728       2.08167e-17
-160.044       0.00156603
-159.005       7.28584e-17
-158.139       8.50015e-17
-157.828       0.00436315
-157.683       0.00134578
-157.07       3.46945e-18
-156.607       0.00136782
-156.179       0.00326284
-155.902       1.73472e-16
-155.626       0.000990793
-154.99       0.000811288
-154.713       5.54027e-17
-154.276       4.33681e-17
-153.035       0.000202365
-152.507       7.97973e-17
-152.082       3.81639e-17
-151.187       1.38778e-17
-150.904       0.000207127
-150.734       6.93889e-18
-150.531       6.93889e-17
-150.044       5.55112e-17
-149.624       1.21431e-16
-149.273       1.04083e-17
-149.034       0.000332405
-148.947       1.5786e-16
-148.864       5.20417e-17
-148.573       0.00724459
-148.332       1.22223e-16
-147.203       1.70752e-17
-145.874       1.89313e-17
-145.841       2.90278e-18
-145.819       3.17274e-17
-144.188       0.000707614
-144.026       3.69936e-17
-143.989       5.49793e-18
-137.494       0.00250983
-125.042       1.21971e-17
-124.993       2.63724e-17
-124.922       2.96483e-17
-124.176       3.79539e-16
-124.003       1.11413e-15
-123.971       0.00110771
-123.861       6.45317e-16
-123.833       1.249e-16
-123.426       5.20417e-18
-123.127       6.93889e-17
-123.103       1.38778e-16
-122.872       3.46945e-17
-122.715       2.08167e-17
-122.671       1.52656e-16
-122.569       6.93889e-18
-122.28       2.21177e-17
-120.528       1.04083e-17
-120.344       2.08167e-17
-120.102       2.77556e-17
-119.796       1.17961e-16
-119.756       0.00204033
-119.691       4.16334e-17
-119.537       2.77556e-17
-119.179       4.16334e-17
-118.816       5.55112e-17
-118.783       0.00161245
-118.42       1.52656e-16
-118.24       1.73472e-16
-117.901       4.16334e-17
-117.645       1.31839e-16
-117.567       1.31839e-16
-117.141       0.00102596
-116.738       6.75133e-16
-116.719       0.0104653
-116.636       9.02056e-17
-116.527       1.63064e-16
-116.341       4.16334e-17
-116.297       1.59595e-16
-115.542       0.00219636
-115.415       2.34188e-16
-115.334       2.38308e-16
-114.844       3.72966e-17
-114.742       2.81025e-16
-114.739       4.85723e-17
-114.052       2.17696e-17
-113.865       1.95021e-17
-113.507       1.74006e-17
-113.137       7.89977e-17
-113.087       3.1493e-16
-113.015       0.000533606
-112.839       3.62056e-17
-112.817       1.36579e-16
-112.72       1.38968e-16
-112.614       0.00270871
-112.308       1.06171e-16
-111.245       1.66533e-16
-111.245       2.02684e-17
-111.195       4.4607e-17
-109.966       0.00141703
-109.495       2.17064e-17
-109.495       1.79765e-17
-108.701       7.61121e-18
-107.671       0.000870768
-86.0001       8.67355e-18
-84.9181       1.69762e-17
-84.9181       8.39896e-18
-84.5416       7.22293e-18
-84.3583       5.4687e-18
-84.2061       4.18142e-17
-84.2061       1.42407e-17
-84.1224       5.80088e-18
-84.1224       2.61029e-17
-83.7256       8.01577e-18
-83.7012       2.96783e-19
-83.7       1.02192e-17
-83.6739       3.9278e-18
-83.2656       6.05608e-17
-83.2656       7.42555e-18
-82.7229       1.24773e-17
-82.1728       1.16654e-17
-81.5173       3.39224e-18
-81.5173       4.43948e-17
-80.956       4.36793e-15
-80.7949       0.00809909
