#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 2.54653 fm^-1      and E_F = -52.0162 MeV
#
#
#    E              |M_kE|^2

-282.432       -1.99709e-15
-282.116       -0.118266
-281.617       -3.53501e-15
-278.826       0.315673
-248.074       5.77814e-16
-246.994       -0.0253376
-246.803       -1.08833e-15
-245.891       -9.05533e-17
-244.333       1.01968e-15
-243.823       0.218703
-242.75       -0.109966
-242.667       -2.33752e-14
-240.956       0.360326
-240.232       -6.3282e-16
-239.788       6.38451e-16
-239.421       -2.46957e-15
-239.312       -3.98693e-15
-239.288       5.49495e-14
-239.228       -0.0227855
-239.065       5.85721e-16
-239.06       1.20131e-15
-238.953       -2.13618e-17
-238.71       -8.28625e-15
-238.618       0.0476569
-238.542       -3.38781e-15
-238.451       -1.68904e-15
-238.368       -5.74525e-16
-238.26       -5.14402e-16
-238.094       -7.7761e-16
-238.029       -7.00547e-15
-237.868       0.107399
-237.834       1.17584e-14
-237.709       2.56995e-14
-237.677       -0.0896903
-237.626       -1.31037e-15
-237.52       -2.14237e-15
-237.168       -4.26447e-15
-237.069       0.0451873
-236.808       9.6142e-14
-236.797       -0.200685
-236.766       -6.13143e-14
-236.698       -1.13956e-14
-236.583       -8.79165e-15
-236.513       -2.23699e-15
-236.471       -4.50057e-15
-236.191       0.0520917
-235.998       7.74475e-16
-235.388       1.52105e-15
-235.113       1.39911e-14
-234.95       -0.24418
-234.789       0.215874
-234.345       6.43431e-15
-234.037       4.92504e-15
-234.004       -0.0379575
-233.689       -6.96456e-15
-233.319       0.326958
-233.1       2.39737e-16
-232.841       -0.00586637
-232.657       -2.91844e-16
-232.474       0.452643
-232.318       2.21937e-14
-232.141       -0.301668
-232.025       -2.5055e-15
-231.841       0.0711824
-231.693       -0.651807
-231.374       -0.0826784
-231.303       5.95922e-15
-230.56       2.97562e-15
-230.525       8.40199e-15
-229.517       5.52761e-15
-229.075       -0.500245
-228.336       -1.14292e-15
-227.919       -0.158618
-227.403       1.04015
-211.917       7.16341e-16
-210.944       -0.0169729
-210.813       -3.7e-16
-210.754       -3.01858e-15
-210.19       0.136214
-210.048       1.69897e-15
-209.894       2.56444e-16
-209.452       1.16081e-15
-209.235       -0.0830708
-209.061       -4.51246e-15
-208.01       -1.06577e-15
-206.835       0.315368
-205.906       -0.200269
-205.687       -1.94371e-15
-205.456       -3.84285e-15
-205.024       0.195255
-204.284       -0.522899
-204.243       0.557257
-203.018       -0.326731
-202.491       -0.182827
-202.265       0.109422
-202.185       0.137452
-201.834       -0.169695
-201.728       -0.226596
-201.576       0.194596
-201.393       0.0177508
-201.291       0.271399
-201.055       -0.396335
-200.734       0.0751502
-198.943       0.145215
-198.452       -0.183954
-198.163       0.304629
-197.964       0.235738
-197.775       0.693436
-197.603       -0.811891
-196.974       -0.213072
-196.866       -0.0567867
-196.69       0.285767
-196.293       0.0887225
-195.798       0.285132
-195.515       -0.2124
-195.191       -0.299416
-194.815       0.587584
-194.519       0.689587
-194.209       -0.265012
-193.971       -0.550047
-193.681       -0.614171
-193.465       0.574053
-192.79       0.19945
-192.237       -0.257175
-192.116       -0.41219
-191.899       -0.225924
-191.537       -0.0564068
-191.272       0.513478
-190.819       0.220878
-190.577       -0.421366
-190.09       -0.0182992
-189.824       -0.202925
-189.583       -0.181312
-189.312       0.18701
-189.109       0.231379
-188.666       -0.771259
-188.639       -0.547028
-187.803       0.719728
-187.776       0.225925
-187.154       -0.0677064
-187.139       -8.34823e-07
-185.883       -0.103765
-185.619       0.0166956
-184.488       0.398753
-182.376       -0.326929
-182.196       0.352644
-181.393       -0.0358354
-180.15       0.134005
-179.832       -0.115886
-179.534       0.127804
-178.921       -0.159737
-177.927       0.0165142
-177.059       7.04267e-16
-175.537       1.37571e-15
-175.435       1.19504e-15
-174.621       -0.249911
-174.337       -3.25196e-15
-173.837       -1.76211e-15
-172.88       0.00511697
-172.61       -0.770303
-172.386       -1.35472e-15
-171.233       -6.43282e-16
-170.729       0.170855
-169.201       2.27885e-15
-168.427       -0.198107
-166.863       -1.04306e-15
-166.539       -1.2059e-15
-166.107       0.0285063
-165.858       -0.0263645
-165.439       -6.32602e-16
-164.954       -1.12075e-15
-163.712       -2.03139e-16
-163.514       -5.476e-15
-162.585       1.94305e-12
-162.584       0.492798
-162.428       -4.72137e-15
-161.911       -0.824369
-161.537       1.10344e-14
-161.239       1.28001e-15
-160.354       0.098869
-160.346       -1.34976e-13
-160.049       -0.0447032
-159.8       2.7158e-15
-158.996       0.356587
-158.99       -2.36498e-13
-157.838       -0.205252
-150.949       1.00687e-15
-149.321       0.429915
-148       -2.35586e-15
-147.315       -8.87612e-16
-147.091       -2.34556e-15
-146.715       -6.17527e-15
-146.632       -0.18327
-146.08       2.46289e-16
-145.843       0.0927928
-145.599       -1.66526e-15
-144.363       -7.07052e-16
-143.603       -0.00554385
-143.275       0.638402
-142.349       -0.0210049
-142.073       0.0583317
-141.783       0.182072
-141.692       -0.264646
-141.076       0.240437
-140.663       0.0622514
-140.504       0.0407246
-140.347       0.10595
-140.08       -0.38877
-139.754       0.0848082
-139.702       0.482755
-139.443       0.247009
-139.201       -0.187585
-139.092       -0.436387
-138.665       0.344171
-138.276       5.36585e-08
-138.09       0.0228182
-137.355       0.203374
-137.23       -0.0378569
-137.093       -0.23878
-136.832       0.699931
-136.431       0.0996481
-136.269       0.12702
-136.019       -0.0656641
-135.555       -0.199327
-135.402       -0.0488328
-135.332       -0.445232
-135.269       0.0733158
-135.171       0.0126436
-135.06       0.0603012
-134.891       0.331944
-134.175       -0.619483
-133.934       0.658871
-133.706       0.305196
-133.539       0.48685
-133.175       -0.915114
-132.994       0.11952
-132.773       0.106931
-131.766       -0.319724
-131.628       -0.156164
-131.295       0.36085
-131.035       -0.146887
-130.483       -3.18307e-17
-130.352       -0.162543
-130.165       0.336163
-129.936       -0.0307042
-129.871       -4.87814e-17
-129.451       0.39345
-128.904       -0.603576
-128.744       -2.15309e-15
-128.731       -1.31559e-15
-128.318       -5.07075e-15
-128.208       -3.08546e-17
-128.087       -6.20612e-15
-127.937       0.193144
-127.902       1.87423e-14
-127.617       -0.503498
-127.589       -1.34771e-13
-127.445       0.160005
-126.915       3.97113e-15
-126.732       -0.186897
-126.549       -1.05788e-14
-126.471       0.239326
-125.055       -0.58956
-116.354       0.402168
-106.633       -5.57802e-16
-105.586       6.62571e-16
-105.523       -2.1247e-16
-105.454       -0.00758939
-105.146       3.70228e-16
-105.122       -3.65358e-16
-104.708       -2.25132e-16
-104.24       5.72085e-16
-102.837       -3.98893e-16
-102.689       2.35186e-16
-102.357       1.5773e-16
-102.266       -0.211068
-102.209       -3.06842e-17
-102.152       -2.5725e-16
-102.149       -1.03004e-16
-101.967       -1.68974e-17
-101.485       2.24439e-16
-101.461       -3.24821e-17
-101.214       3.40534e-16
-101.072       0.642539
-100.995       2.9759e-17
-100.961       -1.80028e-16
-100.781       7.01039e-17
