#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 1.39479 fm^-1 (group = 10)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = -42.44 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-153.773      -46.6314       2.09419            1.39479
-153.073      -47.332       1.99422            1.39479
-152.373      -47.99       2.14503            1.39479
-151.673      -48.4959       2.69428            1.39479
-150.973      -48.3233       3.47813            1.39479
-150.273      -47.6738       3.53345            1.39479
-149.573      -47.4311       3.23193            1.39479
-148.873      -47.309       2.93804            1.39479
-148.173      -47.2648       2.41297            1.39479
-147.473      -47.6946       1.84482            1.39479
-146.773      -48.3756       1.60129            1.39479
-146.073      -49.1033       1.65603            1.39479
-145.373      -49.7943       2.02413            1.39479
-144.673      -50.2074       2.7301            1.39479
-143.973      -50.0756       3.39901            1.39479
-143.273      -49.7623       3.43861            1.39479
-142.573      -50.212       3.23901            1.39479
-141.873      -51.1611       3.82038            1.39479
-141.173      -51.744       5.66444            1.39479
-140.473      -50.0244       8.34232            1.39479
-139.773      -46.1232       7.84586            1.39479
-139.073      -44.9735       4.94803            1.39479
-138.373      -45.6557       3.07164            1.39479
-137.673      -46.6059       2.129            1.39479
-136.973      -47.4853       1.65035            1.39479
-136.273      -48.2761       1.40523            1.39479
-135.573      -49.0107       1.29381            1.39479
-134.873      -49.7242       1.27501            1.39479
-134.173      -50.4488       1.33904            1.39479
-133.473      -51.2165       1.50178            1.39479
-132.773      -52.0574       1.81631            1.39479
-132.073      -52.9788       2.41142            1.39479
-131.373      -53.8315       3.56318            1.39479
-130.673      -53.7927       5.46397            1.39479
-129.973      -51.9046       6.33266            1.39479
-129.273      -51.0302       4.90797            1.39479
-128.573      -51.9508       3.81895            1.39479
-127.873      -53.4265       3.62932            1.39479
-127.173      -55.0834       4.19493            1.39479
-126.473      -56.7334       5.69594            1.39479
-125.773      -57.576       8.38487            1.39479
-125.073      -56.4594       10.9954            1.39479
-124.373      -55.0378       11.8409            1.39479
-123.673      -54.6591       12.1671            1.39479
-122.973      -55.7267       13.6794            1.39479
-122.273      -55.0856       18.4836            1.39479
-121.573      -48.6378       21.8823            1.39479
-120.873      -42.4568       18.4627            1.39479
-120.173      -41.4536       13.5968            1.39479
-119.473      -42.649       11.0213            1.39479
-118.773      -44.1806       9.85323            1.39479
-118.073      -45.6952       10.3888            1.39479
-117.373      -45.2913       12.1774            1.39479
-116.673      -42.9113       12.0778            1.39479
-115.973      -41.8994       10.3794            1.39479
-115.273      -41.7884       8.71059            1.39479
-114.573      -42.4907       7.30148            1.39479
-113.873      -43.6418       6.5572            1.39479
-113.173      -44.7929       6.51438            1.39479
-112.473      -45.4989       6.92222            1.39479
-111.773      -46.1488       7.30052            1.39479
-111.073      -46.5383       8.37643            1.39479
-110.373      -46.0668       9.58667            1.39479
-109.673      -44.0491       10.2763            1.39479
-108.973      -42.4586       8.09681            1.39479
-108.273      -43.5466       5.9172            1.39479
-107.573      -45.5881       5.13614            1.39479
-106.873      -47.87       5.49094            1.39479
-106.173      -50.2912       7.1085            1.39479
-105.473      -52.3972       10.8497            1.39479
-104.773      -51.436       17.7604            1.39479
-104.073      -42.4446       22.2911            1.39479
-103.373      -34.9349       16.5135            1.39479
-102.673      -35.0185       10.5519            1.39479
-101.973      -37.1737       8.13087            1.39479
-101.273      -38.559       8.30756            1.39479
-100.573      -37.2941       8.83624            1.39479
-99.8732      -35.7961       6.61848            1.39479
-99.1732      -36.4206       4.22327            1.39479
-98.4732      -37.6407       2.8572            1.39479
-97.7732      -38.7806       2.10408            1.39479
-97.0732      -39.7546       1.65657            1.39479
-96.3732      -40.5887       1.37067            1.39479
-95.6732      -41.3174       1.17806            1.39479
-94.9732      -41.9684       1.04384            1.39479
-94.2732      -42.5624       0.948917            1.39479
-93.5732      -43.1152       0.88227            1.39479
-92.8732      -43.639       0.837404            1.39479
-92.1732      -44.1441       0.810589            1.39479
-91.4732      -44.6393       0.800012            1.39479
-90.7732      -45.133       0.805458            1.39479
-90.0732      -45.6337       0.828396            1.39479
-89.3732      -46.1507       0.872607            1.39479
-88.6732      -46.694       0.945788            1.39479
-87.9732      -47.2731       1.06281            1.39479
-87.2732      -47.8856       1.24539            1.39479
-86.5732      -48.5212       1.48484            1.39479
-85.8732      -49.2639       1.79129            1.39479
-85.1732      -50.1413       2.34919            1.39479
-84.4732      -50.9384       3.36936            1.39479
-84.3532      -51.0274       3.59301            1.39479
-84.2332      -51.0924       3.8237            1.39479
-84.1132      -51.1309       4.05508            1.39479
-83.9932      -51.1423       4.27932            1.39479
-83.8732      -51.1292       4.48784            1.39479
-83.7532      -51.0974       4.67255            1.39479
-83.6332      -51.0562       4.82744            1.39479
-83.5132      -51.0174       4.95008            1.39479
-83.3932      -50.9935       5.04264            1.39479
-83.2732      -50.9958       5.11194            1.39479
-83.1532      -51.0325       5.16837            1.39479
-83.0332      -51.1077       5.22427            1.39479
-82.9132      -51.2216       5.29208            1.39479
-82.7932      -51.3713       5.38316            1.39479
-82.6732      -51.5514       5.5072            1.39479
-82.5532      -51.7555       5.67221            1.39479
-82.4332      -51.9763       5.8849            1.39479
-82.3132      -52.2059       6.15108            1.39479
-82.1932      -52.4359       6.47612            1.39479
-82.0732      -52.6566       6.86505            1.39479
-81.9532      -52.8565       7.32256            1.39479
-81.8332      -53.022       7.85251            1.39479
-81.7132      -53.1362       8.45714            1.39479
-81.5932      -53.179       9.13565            1.39479
-81.4732      -53.1266       9.88235            1.39479
-81.3532      -52.9528       10.6843            1.39479
-81.2332      -52.6312       11.5185            1.39479
-81.1132      -52.139       12.3502            1.39479
-80.9932      -51.4631       13.1325            1.39479
-80.8732      -50.6067       13.8095            1.39479
-80.7532      -49.5953       14.3234            1.39479
-80.6332      -48.4777       14.6261            1.39479
-80.5132      -47.3208       14.6901            1.39479
-80.3932      -46.198       14.516            1.39479
-80.2732      -45.1754       14.132            1.39479
-80.1532      -44.3005       13.5867            1.39479
-80.0332      -43.5972       12.9368            1.39479
-79.9132      -43.0681       12.2372            1.39479
-79.7932      -42.6999       11.5332            1.39479
-79.6732      -42.4703       10.8586            1.39479
-79.5532      -42.3534       10.2362            1.39479
-79.4332      -42.3228       9.67935            1.39479
-79.3132      -42.3539       9.19444            1.39479
-79.1932      -42.4237       8.78235            1.39479
-79.0732      -42.5119       8.4394            1.39479
-78.9532      -42.6005       8.15777            1.39479
-78.8332      -42.675       7.92598            1.39479
-78.7132      -42.7254       7.72948            1.39479
-78.5932      -42.7468       7.55187            1.39479
-78.4732      -42.7402       7.37676            1.39479
-78.3532      -42.7127       7.19            1.39479
-78.2332      -42.6756       6.98189            1.39479
-78.1132      -42.6425       6.74842            1.39479
-77.9932      -42.6266       6.49151            1.39479
-77.8732      -42.6385       6.21787            1.39479
-77.7532      -42.6847       5.93722            1.39479
-77.6332      -42.7676       5.66022            1.39479
-77.5132      -42.8854       5.39678            1.39479
-77.3932      -43.0339       5.15501            1.39479
-77.2732      -43.2072       4.9408            1.39479
-77.1532      -43.3987       4.75801            1.39479
-77.0332      -43.6019       4.60879            1.39479
-76.9132      -43.8103       4.49402            1.39479
-76.7932      -44.0177       4.41368            1.39479
-76.6732      -44.2182       4.36697            1.39479
-76.5532      -44.4055       4.35235            1.39479
-76.4332      -44.5733       4.3673            1.39479
-76.3132      -44.7151       4.40793            1.39479
-76.1932      -44.8244       4.4685            1.39479
-76.0732      -44.8955       4.54091            1.39479
-75.9532      -44.9245       4.61454            1.39479
-75.8332      -44.9109       4.67663            1.39479
-75.7132      -44.8586       4.71358            1.39479
-75.5932      -44.7768       4.71314            1.39479
-75.4732      -44.6793       4.66693            1.39479
-75.3532      -44.5822       4.5724            1.39479
-75.2332      -44.5009       4.43335            1.39479
-75.1132      -44.4476       4.25871            1.39479
-74.9932      -44.4296       4.0602            1.39479
-74.8732      -44.4491       3.84983            1.39479
-74.7532      -44.5043       3.63801            1.39479
-74.6332      -44.5912       3.43268            1.39479
-74.5132      -44.7044       3.23914            1.39479
-74.3932      -44.8385       3.06044            1.39479
-74.2732      -44.9886       2.8979            1.39479
-74.1532      -45.1504       2.75166            1.39479
-74.0332      -45.3206       2.62109            1.39479
-73.9132      -45.4965       2.5052            1.39479
-73.7932      -45.6761       2.40276            1.39479
-73.6732      -45.8578       2.31253            1.39479
-73.5532      -46.0407       2.23328            1.39479
-73.4332      -46.224       2.16389            1.39479
-73.3132      -46.4072       2.10333            1.39479
-73.1932      -46.5899       2.05071            1.39479
-73.0732      -46.772       2.00521            1.39479
-72.9532      -46.9534       1.96615            1.39479
-72.8332      -47.134       1.93292            1.39479
-72.7132      -47.314       1.90502            1.39479
-72.5932      -47.4934       1.88201            1.39479
-72.4732      -47.6723       1.86352            1.39479
-72.3532      -47.8509       1.84925            1.39479
-72.2332      -48.0293       1.83892            1.39479
-72.1132      -48.2076       1.83236            1.39479
-71.9932      -48.386       1.82938            1.39479
-71.8732      -48.5646       1.82987            1.39479
-71.7532      -48.7436       1.83375            1.39479
-71.6332      -48.9231       1.84098            1.39479
-71.5132      -49.1032       1.85153            1.39479
-71.3932      -49.284       1.86544            1.39479
-71.2732      -49.4656       1.88273            1.39479
-71.1532      -49.648       1.90349            1.39479
-71.0332      -49.8312       1.92778            1.39479
-70.9132      -50.0151       1.95572            1.39479
-70.7932      -50.1995       1.98735            1.39479
-70.6732      -50.3842       2.02271            1.39479
-70.5532      -50.5688       2.06175            1.39479
-70.4332      -50.7531       2.10426            1.39479
-70.3132      -50.9365       2.14985            1.39479
-70.1932      -51.1186       2.19788            1.39479
-70.0732      -51.2993       2.24739            1.39479
-69.9532      -51.4785       2.2972            1.39479
-69.8332      -51.657       2.34599            1.39479
-69.7132      -51.8358       2.39255            1.39479
-69.5932      -52.0165       2.43606            1.39479
-69.4732      -52.2013       2.4763            1.39479
-69.3532      -52.3919       2.5138            1.39479
-69.2332      -52.5901       2.54964            1.39479
-69.1132      -52.7971       2.58529            1.39479
-68.9932      -53.0133       2.62229            1.39479
-68.8732      -53.2388       2.66204            1.39479
-68.7532      -53.4737       2.70568            1.39479
-68.6332      -53.7174       2.75408            1.39479
-68.5132      -53.9698       2.80787            1.39479
-68.3932      -54.2307       2.86748            1.39479
-68.2732      -54.4998       2.93325            1.39479
-68.1532      -54.7771       3.00544            1.39479
-68.0332      -55.0628       3.08428            1.39479
-67.9132      -55.357       3.17003            1.39479
-67.7932      -55.6599       3.26295            1.39479
-67.6732      -55.972       3.36335            1.39479
-67.5532      -56.2935       3.4716            1.39479
-67.4332      -56.6249       3.58813            1.39479
-67.3132      -56.9668       3.71341            1.39479
-67.1932      -57.3198       3.84801            1.39479
-67.0732      -57.6843       3.99256            1.39479
-66.9532      -58.0611       4.14778            1.39479
-66.8332      -58.4508       4.3145            1.39479
