#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 0.805283 fm^-1      and E_F = -42.5769 MeV
#
#
#    E              |M_kE|^2

-224.547       -1.22103e-13
-224.496       -1.41706
-221.764       -4.2727e-15
-220.849       -3.48801e-15
-219.758       0.289501
-218.313       -5.2192e-15
-217.723       -0.201877
-217.014       1.05314e-16
-217.014       4.52601e-15
-216.352       4.8354e-16
-216.352       -4.41376e-16
-216.196       3.74378e-16
-216.196       -1.03133e-15
-216.067       -6.48146e-16
-215.65       -2.61661e-15
-215.65       -6.8638e-16
-215.632       4.12249e-15
-215.57       -1.56476e-14
-215.421       1.0608e-15
-215.029       -8.00385e-17
-214.575       3.88928e-14
-213.399       1.82005
-213.012       -4.51644e-17
-213.012       -2.5604e-16
-212.527       -5.00271e-16
-212.305       1.58725e-15
-212.194       -1.18958e-16
-212.194       -6.7723e-15
-211.966       7.40664e-15
-211.464       -2.15767e-15
-211.161       1.95067e-16
-211.161       1.05885e-14
-210.674       -7.0686e-15
-210.674       6.64041e-16
-210.49       1.29334e-14
-210.29       -0.0777253
-208.854       3.13562e-16
-208.854       -2.02873e-15
-208.202       3.4571e-15
-203.986       0.74876
-191.295       -4.01984e-15
-190.701       4.51559e-15
-190.701       2.89577e-16
-190.348       8.86732e-16
-189.008       0.191345
-188.926       3.79907e-14
-188.914       -9.06727e-15
-188.679       -7.72102e-15
-188.529       1.02646e-14
-188.438       6.35303e-15
-187.177       -3.14139e-15
-187.162       1.42543e-16
-187.137       -1.1468e-15
-186.955       2.96436e-15
-186.533       5.32103e-14
-186.133       4.92841e-14
-185.68       -9.60735e-14
-185.643       -3.75852
-185.505       -2.68616e-14
-185.289       -2.55152e-14
-185.147       -6.87862e-15
-184.881       -1.51682e-15
-184.377       -2.66993e-12
-184.365       1.25147e-12
-184.252       3.07781
-183.563       5.35001e-16
-183.367       1.79495e-15
-183.288       1.80666e-15
-183.262       -1.55001
-182.456       -1.13274e-15
-182.316       -8.32836e-16
-182.005       -1.68348e-14
-181.686       1.60805e-14
-181.458       2.67116e-14
-180.992       6.50776e-13
-180.657       -1.63835
-180.36       -2.81256
-180.335       -4.92796e-14
-180.111       -8.54907e-14
-179.921       -5.45446e-14
-179.355       -1.5214e-14
-178.843       -1.03001e-14
-177.961       6.30722e-16
-177.418       1.57498e-14
-177.057       5.08428e-13
-177.032       -0.487777
-176.624       -1.33488e-13
-176.461       1.14958
-176.043       -1.53481
-175.827       -1.57363e-14
-174.884       1.28956
-174.321       2.90692e-14
-174.091       4.98347e-14
-173.662       -1.23219
-173.139       -8.57704e-15
-172.855       -1.10282e-14
-172.103       0.0988701
-171.99       -0.231446
-171.883       -4.64172e-14
-170.519       1.66124
-170.436       9.09801e-14
-169.271       1.60197e-15
-168.483       -0.42779
-167.947       -9.03646e-15
-167.55       -6.48807e-15
-167.065       -2.16095e-14
-166.581       -1.89279e-14
-166.405       3.70978
-165.594       -0.10299
-165.478       0.0572235
-164.562       4.42535e-14
-164.415       -0.421377
-163.745       -1.98889e-14
-163.041       -1.82456e-14
-162.412       2.6312
-162.312       1.4695e-13
-161.718       1.765e-14
-161.061       -0.0859081
-160.38       -4.9208e-14
-159.994       2.26037
-159.525       7.41318e-14
-159.192       -0.578516
-157.844       -8.99471e-12
-157.843       2.01819
-157.274       -0.176044
-156.828       1.01849
-156.658       -0.406796
-155.92       1.17886
-155.402       -0.380681
-154.318       -1.37307e-13
-154.128       2.82972
-153.786       6.68228e-14
-153.218       5.32658e-14
-152.568       -1.337
-152.212       -7.1882e-14
-151.59       2.72618
-151.456       1.55909e-13
-150.907       1.52786e-14
-150.21       1.12805e-14
-149.563       1.12748e-14
-149.167       1.75004e-12
-149.116       -0.473167
-148.494       -7.63822e-15
-147.197       -0.928841
-146.329       3.71439e-15
-146.101       3.39679e-15
-145.95       -3.87344
-145.897       3.43542e-14
-145.703       3.60579e-14
-144.549       3.17544e-15
-144.138       2.86508e-15
-144.067       0.402672
-142.333       2.61329e-15
-141.612       -4.94841e-15
-140.904       -4.46217
-138       2.32736
-134.139       8.62467e-16
-132.333       9.68771e-15
-132.214       -0.0312845
-132.022       8.59031e-16
-131.483       7.98405e-15
-131.093       8.93617e-15
-130.685       1.89435e-15
-130.615       1.45637
-130.025       7.30107e-15
-129.938       -4.33993
-129.637       1.08232e-14
-129.081       6.10052e-15
-128.501       7.50447e-15
-128.053       8.88986e-15
-127.213       1.04047e-14
-126.639       3.01332e-14
-126.147       6.56857e-14
-125.908       -4.35774
-125.163       0.602558
-125.087       2.30142e-13
-124.523       -2.88456
-124.178       -5.65471e-14
-123.46       -2.94164e-14
-123.128       0.428935
-122.244       2.3586e-14
-121.865       -1.9903
-121.261       0.796614
-120.925       6.22242e-14
-120.624       -1.32888
-119.835       1.71175
-119.227       -1.29481
-119.116       0.218482
-118.351       1.56851e-11
-118.349       -5.37732
-117.487       1.22475
-117.294       -0.910318
-116.388       2.92269
-116.14       -1.42514
-115.805       0.533417
-115.479       4.21675e-14
-114.864       -2.69082
-114.468       3.91694
-114.113       1.92284e-13
-114.054       -0.608126
-113.326       -2.45503e-14
-112.898       2.60074
-112.524       1.51807e-14
-112.378       1.91209e-14
-111.929       3.88054e-15
-111.535       8.7592e-15
-111.098       2.25966e-14
-110.663       -0.915059
-110.647       -4.73657e-14
-110.299       0.845897
-110.222       1.54022e-14
-110.105       7.50217e-15
-109.582       1.21267e-14
-108.84       -6.42875
-108.719       -3.7297e-14
-106.469       -3.43597
-105.756       -9.98711
-105.674       -6.21886e-16
-104.909       3.06156e-14
-103.512       1.28461e-14
-102.045       -5.72041e-16
-101.668       -5.75652e-16
-101.668       8.92258e-15
-100.884       -2.27554
-99.4829       1.31475
-98.9811       -1.47762e-16
-98.9811       -4.97166e-15
-98.2082       1.48149e-14
-93.7882       2.76585e-17
-91.1358       -4.25321e-15
-88.7081       5.10539e-15
-88.5582       -1.11315e-15
-88.5029       1.30837e-15
-87.3515       7.09167e-16
-87.2517       -5.65738e-15
-86.9087       6.21913e-16
-86.9019       5.9815e-16
-86.0648       0.421416
-86.0246       -9.47807e-16
-85.9667       -1.48515e-16
-85.7263       -6.71548e-16
-85.5142       2.33376e-16
-85.3448       5.00595e-16
-85.0415       -6.46043e-15
-85.0316       -8.47105e-16
-84.7263       5.83598e-15
-84.5733       1.14953e-15
-84.538       3.5716e-15
-84.3095       1.71515e-15
-84.2169       5.55966e-15
-84.0537       -4.70452e-15
-83.908       -1.41585
-83.8659       -5.48651e-15
-83.7195       -7.69366e-15
-83.5083       -1.14874e-14
-83.3838       9.11043e-15
-83.2607       1.49458e-15
-83.0037       7.49929e-15
-82.7455       4.45669e-15
-82.6774       -6.66677e-15
-82.6545       -6.35696e-15
-82.5896       -7.38258e-15
-82.5194       -3.82006e-15
-81.7364       -2.82678e-14
-81.6378       2.62812e-14
-81.387       1.00441e-14
-81.1645       1.46823e-14
-80.9436       -5.59723e-14
-80.8056       1.99687e-14
-80.6085       3.1696e-15
-80.5054       5.99923e-15
-80.2755       0.0869387
-79.9544       3.85354e-16
-79.9488       1.32132e-15
-79.8008       -1.81095e-15
-79.549       -2.88866e-14
-79.5423       9.83922e-15
