#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 2.54653 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-180.332       7.2402e-06       2.54653
-179.632       7.19753e-06       2.54653
-178.932       7.1355e-06       2.54653
-178.232       7.06175e-06       2.54653
-177.532       7.03924e-06       2.54653
-176.832       7.08654e-06       2.54653
-176.132       7.21047e-06       2.54653
-175.432       7.44395e-06       2.54653
-174.732       7.79926e-06       2.54653
-174.032       8.25568e-06       2.54653
-173.332       9.07312e-06       2.54653
-172.632       9.79472e-06       2.54653
-171.932       9.17577e-06       2.54653
-171.232       8.36865e-06       2.54653
-170.532       7.9474e-06       2.54653
-169.832       7.73025e-06       2.54653
-169.132       7.67077e-06       2.54653
-168.432       7.6845e-06       2.54653
-167.732       7.65681e-06       2.54653
-167.032       7.65806e-06       2.54653
-166.332       7.7314e-06       2.54653
-165.632       7.87976e-06       2.54653
-164.932       8.1374e-06       2.54653
-164.232       8.60123e-06       2.54653
-163.532       9.47177e-06       2.54653
-162.832       1.08996e-05       2.54653
-162.132       1.2029e-05       2.54653
-161.432       1.13321e-05       2.54653
-160.732       1.00041e-05       2.54653
-160.032       9.3476e-06       2.54653
-159.332       9.18856e-06       2.54653
-158.632       9.03504e-06       2.54653
-157.932       8.76618e-06       2.54653
-157.232       8.52272e-06       2.54653
-156.532       8.36171e-06       2.54653
-155.832       8.29434e-06       2.54653
-155.132       8.28328e-06       2.54653
-154.432       8.30587e-06       2.54653
-153.732       8.3527e-06       2.54653
-153.032       8.42214e-06       2.54653
-152.332       8.51946e-06       2.54653
-151.632       8.66078e-06       2.54653
-150.932       8.88449e-06       2.54653
-150.232       9.25922e-06       2.54653
-149.532       9.70891e-06       2.54653
-148.832       9.70845e-06       2.54653
-148.132       9.49109e-06       2.54653
-147.432       9.47391e-06       2.54653
-146.732       9.616e-06       2.54653
-146.032       9.78794e-06       2.54653
-145.332       1.00663e-05       2.54653
-144.632       1.06395e-05       2.54653
-143.932       1.16746e-05       2.54653
-143.232       1.26045e-05       2.54653
-142.532       1.25314e-05       2.54653
-141.832       1.26267e-05       2.54653
-141.132       1.31563e-05       2.54653
-140.432       1.42194e-05       2.54653
-139.732       1.54181e-05       2.54653
-139.032       1.564e-05       2.54653
-138.332       1.52901e-05       2.54653
-137.632       1.5795e-05       2.54653
-136.932       1.70136e-05       2.54653
-136.232       1.73809e-05       2.54653
-135.532       1.83093e-05       2.54653
-134.832       2.04068e-05       2.54653
-134.132       2.31968e-05       2.54653
-133.432       2.39379e-05       2.54653
-132.732       2.12065e-05       2.54653
-132.032       1.82693e-05       2.54653
-131.332       1.68617e-05       2.54653
-130.632       1.62179e-05       2.54653
-129.932       1.63515e-05       2.54653
-129.232       1.67845e-05       2.54653
-128.532       1.65282e-05       2.54653
-127.832       1.59757e-05       2.54653
-127.132       1.52228e-05       2.54653
-126.432       1.45291e-05       2.54653
-125.732       1.44216e-05       2.54653
-125.032       1.44553e-05       2.54653
-124.332       1.34985e-05       2.54653
-123.632       1.25611e-05       2.54653
-122.932       1.20635e-05       2.54653
-122.232       1.18243e-05       2.54653
-121.532       1.17181e-05       2.54653
-120.832       1.16876e-05       2.54653
-120.132       1.1709e-05       2.54653
-119.432       1.17763e-05       2.54653
-118.732       1.19005e-05       2.54653
-118.032       1.21197e-05       2.54653
-117.332       1.25107e-05       2.54653
-116.632       1.30185e-05       2.54653
