#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 2.27768 fm^-1 (group = 7)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = 39.6058 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-176.66      37.1305       0.214968            2.27768
-175.96      37.0107       0.269956            2.27768
-175.26      36.8861       0.378065            2.27768
-174.56      36.7957       0.560029            2.27768
-173.86      36.7814       0.807858            2.27768
-173.16      36.9888       1.11735            2.27768
-172.46      37.4316       1.05834            2.27768
-171.76      37.5248       0.720378            2.27768
-171.06      37.382       0.529668            2.27768
-170.36      37.2038       0.485716            2.27768
-169.66      37.0465       0.541281            2.27768
-168.96      36.9616       0.685646            2.27768
-168.26      37.0213       0.788326            2.27768
-167.56      37.0408       0.759668            2.27768
-166.86      36.9502       0.740981            2.27768
-166.16      36.8282       0.842658            2.27768
-165.46      36.8164       0.970923            2.27768
-164.76      36.7544       1.03539            2.27768
-164.06      36.6404       1.23035            2.27768
-163.36      36.6516       1.5057            2.27768
-162.66      36.6702       1.83827            2.27768
-161.96      37.0073       2.35969            2.27768
-161.26      37.7173       2.53351            2.27768
-160.56      38.4112       2.30244            2.27768
-159.86      38.8635       1.68768            2.27768
-159.16      38.8386       1.05391            2.27768
-158.46      38.6098       0.669849            2.27768
-157.76      38.3734       0.46417            2.27768
-157.06      38.1698       0.350216            2.27768
-156.36      37.9958       0.284547            2.27768
-155.66      37.8425       0.247626            2.27768
-154.96      37.7019       0.231475            2.27768
-154.26      37.5678       0.235495            2.27768
-153.56      37.4375       0.267449            2.27768
-152.86      37.3239       0.347549            2.27768
-152.16      37.2971       0.48022            2.27768
-151.46      37.4026       0.506425            2.27768
-150.76      37.4077       0.381841            2.27768
-150.06      37.2987       0.295124            2.27768
-149.36      37.161       0.265575            2.27768
-148.66      37.015       0.274914            2.27768
-147.96      36.8611       0.322213            2.27768
-147.26      36.7074       0.426526            2.27768
-146.56      36.6137       0.60858            2.27768
-145.86      36.6619       0.74294            2.27768
-145.16      36.6344       0.73357            2.27768
-144.46      36.5002       0.826769            2.27768
-143.76      36.476       0.995243            2.27768
-143.06      36.441       1.05945            2.27768
-142.36      36.3291       1.26333            2.27768
-141.66      36.4768       1.52083            2.27768
-140.96      36.6161       1.43772            2.27768
-140.26      36.4079       1.37194            2.27768
-139.56      36.042       1.63245            2.27768
-138.86      35.8604       2.36733            2.27768
-138.16      36.4837       3.21138            2.27768
-137.46      37.3644       3.20634            2.27768
-136.76      37.902       2.99899            2.27768
-136.06      38.2926       2.52897            2.27768
-135.36      38.1614       2.10368            2.27768
-134.66      37.9163       2.19147            2.27768
-133.96      38.1606       2.57129            2.27768
-133.26      38.7713       2.42914            2.27768
-132.56      39.0326       2.03037            2.27768
-131.86      39.1401       1.63985            2.27768
-131.16      39.1372       1.29164            2.27768
-130.46      39.0231       0.944443            2.27768
-129.76      38.7807       0.734274            2.27768
-129.06      38.5601       0.706289            2.27768
-128.36      38.512       0.771822            2.27768
-127.66      38.5835       0.67454            2.27768
-126.96      38.5264       0.492539            2.27768
-126.26      38.3967       0.360541            2.27768
-125.56      38.2464       0.282073            2.27768
-124.86      38.0987       0.243589            2.27768
-124.16      37.9564       0.231744            2.27768
-123.46      37.8145       0.242961            2.27768
-122.76      37.6665       0.283255            2.27768
-122.06      37.5078       0.372693            2.27768
-121.36      37.3504       0.55973            2.27768
-120.66      37.2982       0.927486            2.27768
-119.96      37.6814       1.34597            2.27768
-119.26      38.2916       1.15157            2.27768
-118.56      38.4087       0.690225            2.27768
-117.86      38.2905       0.41349            2.27768
-117.16      38.1488       0.271325            2.27768
-116.46      38.024       0.193987            2.27768
-115.76      37.9176       0.148429            2.27768
-115.06      37.8253       0.119746            2.27768
-114.36      37.7431       0.100787            2.27768
-113.66      37.6682       0.0878719            2.27768
-112.96      37.5985       0.0789864            2.27768
-112.26      37.5322       0.0729847            2.27768
-111.56      37.4683       0.0692095            2.27768
-110.86      37.4056       0.067308            2.27768
-110.16      37.3433       0.0671491            2.27768
-109.46      37.2804       0.0688081            2.27768
-108.76      37.2161       0.0726227            2.27768
-108.06      37.1495       0.0793366            2.27768
-107.36      37.0804       0.0900143            2.27768
-106.66      37.0084       0.105006            2.27768
-105.96      36.933       0.126068            2.27768
-105.26      36.855       0.150332            2.27768
-104.56      36.7614       0.178916            2.27768
-103.86      36.6467       0.231983            2.27768
-103.16      36.5197       0.333693            2.27768
-102.46      36.4184       0.514272            2.27768
-101.76      36.4334       0.747888            2.27768
-101.06      36.5794       0.880366            2.27768
-100.36      36.6365       0.855349            2.27768
-99.66      36.5521       0.917202            2.27768
-98.96      36.47       1.1595            2.27768
-98.26      36.6782       1.61793            2.27768
-97.56      37.3577       1.70533            2.27768
-96.86      37.7759       1.25988            2.27768
-96.16      37.7867       0.793458            2.27768
-95.46      37.6164       0.517448            2.27768
-94.76      37.4421       0.389578            2.27768
-94.06      37.3125       0.317661            2.27768
-93.36      37.1893       0.252466            2.27768
-92.66      37.06       0.211831            2.27768
-91.96      36.9349       0.189201            2.27768
-91.26      36.8085       0.178758            2.27768
-90.56      36.6789       0.180474            2.27768
-89.86      36.5436       0.193176            2.27768
-89.16      36.3979       0.217406            2.27768
-88.46      36.2363       0.256023            2.27768
-87.76      36.0511       0.314952            2.27768
-87.06      35.8322       0.405287            2.27768
-86.36      35.5657       0.548151            2.27768
-85.66      35.2335       0.786086            2.27768
-84.96      34.8221       1.21076            2.27768
-84.26      34.3779       2.02699            2.27768
-84.14      34.3155       2.2321            2.27768
-84.02      34.265       2.46234            2.27768
-83.9      34.2318       2.7198            2.27768
-83.78      34.2226       3.00587            2.27768
-83.66      34.246       3.32067            2.27768
-83.54      34.3121       3.66219            2.27768
-83.42      34.4323       4.02522            2.27768
-83.3      34.6185       4.40018            2.27768
-83.18      34.8812       4.77214            2.27768
-83.06      35.227       5.12054            2.27768
-82.94      35.6552       5.42034            2.27768
-82.82      36.1558       5.64512            2.27768
-82.7      36.7076       5.77187            2.27768
-82.58      37.2806       5.78635            2.27768
-82.46      37.841       5.68684            2.27768
-82.34      38.3573       5.48461            2.27768
-82.22      38.8056       5.2009            2.27768
-82.1      39.1731       4.86176            2.27768
