#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 1.80067 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       4.51272e-06       1.80067
-300.732       4.53494e-06       1.80067
-300.032       4.55732e-06       1.80067
-299.332       4.57988e-06       1.80067
-298.632       4.60261e-06       1.80067
-297.932       4.62551e-06       1.80067
-297.232       4.6486e-06       1.80067
-296.532       4.67186e-06       1.80067
-295.832       4.69531e-06       1.80067
-295.132       4.71893e-06       1.80067
-294.432       4.74275e-06       1.80067
-293.732       4.76675e-06       1.80067
-293.032       4.79095e-06       1.80067
-292.332       4.81534e-06       1.80067
-291.632       4.83992e-06       1.80067
-290.932       4.8647e-06       1.80067
-290.232       4.88968e-06       1.80067
-289.532       4.91487e-06       1.80067
-288.832       4.94026e-06       1.80067
-288.132       4.96586e-06       1.80067
-287.432       4.99167e-06       1.80067
-286.732       5.0177e-06       1.80067
-286.032       5.04394e-06       1.80067
-285.332       5.0704e-06       1.80067
-284.632       5.09709e-06       1.80067
-283.932       5.12401e-06       1.80067
-283.232       5.15116e-06       1.80067
-282.532       5.17854e-06       1.80067
-281.832       5.20616e-06       1.80067
-281.132       5.23402e-06       1.80067
-280.432       5.26214e-06       1.80067
-279.732       5.2905e-06       1.80067
-279.032       5.31912e-06       1.80067
-278.332       5.34801e-06       1.80067
-277.632       5.37717e-06       1.80067
-276.932       5.4066e-06       1.80067
-276.232       5.43632e-06       1.80067
-275.532       5.46632e-06       1.80067
-274.832       5.49663e-06       1.80067
-274.132       5.52726e-06       1.80067
-273.432       5.55821e-06       1.80067
-272.732       5.5895e-06       1.80067
-272.032       5.62114e-06       1.80067
-271.332       5.65317e-06       1.80067
-270.632       5.6856e-06       1.80067
-269.932       5.71847e-06       1.80067
-269.232       5.75181e-06       1.80067
-268.532       5.78569e-06       1.80067
-267.832       5.82018e-06       1.80067
-267.132       5.85537e-06       1.80067
-266.432       5.8914e-06       1.80067
-265.732       5.92846e-06       1.80067
-265.032       5.96687e-06       1.80067
-264.332       6.00707e-06       1.80067
-263.632       6.04985e-06       1.80067
-262.932       6.0966e-06       1.80067
-262.232       6.14984e-06       1.80067
-261.532       6.2133e-06       1.80067
-260.832       6.28722e-06       1.80067
-260.132       6.37898e-06       1.80067
-259.432       6.52466e-06       1.80067
-258.732       6.78203e-06       1.80067
-258.032       7.16387e-06       1.80067
-257.332       7.2654e-06       1.80067
-256.632       6.97173e-06       1.80067
-255.932       6.76212e-06       1.80067
-255.232       6.67697e-06       1.80067
-254.532       6.65357e-06       1.80067
-253.832       6.65438e-06       1.80067
-253.132       6.66032e-06       1.80067
-252.432       6.67758e-06       1.80067
-251.732       6.70427e-06       1.80067
-251.032       6.73662e-06       1.80067
-250.332       6.77253e-06       1.80067
-249.632       6.8109e-06       1.80067
-248.932       6.85111e-06       1.80067
-248.232       6.89282e-06       1.80067
-247.532       6.93581e-06       1.80067
-246.832       6.97996e-06       1.80067
-246.132       7.02522e-06       1.80067
-245.432       7.07154e-06       1.80067
-244.732       7.11893e-06       1.80067
-244.032       7.16742e-06       1.80067
-243.332       7.21707e-06       1.80067
-242.632       7.26794e-06       1.80067
-241.932       7.32014e-06       1.80067
-241.232       7.37381e-06       1.80067
-240.532       7.42914e-06       1.80067
-239.832       7.48637e-06       1.80067
-239.132       7.54582e-06       1.80067
-238.432       7.60794e-06       1.80067
-237.732       7.67335e-06       1.80067
-237.032       7.74299e-06       1.80067
-236.332       7.81825e-06       1.80067
-235.632       7.90143e-06       1.80067
-234.932       7.99651e-06       1.80067
-234.232       8.11082e-06       1.80067
-233.532       8.25649e-06       1.80067
