#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 1.80067 fm^-1 (group = 5)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-83.4138       7.23163e-17
-83.3616       3.12809e-18
-83.0355       6.38082e-17
-82.915       9.78892e-17
-82.7082       1.02169e-16
-82.6023       6.28323e-17
-82.5984       3.12262e-16
-81.8349       0.0129016
-81.6558       6.8522e-16
-81.4019       5.00208e-16
-80.8429       2.18646e-16
-80.8193       4.32435e-16
-80.5701       0.0232056
-80.432       5.49965e-18
-80.0381       0.0141186
-79.925       1.31743e-15
-79.5214       2.16604e-16
-79.492       2.89686e-16
-78.4803       1.43142e-17
-78.2176       2.70507e-16
-78.0912       5.40316e-16
-77.8319       0.00728745
-77.768       4.95562e-16
-77.4681       0.0133656
-77.2758       1.84087e-16
-76.519       0.0118084
-76.0431       3.10821e-16
-75.4293       0.00681965
-75.2935       4.78243e-16
-61.53       0.0990934


-26.7317       0.355619
-22.2833       0.312088
-22.0154       5.47844e-15
-11.5732       0.671491
-10.1794       0.0169959
-9.89674       1.30286e-15
-9.5495       0.0290484
-9.13019       1.52079e-15
-8.8211       5.01915e-18
-8.69161       0.00195679
-8.65541       1.50438e-17
-8.49284       0.0797001
-7.99563       0.143506
-7.90662       9.12063e-18
-7.75464       2.34454e-18
-7.51106       1.76063e-18
-7.29635       1.77079e-17
-7.24324       5.61457e-18
-6.33028       6.9176e-18
-6.31883       0.0789186
-6.16846       0.158314
-5.58386       1.56642e-17
-5.36871       0.0447148
-5.12577       0.0710036
-5.04611       1.21271e-17
-4.72715       0.155363
-4.24481       1.60022e-17
-4.16072       0.0852383
-3.75485       0.0843585
-3.50309       1.50664e-17
-2.51807       0.0400777
-2.45951       0.0137941
-2.16932       0.0417028
-2.07626       0.0381427
-1.8446       0.00173304
-1.49392       2.80419e-18
-0.583231       1.12704e-17
-0.29828       0.048801
0.293925       7.12123e-18
0.749679       1.04536e-17
0.936399       0.00869613
1.59083       5.14337e-18
1.99912       0.00467339
2.6333       1.18717e-17
2.8024       5.19444e-17
3.37977       1.16855e-17
4.43078       5.82808e-19
4.76307       6.88456e-18
8.51716       1.05415e-15
10.0558       0.225301
13.7283       0.0059442
13.9056       1.71457e-18
14.4868       0.0638352
15.7065       0.230475
15.9518       0.0608713
19.0325       1.05723e-14
20.9065       0.0208472
22.0577       0.0102145
23.0058       0.0253688
23.2476       0.0274771
23.4433       0.0123601
23.8485       0.0301686
23.9916       0.026942
24.305       0.0323751
24.6879       0.00987721
25.2278       0.0140351
25.7271       0.0285485
26.3592       0.0602173
26.6222       0.0130721
27.4555       0.0237473
27.9276       0.0281998
28.3568       0.0491147
28.8231       0.0257214
29.6252       0.0344128
30.1468       0.0235018
30.8184       0.0304053
31.3242       0.0302084
32.3329       0.0343391
32.7367       0.0487749
33.2243       0.0377712
33.855       0.0287348
34.2946       0.0365295
35.2274       0.0184818
36.2301       0.0442647
36.3971       0.0276733
36.6948       0.0295644
37.7252       0.0337215
37.823       0.0099799
39.171       0.0312142
39.6738       0.119574
41.4503       0.052766
44.0929       0.0357914
46.2018       0.029283
47.9783       0.0302027
48.3824       0.0449206
50.9963       0.0114725
51.1951       0.0329444
53.6055       0.025629
54.1775       0.00691612
54.8468       0.0120172
55.459       0.0185733
56.1331       0.024217
56.831       0.0230849
57.861       0.0214817
58.7996       0.0120065
59.5322       0.0195699
60.6311       0.0305088
61.3931       0.0210464
62.4063       0.0188308
63.2202       0.0229107
64.1769       0.0220302
65.3226       0.0207183
66.3366       0.0167889
67.5886       0.0324125
68.1581       0.0620579
68.8912       0.0289351
70.3059       0.011733
71.4152       0.0314997
