#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 1.39479 fm^-1 (group = 10)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-231.065       1.81576e-16
-229.464       0.00349205
-227.649       2.54392e-17
-226.752       3.84316e-17
-226.226       8.19969e-17
-226.226       1.33066e-16
-226.124       6.49103e-16
-226.093       0.00189312
-225.198       5.57291e-17
-225.198       4.15656e-17
-224.953       2.53239e-17
-224.953       3.35018e-17
-224.735       1.43215e-19
-224.664       2.60322e-17
-224.595       5.38103e-17
-224.567       6.77626e-19
-224.416       2.5452e-17
-224.332       3.52366e-19
-223.91       4.99331e-17
-223.712       2.91784e-17
-223.581       4.61363e-17
-223.315       4.00727e-17
-222.45       4.00479e-16
-222.353       0.00519815
-222.271       2.63892e-16
-222.23       1.03266e-16
-222.229       1.47888e-16
-222.193       3.34899e-17
-222.013       3.45908e-17
-221.568       7.28446e-17
-220.603       0.0088773
-220.2       1.52607e-16
-218.938       2.51091e-17
-218.851       1.31314e-17
-218.544       2.69361e-17
-218.107       2.06591e-16
-218.021       0.0021657
-217.944       3.79471e-18
-217.824       7.90925e-17
-217.694       8.03665e-18
-216.882       5.1608e-17
-216.815       1.04951e-16
-216.701       4.39319e-16
-216.573       2.09078e-15
-216.433       0.00326888
-216.254       1.86754e-16
-215.997       2.09143e-16
-215.834       1.73689e-16
-215.644       6.33174e-17
-215.349       2.05185e-17
-215.262       1.27428e-16
-214.09       7.7824e-16
-214.087       1.35693e-15
-213.704       0.00784363
-212.91       1.92473e-16
-212.766       6.93889e-18
-212.712       0.00942864
-212.627       1.3344e-15
-212.129       1.82146e-17
-211.86       5.29362e-17
-211.586       6.67869e-17
-211.46       2.2443e-17
-211.381       3.71068e-17
-210.814       1.95156e-17
-210.803       1.21431e-17
-210.344       3.85996e-16
-210.185       0.000624627
-208.728       1.24912e-16
-208.642       1.51634e-16
-208.281       2.07274e-16
-208.242       0.00177489
-205.45       3.95855e-17
-203.807       0.00207487
-203.425       1.5204e-16
-201.607       1.26262e-16
-201.442       3.65685e-17
-201.086       4.83283e-17
-201.026       9.46644e-17
-200.921       4.10015e-17
-200.659       2.03614e-17
-199.91       0.00563978
-198.637       7.44921e-17
-198.254       7.57616e-17
-197.709       1.06448e-16
-197.083       4.01931e-16
-196.918       4.39024e-17
-196.769       0.00116464
-194.263       1.0455e-16
-190.299       1.49945e-16
-189.976       8.58185e-14
-189.968       0.00358768
-189.753       1.92554e-16
-189.154       5.0307e-17
-188.952       0.00374871
-188.798       1.9082e-16
-188.268       1.26174e-16
-187.86       0.00147133
-187.543       0.00499748
-187.448       5.10009e-16
-186.972       2.77556e-17
-186.244       4.46691e-17
-184.245       2.0383e-17
-183.991       9.80119e-17
-183.939       0.0102614
-182.883       3.29597e-17
-182.666       0.00881173
-181.917       0.00964257
-181.661       3.88578e-16
-181.259       0.00946306
-180.496       0.0198914
-180.403       1.12757e-15
-179.647       2.86229e-16
-178.562       3.55618e-17
-178.028       0.0179477
-177.756       4.16334e-16
-177.296       0.000520754
-176.869       0.00328957
-176.035       1.56125e-17
-175.435       0.00280975
-174.187       0.00599819
-173.76       0.00124962
-173.29       0.00132889
-172.507       0.00521859
-172.25       0.006118
-171.955       9.58435e-17
-171.443       3.55618e-17
-169.867       1.97108e-16
-168.778       9.19403e-17
-168.553       0.00479134
-167.231       1.07856e-15
-167.18       0.0114674
-166.455       0.00137347
-165.5       1.0365e-16
-164.565       7.34005e-17
-164.332       0.00391883
-163.641       1.86483e-17
-162.667       1.73472e-17
-161.963       1.38778e-17
-161.175       4.18068e-16
-160.869       0.000656486
-160.579       0.0302862
-159.503       2.29851e-16
-158.266       0.00819458
-157.723       2.85622e-15
-157.519       0.00918128
-157.369       0.000147344
-156.889       0.00011163
-156.017       0.00993002
-155.764       0.0144302
-154.914       2.06432e-16
-154.075       2.08167e-16
-153.151       0.00473422
-152.786       6.20164e-17
-151.922       0.00327164
-151.77       3.55618e-16
-150.83       0.0154248
-150.736       1.30451e-15
-150.106       0.00359091
-149.615       0.00925731
-149.46       7.1991e-16
-148.67       4.63133e-15
-148.627       0.0112072
-147.389       2.06486e-16
-147.178       7.34005e-17
-145.967       5.09279e-17
-144.808       6.0992e-17
-144.452       0.0100754
-143.641       0.0149703
-143.554       1.15568e-16
-143.471       6.50521e-19
-140.776       1.06966e-15
-140.293       0.0337189
-132.284       1.91314e-16
-131.754       3.52857e-16
-130.23       0.0317964
-130.123       1.65451e-15
-128.643       5.29877e-16
-128.42       7.42678e-17
-127.936       1.9231e-16
-127.674       0.000934998
-127.229       1.20374e-16
-126.757       1.22081e-16
-126.531       9.17235e-17
-125.763       7.40293e-16
-125.637       0.0200736
-125.136       0.0349611
-124.891       1.11077e-15
-124.211       1.11445e-15
-124.037       0.0298034
-123.269       2.44379e-16
-122.382       7.70087e-15
-122.336       0.0253415
-121.956       0.0539086
-121.284       0.0192109
-121.019       0.0190698
-120.446       0.00559736
-120.248       0.00447774
-119.659       0.0137096
-119.351       0.0111742
-119.271       0.0120564
-117.997       0.0166682
-117.982       8.83061e-15
-117.185       0.0393333
-116.837       2.13371e-16
-116.126       1.9842e-15
-116.047       0.0181983
-115.614       0.0183931
-115.281       3.90313e-16
-114.766       0.0152621
-114.386       2.4503e-16
-113.799       0.0141074
-113.682       1.18785e-15
-113.172       0.00642369
-112.983       1.63606e-16
-112.717       1.91253e-16
-112.53       0.0235419
-112.025       7.63278e-17
-111.843       1.65503e-16
-111.39       7.87947e-15
-111.282       1.01367e-14
-111.043       0.0282742
-110.63       7.52921e-16
-109.797       0.042296
-109.363       1.5425e-15
-109.345       4.46206e-16
-109.207       5.23272e-16
-105.048       5.67282e-16
-105.048       7.34561e-16
-104.548       0.0808449
-100.994       7.01894e-16
-100.994       8.26551e-17
-100.695       0.042233
-87.9122       1.94477e-16
-87.5134       1.94996e-16
-87.1048       3.46459e-16
-86.6652       0.0104627
-86.6163       2.2762e-15
-86.2422       4.4425e-16
-86.099       2.46709e-16
-85.6677       1.25144e-16
-85.6647       9.63856e-17
-85.459       5.55157e-16
-85.2572       5.05448e-16
-85.2094       4.96937e-16
-84.9314       6.60442e-16
-84.6124       8.97719e-17
-84.4481       3.32145e-16
-84.3562       1.7949e-16
