#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 1.13884 fm^-1      and E_F = -52.0162 MeV
#
#
#    E              |M_kE|^2

-236.273       3.37705e-14
-236.201       -2.07446e-14
-235.865       -0.85615
-235.858       -2.6385e-12
-234.945       1.85072e-14
-234.933       1.22028e-14
-232.055       1.16222e-14
-231.953       0.137563
-213.859       -1.41646e-15
-212.18       0.257307
-211.847       -5.57616e-15
-211.759       9.61288e-16
-211.07       -0.477294
-211.031       2.72786e-14
-210.472       -7.32945e-15
-209.972       1.66181e-14
-209.805       -6.15703e-15
-209.424       4.30969e-15
-208.075       -4.87938e-16
-207.83       3.22159e-15
-207.654       8.11143e-16
-207.536       0.327777
-206.674       -8.59772e-15
-206.272       0.112348
-205.998       1.85206e-14
-205.53       -1.04168
-205.282       -3.58157e-14
-205.228       1.00577e-11
-205.207       1.18128
-205.187       9.23178e-14
-204.344       3.77829e-15
-204.306       1.15086e-15
-204.182       6.70069e-15
-204.16       5.31704e-15
-203.887       1.05773e-13
-203.864       3.37328e-15
-203.691       -0.995645
-203.636       -7.39683e-14
-203.315       -3.19749e-16
-202.893       -2.95439e-14
-202.763       -3.45275e-14
-202.635       -4.95571e-14
-202.42       1.51114
-202.29       2.42156e-13
-202.252       -0.981039
-201.923       -1.94031e-14
-201.657       1.04623
-201.508       5.16171e-14
-201.143       -1.29703
-201.12       -6.31303e-13
-200.924       -6.7389e-14
-200.467       -2.07708e-14
-200.27       2.44728
-200.17       4.11865e-13
-199.914       2.65112e-14
-199.77       -1.81506
-198.905       0.251706
-198.854       2.80601e-14
-198.306       8.79243e-15
-198.093       1.6699e-14
-197.636       -0.112774
-197.544       -4.08978e-14
-196.979       0.405961
-196.956       1.07437e-13
-196.186       -0.600734
-196.007       0.656874
-195.929       1.93628e-13
-195.628       -0.846158
-194.996       0.842416
-194.523       -0.0643308
-194.387       -3.76989e-14
-193.997       0.991652
-193.38       -0.127223
-192.896       -4.783e-14
-192.772       1.11491
-192.259       -0.0730162
-192.062       -4.97648e-14
-191.648       0.288398
-191.371       -0.791585
-190.531       0.584572
-190.368       1.20299e-13
-190.093       -1.16681
-190.008       0.186844
-189.564       -0.0950446
-188.827       0.298125
-188.163       3.63612e-15
-187.722       -0.422762
-187.503       -4.99087e-15
-186.809       -3.02573e-15
-186.332       -1.39567e-14
-186.073       0.231762
-185.414       -1.25388
-185.2       -4.06257e-14
-184.65       -4.03069e-15
-183.464       -2.40036e-15
-182.793       0.626234
-182.642       -0.054332
-182.523       -2.886e-14
-181.609       -1.23507e-14
-181.024       -3.58723e-14
-180.896       0.767706
-180.361       -0.854785
-179.956       0.0647271
-179.424       -0.112119
-178.554       -3.96057e-15
-178.085       -7.03368e-15
-177.612       -1.03865e-14
-176.766       1.37331
-176.71       2.60121e-13
-175.992       1.73204e-14
-175.475       -0.267591
-175.451       -1.85322e-13
-174.513       -9.11181e-15
-173.875       -3.26119e-14
-173.757       1.04903
-172.788       -0.282071
-172.674       -2.23448e-14
-171.914       -2.24017e-15
-171.125       -3.85301e-15
-170.276       -7.1748e-13
-170.268       0.806892
-169.098       2.50654e-15
-168.653       8.04376e-15
-168.024       7.68772e-15
-167.382       -0.101933
-167.278       1.18959
-166.983       3.22681e-14
-165.965       8.5797e-15
-165.474       4.89421e-15
-164.91       2.42589e-14
-164.464       -2.8712
-163.812       -2.51512e-13
-163.772       1.8285
-162.394       8.91486e-15
-161.983       -1.21875
-161.08       -6.16151e-15
-160.757       -1.94859e-13
-160.671       1.92755
-160.026       6.15184e-15
-159.456       3.35507e-14
-159.312       9.82208e-14
-159.269       -1.87902
-157.963       9.39801e-06
-154.082       3.92015e-15
-153.945       1.18356e-16
-153.799       3.75673e-15
-151.905       -0.576694
-151.83       0.80776
-151.695       5.21217e-14
-150.731       2.93608e-15
-150.263       6.20767e-15
-149.466       -0.082882
-149.084       1.45192
-147.814       -2.01081e-14
-146.728       -1.61071
-145.897       1.2056
-145.189       -1.40532
-144.964       3.67148
-144.597       -0.669756
-143.774       1.18718
-143.474       -0.993325
-142.762       1.68424
-142.48       0.76745
-142.382       -1.90998
-141.523       -0.501839
-141.28       -2.36595
-140.91       1.52525
-140.77       0.670036
-140.552       -0.816367
-140.204       -1.06598
-139.615       0.0802798
-139.327       0.726051
-139.176       1.07553
-138.84       -2.84434
-138.399       0.0200094
-138.365       1.28144
-137.757       0.972807
-137.428       -1.02534
-136.719       -0.77901
-136.406       2.26314
-136.256       0.289875
-136.058       0.171148
-135.785       -0.347307
-135.62       -1.11222
-135.369       -2.08295
-135.229       1.72074
-135.021       1.0601
-134.614       1.24039
-134.235       -0.874044
-134.043       -0.953594
-133.481       1.29534
-133.045       0.563815
-132.963       -2.68359
-132.257       1.3685
-131.632       0.128482
-131.495       -1.83127
-131.071       0.801147
-130.586       0.0897544
-130.053       -2.33664
-129.789       0.393723
-129.284       -2.67498
-128.679       1.53597
-127.816       -0.901835
-127.316       2.44229
-126.956       1.70078e-12
-126.95       -1.14353
-126.473       0.845902
-126.363       1.81487e-14
-126.21       2.84726e-14
-125.074       -1.93294
-122.27       -5.24016e-14
-122.194       0.391423
-120.866       -1.02393e-13
-120.768       -8.56267e-14
-120.727       -9.75263e-14
-120.546       -5.36879
-119.725       1.72215e-14
-119.547       0.358882
-116.837       5.69547e-15
-116.6       -1.90745
-111       -1.3306e-16
-110.242       3.95039e-15
-108.891       3.51146e-15
-108.839       4.21189e-15
-108.731       0.0539836
-108.604       1.44875e-15
-108.487       1.94311e-15
-107.979       3.51872e-15
-107.531       8.48581e-15
-107.471       1.8514e-15
-107.325       1.39237e-15
-106.98       2.01207e-15
-106.824       5.29982e-15
