#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 1.61057 fm^-1      and E_F = -52.0162 MeV
#
#
#    E              |M_kE|^2

-250.471       2.82579e-15
-248.648       -0.410648
-247.674       1.19793e-14
-246.216       -2.58229e-14
-245.595       -1.27218e-15
-245.293       0.840038
-243.606       0.109503
-243.228       -4.39209e-15
-242.493       7.72365e-16
-241.728       -0.085437
-240.847       3.21164e-15
-240.773       0.0967484
-240.544       6.90403e-15
-239.795       3.67177e-15
-239.795       3.69352e-17
-239.579       -3.60004e-15
-239.491       -1.93764e-14
-239.437       1.06785e-14
-239.424       -0.173932
-239.324       1.92408e-15
-238.984       -6.42398e-16
-238.965       3.61865e-15
-238.781       3.03699e-16
-238.594       2.36881e-16
-238.56       1.89299e-15
-238.462       -2.11303e-15
-238.36       -1.07273e-15
-238.292       -1.31318e-15
-238.149       -2.15554e-15
-238.101       4.42763e-15
-238.024       1.02298e-14
-237.978       -0.0460795
-237.774       1.03104e-17
-237.767       -4.3955e-16
-237.448       -1.02562e-15
-237.424       -7.24895e-16
-237.406       -4.18901e-16
-237.218       6.86562e-16
-236.881       1.4563e-15
-236.715       -3.61433e-16
-236.709       1.77727e-16
-236.417       3.34071e-17
-236.297       -6.00854e-16
-236.257       -7.69952e-16
-235.311       -0.136364
-235.088       -1.59623e-15
-234.655       -1.82595e-15
-234.593       1.29559e-14
-234.128       -5.22005e-15
-233.365       8.48014e-15
-233.358       -1.70997e-16
-232.86       1.44512
-232.817       -2.84495e-16
-232.706       -6.8093e-16
-232.3       9.85569e-15
-232.271       -2.32845e-16
-231.841       2.11589e-16
-231.83       8.03593e-17
-231.66       2.37436e-16
-231.139       -1.87829e-14
-230.818       -0.274251
-230.69       2.04696e-14
-230.69       -3.30405e-17
-230.095       -7.30649e-17
-228.617       2.37708e-16
-228.617       7.10587e-16
-228.274       -7.14984e-14
-228.272       0.111424
-225.923       -0.199324
-208.341       2.79366e-14
-208.207       -3.16464e-14
-208.075       3.08864e-14
-208.036       3.87286e-13
-208.011       -1.12427e-13
-207.958       1.48175
-206.459       2.63285e-14
-206.44       -1.0012e-14
-206.411       -5.52472e-15
-205.275       -4.89244e-15
-204.934       1.72376e-15
-204.373       5.23552e-15
-204.265       4.38179e-16
-204.254       -0.136625
-203.981       8.9961e-16
-203.487       1.50083e-15
-203.055       7.50444e-15
-202.937       0.689539
-202.845       -4.97044e-15
-202.402       -4.49146e-15
-202.173       -0.0141202
-201.611       1.77364e-14
-201.288       2.18365e-14
-200.745       1.25648e-14
-200.122       1.78254e-14
-199.881       1.4732e-14
-198.977       2.05365
-198.881       -1.78679e-14
-198.714       -1.14101e-14
-198.175       2.95328e-15
-197.37       7.71209e-15
-196.98       -0.130977
-196.473       -8.41384e-15
-195.72       1.26036
-195.117       7.56674e-14
-194.895       -0.414362
-194.73       0.0831311
-194.234       -0.561477
-193.398       -5.34415e-14
-193.313       0.770689
-192.007       6.9704e-15
-191.441       -1.23192
-191.173       -9.32191e-15
-190.526       -6.43685e-15
-189.878       0.186064
-189.525       3.24093e-15
-188.273       -0.276155
-188.199       -2.0288e-14
-186.914       0.160053
-186.805       -0.355964
-186.287       0.535724
-185.79       7.66533e-15
-184.909       2.07719e-15
-184.137       3.3532e-16
-182.925       0.854042
-182.85       -4.32052e-16
-182.041       -1.0604e-14
-181.332       0.0170536
-181.15       1.41331e-14
-180.095       -1.36575e-13
-180.046       0.348429
-179.359       0.0308611
-178.572       -6.6348e-15
-178.317       0.178347
-177.501       5.62604e-16
-176.731       8.18313e-16
-175.388       6.43399e-16
-174.548       2.90378e-15
-173.766       -0.515987
-173.662       1.80976e-15
-172.624       -1.10694
-172.574       -4.69648e-14
-172.106       5.71193e-15
-171.352       3.1583e-15
-170.528       -6.83215e-16
-169.091       1.50244e-15
-168.822       -0.00733392
-167.401       3.82576e-14
-167.379       1.02754
-166.703       5.83849e-15
-165.947       -4.6907e-15
-165.903       1.1773
-165.416       -1.86494e-15
-164.65       1.27389e-16
-163.304       3.72723e-15
-162.375       0.263404
-162.079       -5.47918e-14
-161.732       -2.92949
-161.304       1.08389
-160.901       -2.96187e-14
-160.513       -0.491403
-160.044       6.68235e-15
-159.713       2.90148e-15
-159.373       1.19729e-15
-157.477       -4.51058e-15
-157.461       -1.04098e-15
-157.359       1.72644
-153.56       -1.23521e-15
-151.686       -0.987778
-149.311       -3.03452e-15
-148.717       -2.25591e-15
-147.826       -1.28057e-14
-147.568       -5.76737e-14
-147.474       0.945911
-147.189       1.08379e-14
-146.116       1.65753e-14
-145.787       3.21271e-13
-145.756       -1.61963
-144.859       0.966854
-144.381       1.24114e-14
