#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 1.80067 fm^-1 (group = 5)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = -7.06795 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-280.96      -9.40426       0.00299592            1.80067
-280.26      -9.41258       0.0031135            1.80067
-279.56      -9.421       0.00323674            1.80067
-278.86      -9.42952       0.00336617            1.80067
-278.16      -9.43814       0.00350238            1.80067
-277.46      -9.44688       0.00364607            1.80067
-276.76      -9.45573       0.00379805            1.80067
-276.06      -9.4647       0.00395925            1.80067
-275.36      -9.4738       0.00413081            1.80067
-274.66      -9.48304       0.00431404            1.80067
-273.96      -9.49241       0.00451057            1.80067
-273.26      -9.50193       0.00472231            1.80067
-272.56      -9.51161       0.00495167            1.80067
-271.86      -9.52146       0.00520157            1.80067
-271.16      -9.5315       0.00547572            1.80067
-270.46      -9.54173       0.00577881            1.80067
-269.76      -9.55217       0.00611686            1.80067
-269.06      -9.56285       0.00649777            1.80067
-268.36      -9.57379       0.00693203            1.80067
-267.66      -9.58503       0.0074339            1.80067
-266.96      -9.59661       0.00802316            1.80067
-266.26      -9.60857       0.00872801            1.80067
-265.56      -9.62099       0.00958993            1.80067
-264.86      -9.63396       0.0106723            1.80067
-264.16      -9.6476       0.0120764            1.80067
-263.46      -9.66208       0.0139744            1.80067
-262.76      -9.67761       0.0166774            1.80067
-262.06      -9.69432       0.0207522            1.80067
-261.36      -9.71197       0.0268731            1.80067
-260.66      -9.73084       0.0348698            1.80067
-259.96      -9.7535       0.0474724            1.80067
-259.26      -9.7785       0.072741            1.80067
-258.56      -9.79302       0.122565            1.80067
-257.86      -9.75272       0.187225            1.80067
-257.16      -9.66654       0.173676            1.80067
-256.46      -9.64675       0.10838            1.80067
-255.76      -9.66709       0.0677613            1.80067
-255.06      -9.69219       0.0477645            1.80067
-254.36      -9.71475       0.0376177            1.80067
-253.66      -9.73409       0.0306259            1.80067
-252.96      -9.75345       0.0247746            1.80067
-252.26      -9.77282       0.0210864            1.80067
-251.56      -9.79156       0.0189196            1.80067
-250.86      -9.80972       0.0176331            1.80067
-250.16      -9.82751       0.0168832            1.80067
-249.46      -9.84509       0.016487            1.80067
-248.76      -9.86261       0.0163414            1.80067
-248.06      -9.88017       0.0163851            1.80067
-247.36      -9.89786       0.0165803            1.80067
-246.66      -9.91576       0.0169039            1.80067
-245.96      -9.93392       0.017342            1.80067
-245.26      -9.95242       0.0178875            1.80067
-244.56      -9.9713       0.0185383            1.80067
-243.86      -9.99064       0.0192967            1.80067
-243.16      -10.0105       0.0201686            1.80067
-242.46      -10.0309       0.0211643            1.80067
-241.76      -10.052       0.0222984            1.80067
-241.06      -10.0738       0.0235911            1.80067
-240.36      -10.0965       0.0250697            1.80067
-239.66      -10.1201       0.0267712            1.80067
-238.96      -10.1448       0.0287461            1.80067
-238.26      -10.1707       0.0310648            1.80067
-237.56      -10.198       0.0338285            1.80067
-236.86      -10.2271       0.0371881            1.80067
-236.16      -10.2583       0.041379            1.80067
-235.46      -10.2919       0.0467924            1.80067
-234.76      -10.3285       0.054125            1.80067
-234.06      -10.3687       0.0646682            1.80067
-233.36      -10.4121       0.0803056            1.80067
-232.66      -10.4579       0.100955            1.80067
-231.96      -10.5119       0.130163            1.80067
-231.26      -10.5719       0.186515            1.80067
-230.56      -10.6044       0.292301            1.80067
-229.86      -10.5241       0.398896            1.80067
-229.16      -10.4173       0.346421            1.80067
-228.46      -10.4413       0.253843            1.80067
-227.76      -10.5211       0.21626            1.80067
-227.06      -10.6092       0.225713            1.80067
-226.36      -10.6806       0.268352            1.80067
-225.66      -10.7291       0.310233            1.80067
-224.96      -10.7928       0.344063            1.80067
-224.26      -10.8688       0.410092            1.80067
-223.56      -10.9263       0.489015            1.80067
-222.86      -11.0209       0.582838            1.80067
-222.16      -11.1049       0.804833            1.80067
-221.46      -10.9934       1.08801            1.80067
-220.76      -10.7465       1.21648            1.80067
-220.06      -10.519       1.16686            1.80067
-219.36      -10.4418       1.06005            1.80067
-218.66      -10.4317       1.02249            1.80067
-217.96      -10.3575       1.02865            1.80067
