#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 1.61057 fm^-1 (group = 2)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-250.471       1.07472e-17
-248.649       0.00185851
-247.674       5.13623e-17
-246.216       1.15117e-16
-245.595       9.73998e-17
-245.296       0.00385789
-243.607       0.000506043
-243.228       2.6596e-17
-242.493       1.42958e-17
-241.728       0.000398883
-240.847       1.08343e-16
-240.773       0.000453912
-240.544       1.09683e-17
-239.795       1.12037e-17
-239.795       1.18585e-19
-239.579       4.40957e-17
-239.491       1.82063e-16
-239.437       3.05686e-16
-239.424       0.000821648
-239.324       4.50476e-17
-238.984       6.59911e-17
-238.965       1.51267e-17
-238.781       5.11615e-17
-238.594       1.63355e-16
-238.56       5.34969e-17
-238.462       8.97093e-17
-238.36       2.13507e-16
-238.292       3.30004e-17
-238.149       8.59772e-17
-238.101       8.99617e-17
-238.024       1.27014e-16
-237.978       0.000219324
-237.774       1.86483e-17
-237.767       4.36933e-17
-237.448       4.47775e-17
-237.424       5.78964e-17
-237.406       9.65211e-17
-237.218       1.78006e-17
-236.881       2.09868e-17
-236.715       5.72933e-18
-236.709       7.39388e-17
-236.417       1.0814e-16
-236.297       1.33259e-16
-236.257       6.51235e-17
-235.311       0.00065919
-235.088       1.70613e-16
-234.655       3.76421e-17
-234.593       1.01613e-16
-234.128       1.26421e-18
-233.365       6.3855e-17
-233.358       9.48677e-19
-232.87       0.00704343
-232.817       1.06506e-15
-232.706       1.22415e-16
-232.3       3.14555e-17
-232.271       1.40946e-18
-231.841       8.98987e-18
-231.83       9.1073e-18
-231.66       2.08928e-17
-231.139       1.05946e-16
-230.819       0.00134378
-230.69       6.54415e-18
-230.69       1.60028e-16
-230.095       1.14569e-16
-228.617       1.03793e-16
-228.617       3.64065e-17
-228.274       6.32076e-15
-228.272       0.000554629
-225.923       0.00100515
-208.341       3.95955e-16
-208.207       9.27673e-17
-208.075       4.20649e-17
-208.036       1.29475e-15
-208.011       8.16307e-16
-207.97       0.00827182
-206.459       8.37205e-17
-206.44       6.02274e-17
-206.411       4.12196e-17
-205.275       6.89586e-17
-204.934       2.98156e-17
