#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 2.41585 fm^-1 (group = 13)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = 54.1455 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-287.96      52.8967       -0.000914243            2.41585
-287.26      52.893       -0.000875981            2.41585
-286.56      52.8892       -0.000835145            2.41585
-285.86      52.8854       -0.000791449            2.41585
-285.16      52.8816       -0.000744559            2.41585
-284.46      52.8777       -0.00069408            2.41585
-283.76      52.8737       -0.000639546            2.41585
-283.06      52.8697       -0.000580398            2.41585
-282.36      52.8656       -0.000515959            2.41585
-281.66      52.8615       -0.000445408            2.41585
-280.96      52.8573       -0.000367731            2.41585
-280.26      52.8531       -0.000281671            2.41585
-279.56      52.8488       -0.000185639            2.41585
-278.86      52.8444       -7.76154e-05            2.41585
-278.16      52.8399       4.50202e-05            2.41585
-277.46      52.8353       0.000185713            2.41585
-276.76      52.8306       0.000349081            2.41585
-276.06      52.8258       0.000541444            2.41585
-275.36      52.8209       0.000771666            2.41585
-274.66      52.8158       0.00105253            2.41585
-273.96      52.8105       0.00140308            2.41585
-273.26      52.805       0.00185287            2.41585
-272.56      52.7992       0.00244992            2.41585
-271.86      52.7931       0.00327696            2.41585
-271.16      52.7864       0.00448663            2.41585
-270.46      52.7792       0.00638341            2.41585
-269.76      52.7714       0.00961638            2.41585
-269.06      52.7637       0.015487            2.41585
-268.36      52.7596       0.0246272            2.41585
-267.66      52.7617       0.0293206            2.41585
-266.96      52.7578       0.0279798            2.41585
-266.26      52.7474       0.0333044            2.41585
-265.56      52.7404       0.0511016            2.41585
-264.86      52.7565       0.0754611            2.41585
-264.16      52.7901       0.0677462            2.41585
-263.46      52.7966       0.0405521            2.41585
-262.76      52.7875       0.0235284            2.41585
-262.06      52.7764       0.0148333            2.41585
-261.36      52.7662       0.0101873            2.41585
-260.66      52.7569       0.00751228            2.41585
-259.96      52.7485       0.00587142            2.41585
-259.26      52.7406       0.00481664            2.41585
-258.56      52.7331       0.00411708            2.41585
-257.86      52.7258       0.00364547            2.41585
-257.16      52.7187       0.00332753            2.41585
-256.46      52.7117       0.00311773            2.41585
-255.76      52.7048       0.00298707            2.41585
-255.06      52.6979       0.00291649            2.41585
-254.36      52.6909       0.0028931            2.41585
-253.66      52.684       0.00290808            2.41585
-252.96      52.677       0.00295528            2.41585
-252.26      52.67       0.00303043            2.41585
-251.56      52.6628       0.00313058            2.41585
-250.86      52.6556       0.00325377            2.41585
-250.16      52.6483       0.00339879            2.41585
-249.46      52.6409       0.00356502            2.41585
-248.76      52.6333       0.00375234            2.41585
-248.06      52.6256       0.00396106            2.41585
-247.36      52.6177       0.00419186            2.41585
-246.66      52.6097       0.00444582            2.41585
-245.96      52.6015       0.00472441            2.41585
-245.26      52.593       0.00502949            2.41585
-244.56      52.5844       0.00536338            2.41585
-243.86      52.5756       0.00572892            2.41585
-243.16      52.5665       0.00612956            2.41585
-242.46      52.5571       0.00656947            2.41585
-241.76      52.5474       0.00705373            2.41585
-241.06      52.5374       0.00758854            2.41585
-240.36      52.5271       0.00818156            2.41585
-239.66      52.5164       0.00884233            2.41585
-238.96      52.5052       0.00958291            2.41585
-238.26      52.4936       0.0104188            2.41585
-237.56      52.4814       0.0113706            2.41585
-236.86      52.4686       0.0124656            2.41585
-236.16      52.4552       0.0137426            2.41585
-235.46      52.4409       0.0152574            2.41585
-234.76      52.4257       0.0170964            2.41585
-234.06      52.4094       0.0194013            2.41585
-233.36      52.3918       0.0224162            2.41585
-232.66      52.3728       0.0264894            2.41585
-231.96      52.3523       0.0317584            2.41585
-231.26      52.3292       0.0391319            2.41585
-230.56      52.3036       0.0517286            2.41585
-229.86      52.2803       0.0737253            2.41585
-229.16      52.2726       0.0993562            2.41585
-228.46      52.2687       0.103674            2.41585
-227.76      52.2425       0.107927            2.41585
-227.06      52.2114       0.131143            2.41585
-226.36      52.1926       0.17547            2.41585
-225.66      52.2199       0.214247            2.41585
-224.96      52.242       0.189827            2.41585
-224.26      52.2108       0.160145            2.41585
-223.56      52.1526       0.156486            2.41585
-222.86      52.0847       0.182249            2.41585
-222.16      52.0163       0.245061            2.41585
-221.46      51.9835       0.352053            2.41585
-220.76      52.0115       0.438567            2.41585
-220.06      52.018       0.507571            2.41585
-219.36      52.0699       0.619977            2.41585
-218.66      52.2067       0.667028            2.41585
-217.96      52.2992       0.604907            2.41585
-217.26      52.3139       0.547168            2.41585
-216.56      52.3117       0.508225            2.41585
-215.86      52.2798       0.46117            2.41585
-215.16      52.1903       0.448691            2.41585
-214.46      52.0891       0.531336            2.41585
-213.76      52.0821       0.677057            2.41585
-213.06      52.1162       0.778825            2.41585
-212.36      52.1988       0.946772            2.41585
-211.66      52.4672       0.978979            2.41585
-210.96      52.5733       0.791173            2.41585
-210.26      52.4819       0.684715            2.41585
-209.56      52.3488       0.770855            2.41585
-208.86      52.3958       1.0377            2.41585
-208.16      52.7518       1.18396            2.41585
-207.46      53.1283       0.963887            2.41585
-206.76      53.1922       0.599215            2.41585
-206.06      53.0855       0.372265            2.41585
-205.36      52.9627       0.25542            2.41585
-204.66      52.857       0.195569            2.41585
-203.96      52.7734       0.165535            2.41585
-203.26      52.7085       0.142655            2.41585
-202.56      52.6448       0.122401            2.41585
-201.86      52.582       0.111906            2.41585
-201.16      52.5209       0.109237            2.41585
-200.46      52.4591       0.117222            2.41585
-199.76      52.3992       0.143489            2.41585
-199.06      52.3592       0.198944            2.41585
-198.36      52.3861       0.253768            2.41585
-197.66      52.4265       0.219283            2.41585
-196.96      52.3944       0.166821            2.41585
-196.26      52.3353       0.150396            2.41585
-195.56      52.2823       0.162071            2.41585
-194.86      52.2426       0.185945            2.41585
-194.16      52.2294       0.222822            2.41585
-193.46      52.2526       0.215259            2.41585
-192.76      52.2284       0.16511            2.41585
-192.06      52.1666       0.135103            2.41585
-191.36      52.0955       0.125719            2.41585
-190.66      52.0207       0.129259            2.41585
-189.96      51.941       0.143628            2.41585
-189.26      51.8558       0.171448            2.41585
-188.56      51.7712       0.216401            2.41585
-187.86      51.6921       0.26433            2.41585
-187.16      51.5865       0.316308            2.41585
-186.46      51.4518       0.419352            2.41585
-185.76      51.3357       0.620027            2.41585
-185.06      51.3767       0.87794            2.41585
-184.36      51.495       0.950178            2.41585
-183.66      51.464       1.00528            2.41585
-182.96      51.4242       1.125            2.41585
-182.26      51.3512       1.34177            2.41585
-181.56      51.4592       1.71098            2.41585
-180.86      51.8057       1.92175            2.41585
-180.16      52.1817       1.89667            2.41585
-179.46      52.3365       1.61508            2.41585
-178.76      52.1139       1.5014            2.41585
-178.06      51.8935       1.84139            2.41585
-177.36      52.214       2.44259            2.41585
-176.66      52.9987       2.46235            2.41585
-175.96      53.3615       2.08382            2.41585
-175.26      53.5507       1.78839            2.41585
-174.56      53.6175       1.51096            2.41585
-173.86      53.6747       1.34119            2.41585
-173.16      53.8065       1.09679            2.41585
-172.46      53.7763       0.751404            2.41585
-171.76      53.6169       0.524502            2.41585
-171.06      53.4714       0.396366            2.41585
-170.36      53.3413       0.297166            2.41585
-169.66      53.2129       0.229453            2.41585
-168.96      53.0966       0.187728            2.41585
-168.26      52.9928       0.161758            2.41585
-167.56      52.8988       0.146141            2.41585
-166.86      52.8125       0.138716            2.41585
-166.16      52.7346       0.136769            2.41585
-165.46      52.6607       0.134245            2.41585
-164.76      52.5839       0.134657            2.41585
-164.06      52.5042       0.140345            2.41585
-163.36      52.4188       0.153817            2.41585
-162.66      52.3267       0.1799            2.41585
-161.96      52.2256       0.227302            2.41585
-161.26      52.1243       0.317881            2.41585
-160.56      52.0753       0.465331            2.41585
-159.86      52.1294       0.575812            2.41585
-159.16      52.1579       0.581222            2.41585
-158.46      52.0967       0.617707            2.41585
-157.76      52.0727       0.739773            2.41585
-157.06      52.1453       0.838671            2.41585
-156.36      52.2102       0.833989            2.41585
-155.66      52.1883       0.819247            2.41585
-154.96      52.1133       0.859704            2.41585
-154.26      52.0495       1.01608            2.41585
-153.56      52.1366       1.19216            2.41585
-152.86      52.2435       1.28065            2.41585
