#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 1.13884 fm^-1 (group = 4)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-236.273       1.57762e-16
-236.201       1.03923e-16
-235.869       0.00508611
-235.858       1.73412e-16
-234.945       7.80926e-17
-234.933       1.05735e-17
-232.055       8.92118e-17
-231.953       0.000836906
-213.859       6.15588e-17
-212.18       0.00181341
-211.847       7.64346e-17
-211.759       1.22743e-17
-211.071       0.00339203
-211.031       6.50396e-17
-210.472       7.4501e-17
-209.972       9.1891e-17
-209.805       3.98526e-17
-209.424       7.42224e-17
-208.075       1.16045e-16
-207.83       5.88327e-17
-207.654       2.86488e-16
-207.537       0.00242387
-206.674       1.23413e-16
-206.272       0.000853974
-205.998       1.07901e-16
-205.539       0.00809427
-205.282       1.01431e-15
-205.228       3.24517e-15
-205.218       0.00871091
-205.187       3.30609e-15
-204.344       2.46209e-16
-204.306       1.33032e-16
-204.182       5.37764e-17
-204.16       2.46114e-16
-203.887       9.596e-16
-203.864       1.22298e-16
-203.698       0.00766298
-203.636       4.58563e-16
-203.315       1.12757e-17
-202.893       5.68122e-17
-202.763       1.12974e-16
-202.635       5.10009e-16
-202.439       0.0122604
-202.29       2.70227e-15
-202.258       0.00694702
-201.923       2.94903e-17
-201.666       0.00811899
-201.508       4.72278e-16
-201.156       0.0101005
-201.12       6.89553e-15
-200.924       8.24861e-16
-200.467       2.48716e-16
-200.316       0.0188179
-200.17       2.38931e-15
-199.914       1.61329e-16
-199.793       0.012392
-198.905       0.00180446
-198.854       3.5822e-16
-198.306       1.19696e-16
-198.093       1.6263e-16
-197.636       0.000853003
-197.544       2.25297e-16
-196.981       0.0031252
-196.956       8.71265e-16
-196.189       0.00477918
-196.01       0.0050939
-195.929       1.34007e-15
-195.633       0.00654846
-195.002       0.00654667
-194.523       0.00050441
-194.387       2.35489e-16
-194.005       0.00780299
-193.38       0.00100937
-192.896       3.85109e-16
-192.782       0.00885309
-192.259       0.0005762
-192.062       4.3715e-16
-191.649       0.00235402
-191.376       0.00637829
-190.534       0.0048215
