#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 1.97253 fm^-1 (group = 11)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = 9.14623 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-280.96      7.11705       0.000884362            1.97253
-280.26      7.11014       0.000960038            1.97253
-279.56      7.10315       0.00103862            1.97253
-278.86      7.0961       0.00112027            1.97253
-278.16      7.08896       0.00120515            1.97253
-277.46      7.08174       0.00129345            1.97253
-276.76      7.07444       0.00138537            1.97253
-276.06      7.06706       0.00148114            1.97253
-275.36      7.05959       0.00158098            1.97253
-274.66      7.05203       0.00168516            1.97253
-273.96      7.04438       0.00179395            1.97253
-273.26      7.03663       0.00190768            1.97253
-272.56      7.02878       0.00202667            1.97253
-271.86      7.02084       0.00215131            1.97253
-271.16      7.01278       0.00228202            1.97253
-270.46      7.00462       0.00241924            1.97253
-269.76      6.99634       0.00256349            1.97253
-269.06      6.98795       0.00271536            1.97253
-268.36      6.97943       0.00287547            1.97253
-267.66      6.97078       0.00304455            1.97253
-266.96      6.962       0.00322342            1.97253
-266.26      6.95308       0.003413            1.97253
-265.56      6.94402       0.00361436            1.97253
-264.86      6.9348       0.00382871            1.97253
-264.16      6.92541       0.00405746            1.97253
-263.46      6.91586       0.00430223            1.97253
-262.76      6.90612       0.00456494            1.97253
-262.06      6.8962       0.00484782            1.97253
-261.36      6.88607       0.00515356            1.97253
-260.66      6.87572       0.00548535            1.97253
-259.96      6.86513       0.00584706            1.97253
-259.26      6.85429       0.00624343            1.97253
-258.56      6.84318       0.00668032            1.97253
-257.86      6.83176       0.00716508            1.97253
-257.16      6.82002       0.00770708            1.97253
-256.46      6.80791       0.00831845            1.97253
-255.76      6.7954       0.00901524            1.97253
-255.06      6.78243       0.00981912            1.97253
-254.36      6.76893       0.0107602            1.97253
-253.66      6.75483       0.0118817            1.97253
-252.96      6.74002       0.0132478            1.97253
-252.26      6.72435       0.0149588            1.97253
-251.56      6.70764       0.0171804            1.97253
-250.86      6.68965       0.0202054            1.97253
-250.16      6.67006       0.0245959            1.97253
-249.46      6.64867       0.0315129            1.97253
-248.76      6.62632       0.0432869            1.97253
-248.06      6.6086       0.0616872            1.97253
-247.36      6.60089       0.0749045            1.97253
-246.66      6.58218       0.0784467            1.97253
-245.96      6.54954       0.0965732            1.97253
-245.26      6.52196       0.144355            1.97253
-244.56      6.54474       0.216349            1.97253
-243.86      6.62438       0.219465            1.97253
-243.16      6.63903       0.162307            1.97253
-242.46      6.60798       0.139031            1.97253
-241.76      6.58983       0.147625            1.97253
-241.06      6.59138       0.139519            1.97253
-240.36      6.5682       0.121502            1.97253
-239.66      6.53787       0.124665            1.97253
-238.96      6.52419       0.13084            1.97253
-238.26      6.5037       0.117849            1.97253
-237.56      6.45886       0.110556            1.97253
-236.86      6.4019       0.123133            1.97253
-236.16      6.34135       0.160441            1.97253
-235.46      6.29228       0.225282            1.97253
-234.76      6.25433       0.300738            1.97253
-234.06      6.2112       0.431529            1.97253
-233.36      6.28108       0.656588            1.97253
-232.66      6.58221       0.783673            1.97253
-231.96      6.85673       0.590971            1.97253
-231.26      6.8736       0.352212            1.97253
-230.56      6.79973       0.220788            1.97253
-229.86      6.72195       0.157854            1.97253
-229.16      6.65863       0.131731            1.97253
-228.46      6.61839       0.119318            1.97253
-227.76      6.58553       0.0969751            1.97253
-227.06      6.54336       0.077007            1.97253
-226.36      6.49944       0.0661302            1.97253
-225.66      6.45691       0.0617867            1.97253
-224.96      6.41567       0.0629925            1.97253
-224.26      6.37636       0.0714811            1.97253
-223.56      6.34601       0.0901798            1.97253
-222.86      6.33948       0.104366            1.97253
-222.16      6.33118       0.088265            1.97253
-221.46      6.2997       0.0701868            1.97253
-220.76      6.2608       0.0625266            1.97253
-220.06      6.22229       0.0623703            1.97253
-219.36      6.18845       0.0650067            1.97253
-218.66      6.1555       0.0626776            1.97253
-217.96      6.11657       0.0596212            1.97253
-217.26      6.07434       0.0594097            1.97253
-216.56      6.03025       0.061308            1.97253
-215.86      5.98418       0.0646862            1.97253
-215.16      5.93564       0.0693501            1.97253
-214.46      5.88403       0.0753618            1.97253
-213.76      5.82862       0.0829786            1.97253
-213.06      5.76854       0.0926896            1.97253
-212.36      5.70277       0.105361            1.97253
-211.66      5.63038       0.122459            1.97253
-210.96      5.55107       0.145493            1.97253
-210.26      5.46285       0.175431            1.97253
-209.56      5.36471       0.218058            1.97253
-208.86      5.25852       0.27162            1.97253
-208.16      5.12601       0.345134            1.97253
-207.46      4.97495       0.481557            1.97253
-206.76      4.87317       0.702315            1.97253
-206.06      4.85685       0.909271            1.97253
-205.36      4.81821       1.15708            1.97253
-204.66      4.99561       1.48522            1.97253
-203.96      5.28975       1.51207            1.97253
-203.26      5.36099       1.45535            1.97253
-202.56      5.41778       1.48848            1.97253
-201.86      5.51801       1.44774            1.97253
-201.16      5.47537       1.31916            1.97253
-200.46      5.28402       1.29229            1.97253
-199.76      5.03998       1.41905            1.97253
-199.06      4.8379       1.71695            1.97253
-198.36      4.75296       2.19198            1.97253
-197.66      4.99071       2.66434            1.97253
-196.96      5.16767       2.95261            1.97253
-196.26      5.43523       3.60732            1.97253
-195.56      6.51584       4.12903            1.97253
-194.86      7.68474       3.59033            1.97253
-194.16      8.04089       2.70091            1.97253
-193.46      7.94415       2.10182            1.97253
-192.76      7.81791       1.84948            1.97253
-192.06      7.83744       1.58974            1.97253
-191.36      7.71491       1.33149            1.97253
-190.66      7.63746       1.21766            1.97253
-189.96      7.62924       1.0463            1.97253
-189.26      7.53122       0.830386            1.97253
-188.56      7.37008       0.710251            1.97253
-187.86      7.2593       0.657211            1.97253
-187.16      7.1949       0.588275            1.97253
-186.46      7.11325       0.481929            1.97253
-185.76      6.97883       0.388313            1.97253
-185.06      6.81925       0.344287            1.97253
-184.36      6.66086       0.357825            1.97253
-183.66      6.53998       0.439814            1.97253
-182.96      6.54208       0.543185            1.97253
-182.26      6.60255       0.502676            1.97253
-181.56      6.55321       0.403484            1.97253
-180.86      6.45652       0.349055            1.97253
-180.16      6.34891       0.309703            1.97253
-179.46      6.21374       0.293314            1.97253
-178.76      6.06385       0.31837            1.97253
-178.06      5.91613       0.394913            1.97253
-177.36      5.80046       0.524068            1.97253
-176.66      5.72996       0.690274            1.97253
-175.96      5.76621       0.899907            1.97253
-175.26      5.90801       0.980299            1.97253
-174.56      5.97357       1.00716            1.97253
-173.86      6.11294       1.0697            1.97253
-173.16      6.31484       0.923945            1.97253
-172.46      6.29805       0.669913            1.97253
-171.76      6.14609       0.510603            1.97253
-171.06      5.96438       0.445777            1.97253
-170.36      5.79165       0.432944            1.97253
-169.66      5.6049       0.450058            1.97253
-168.96      5.39814       0.532314            1.97253
-168.26      5.22034       0.711599            1.97253
-167.56      5.16067       0.945508            1.97253
-166.86      5.17727       1.1048            1.97253
-166.16      5.20606       1.25229            1.97253
-165.46      5.29512       1.29937            1.97253
-164.76      5.19771       1.2096            1.97253
-164.06      4.85019       1.32026            1.97253
-163.36      4.49282       1.84015            1.97253
-162.66      4.57765       2.83978            1.97253
-161.96      5.68486       3.67135            1.97253
-161.26      7.10077       3.18518            1.97253
-160.56      7.41869       2.10397            1.97253
-159.86      7.12818       1.48617            1.97253
-159.16      6.78579       1.32442            1.97253
-158.46      6.73463       1.42908            1.97253
-157.76      6.9753       1.25285            1.97253
-157.06      6.93143       0.846897            1.97253
-156.36      6.70134       0.585219            1.97253
-155.66      6.45748       0.447101            1.97253
-154.96      6.23324       0.373076            1.97253
-154.26      6.02648       0.333715            1.97253
-153.56      5.83018       0.316098            1.97253
-152.86      5.63761       0.315231            1.97253
-152.16      5.44295       0.331119            1.97253
-151.46      5.24256       0.368593            1.97253
-150.76      5.03868       0.435496            1.97253
-150.06      4.84056       0.542407            1.97253
-149.36      4.69035       0.67732            1.97253
-148.66      4.54304       0.765746            1.97253
-147.96      4.34084       0.898347            1.97253
-147.26      4.146       1.09451            1.97253
-146.56      4.01604       1.41905            1.97253
-145.86      4.17683       1.63839            1.97253
-145.16      4.14201       1.48149            1.97253
-144.46      3.73279       1.47769            1.97253
-143.76      3.2634       1.8009            1.97253
-143.06      2.92843       2.35832            1.97253
-142.36      2.76378       3.11292            1.97253
-141.66      3.07987       3.90314            1.97253
-140.96      3.45758       4.13429            1.97253
-140.26      3.29674       4.48546            1.97253
-139.56      3.2892       5.51084            1.97253
-138.86      4.03598       6.6909            1.97253
-138.16      5.57764       7.68844            1.97253
-137.46      7.83643       7.1747            1.97253
-136.76      8.5985       5.61534            1.97253
-136.06      8.53719       4.73997            1.97253
-135.36      8.46716       4.2622            1.97253
-134.66      8.49123       3.96923            1.97253
-133.96      8.58371       3.59761            1.97253
-133.26      8.51203       3.22508            1.97253
-132.56      8.33625       3.03565            1.97253
-131.86      8.3156       3.07413            1.97253
-131.16      8.56702       3.02524            1.97253
-130.46      8.90837       2.7099            1.97253
-129.76      8.98537       2.12063            1.97253
-129.06      8.80316       1.67219            1.97253
-128.36      8.5597       1.30676            1.97253
-127.66      8.23608       1.06617            1.97253
-126.96      7.93899       0.947515            1.97253
-126.26      7.71061       0.861773            1.97253
-125.56      7.46851       0.743049            1.97253
-124.86      7.15758       0.659841            1.97253
-124.16      6.81093       0.651264            1.97253
-123.46      6.43947       0.71713            1.97253
-122.76      6.03007       0.876835            1.97253
-122.06      5.5702       1.19345            1.97253
-121.36      5.08985       1.80603            1.97253
-120.66      4.81773       2.98091            1.97253
-119.96      5.7172       4.67782            1.97253
-119.26      8.10995       4.84523            1.97253
-118.56      9.18555       3.24947            1.97253
-117.86      8.96676       2.17575            1.97253
-117.16      8.69149       1.80139            1.97253
-116.46      8.71409       1.47482            1.97253
-115.76      8.57599       0.998471            1.97253
-115.06      8.28251       0.677147            1.97253
-114.36      7.99341       0.495517            1.97253
-113.66      7.74075       0.387986            1.97253
-112.96      7.52047       0.320072            1.97253
-112.26      7.32442       0.275257            1.97253
-111.56      7.14568       0.245195            1.97253
-110.86      6.97888       0.22545            1.97253
-110.16      6.81974       0.213656            1.97253
-109.46      6.66468       0.208726            1.97253
-108.76      6.51045       0.210582            1.97253
-108.06      6.3541       0.220227            1.97253
-107.36      6.19364       0.239474            1.97253
-106.66      6.02657       0.268069            1.97253
-105.96      5.84304       0.309984            1.97253
-105.26      5.63866       0.380122            1.97253
-104.56      5.41361       0.490347            1.97253
-103.86      5.15155       0.666638            1.97253
-103.16      4.86526       0.999819            1.97253
-102.46      4.71166       1.60694            1.97253
-101.76      5.10847       2.34445            1.97253
-101.06      5.90189       2.37973            1.97253
