#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 2.41585 fm^-1 (group = 13)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-268.237       2.65862e-17
-267.919       0.000484968
-267.384       2.89148e-17
-264.624       0.000948088
-233.121       8.83965e-18
-232.158       0.000133609
-231.985       7.7168e-18
-231.197       5.7016e-18
-229.565       1.95408e-17
-229.035       0.000909207
-227.95       1.63661e-18
-227.213       0.000481383
-226.839       1.96894e-17
-226.328       9.8051e-18
-225.709       0.00124344
-225.633       0.000807882
-225.586       3.76897e-16
-225.5       7.23725e-17
-225.187       4.23019e-17
-224.99       7.15573e-18
-224.967       4.46691e-17
-224.791       5.49911e-06
-224.726       8.93383e-17
-224.656       8.93383e-17
-224.634       0.000485752
-224.477       6.59195e-17
-224.228       6.245e-17
-224.177       4.64039e-17
-224.047       3.46945e-18
-223.943       6.245e-17
-223.779       4.16334e-17
-223.604       1.56125e-17
-223.123       0.000314346
-223.115       3.86843e-16
-222.912       4.51028e-17
-222.799       2.54148e-05
-222.539       3.81639e-17
-222.349       8.67362e-18
-222.058       0.000271827
-221.947       1.04083e-17
-221.493       4.16334e-17
-221.24       1.249e-16
-221.17       1.18503e-16
-221.081       0.00164349
-220.776       0.000724757
-220.456       1.73472e-17
-220.143       3.81639e-17
-219.729       1.80411e-16
-219.708       0.000964638
-219.406       0.00138791
-218.755       0.00218895
-218.721       3.14852e-16
-218.082       0.000940293
-218.013       2.35922e-16
-217.844       0.000846105
-217.415       0.000661963
-217.149       0.00106469
-216.581       0.000997512
-216.488       0.000875659
-216.179       0.000698183
-215.961       0.000296941
-215.685       0.000638964
-215.591       0.000462976
-214.956       0.000127777
-214.648       1.55041e-16
-213.781       0.000240486
-213.724       0.00222609
-213.249       6.93889e-18
-212.68       0.000872727
-212.329       3.81639e-17
-212.264       7.8266e-05
-211.932       0.00338894
-211.052       1.59595e-16
-211.01       0.000764907
-210.87       0.00102017
-210.471       0.000143814
-210.06       1.58727e-16
-209.581       1.66533e-16
-209.48       0.00016982
-208.7       1.11104e-16
-208.611       0.00303192
-207.906       1.1273e-16
-207.831       0.00338257
-205.311       1.60679e-16
-205.128       5.01444e-19
-203.637       1.10941e-15
-203.633       0.000641852
-202.908       1.52873e-17
-201.831       8.1532e-17
-201.812       0.000273786
-201.468       1.249e-16
-201.238       2.88398e-17
-201.045       2.42861e-17
-200.688       2.08167e-17
-200.649       5.55112e-17
-199.119       5.00359e-17
-198.287       0.00188066
-198.187       1.61763e-16
-197.624       4.33681e-17
-197.517       1.92554e-16
-197.049       6.28837e-18
-196.709       1.09504e-17
-195.374       0.000774689
-194.301       2.13891e-17
-193.827       0.00167404
-189.361       1.30104e-16
-189.166       7.28584e-17
-188.272       6.245e-17
-188.081       0.00103826
-187.475       1.88624e-05
-187.277       6.36019e-05
-186.854       0.000401063
-186.15       2.68882e-17
-184.904       0.00340536
-183.965       0.000105071
-183.325       0.00260975
-182.482       0.0012725
-182.007       0.000903022
-181.611       0.00158085
-181.441       0.00263359
-181.286       0.0028773
-181.005       0.000251106
-180.547       0.0023995
-180.465       0.0019302
-180.352       0.00108261
-180.027       0.00349888
-179.955       0.000793144
-179.572       0.000792255
-179.348       0.000328855
-178.773       0.000324194
-178.373       0.000333569
-177.612       0.00192621
-177.314       0.00321036
-177.026       0.00501647
-176.848       0.00225974
-176.516       0.000952801
-176.333       6.98385e-05
-175.633       0.00358574
-175.434       0.000626695
-175.345       0.00101643
-175.133       0.000787672
-175.021       0.00175381
-174.371       0.00215738
-173.983       0.000978454
-173.58       0.00258475
-173.453       0.000268094
-173.311       0.00250639
-172.741       0.000508067
-171.254       5.84727e-05
-171.185       0.00120002
-167.312       1.94289e-16
-166.029       0.000538579
-164.885       5.55112e-17
-164.517       0.000346358
-163.874       3.59887e-05
-162.797       0.000298794
-162.542       5.55112e-17
-160.769       1.56125e-16
-160.213       0.00222896
-159.952       0.00113946
-159.518       0.00199248
-158.229       0.000859751
-157.988       0.0014954
-157.831       0.00027725
-157.557       0.00130436
-157.239       0.00187607
-157.055       0.00159518
-156.897       0.00134379
-156.588       0.00170843
-156.4       0.00015759
-156.014       0.00140752
-155.818       0.00111849
-155.474       0.000313115
-155.333       0.0016782
-154.923       0.00105891
-154.03       0.000178533
-153.805       0.00351445
-153.38       0.00168988
-152.676       0.000488668
-152.473       0.00355827
-152.311       0.001861
-151.488       0.000185296
-151.153       2.65624e-05
-150.2       0.00599706
-149.674       0.0013687
-149.614       0.0041442
-149.025       0.00137758
-148.866       0.000371395
-148.778       1.18178e-17
-147.977       0.000804709
-147.4       0
-147.063       0.00199128
-146.743       0.00250225
-146.429       2.34188e-17
-144.945       1.23718e-17
-144.695       8.95187e-18
-143.529       0.00104815
-143.126       2.71308e-16
-143.031       0.000829206
-130.647       2.72197e-18
-129.424       0.00105181
-129.16       3.12534e-17
-128.198       4.33261e-17
-128.1       2.17299e-17
-127.862       0.00151622
-127.461       2.5472e-17
-127.387       3.8219e-17
-126.526       6.17995e-17
-126.466       9.20217e-18
-125.703       4.41474e-17
-124.849       7.35089e-17
-124.56       9.54098e-17
-124.083       0.00177198
-123.91       0.00196201
-123.809       7.63278e-16
-123.732       8.84709e-17
-123.49       8.32667e-17
-123.191       0.00279896
-122.882       6.245e-17
-122.559       3.60822e-16
-122.382       0.00295319
-121.471       4.4886e-17
-121.366       1.73472e-18
-120.849       0.00532475
-120.811       1.45717e-16
-120.583       0.00147163
-120.041       0.000332227
-119.524       1.32533e-15
-119.508       0.000973147
-119.433       0.0029191
-118.967       0.00315239
-118.681       0.0018193
-118.628       3.747e-16
-118.288       0.000922139
-118.133       0.0018602
-117.878       2.68882e-17
-117.395       0.00104205
-116.971       1.80411e-16
-116.822       0.00496327
-116.81       2.13024e-15
-116.459       0.00386505
-116.041       6.81538e-14
-116.04       0.00190974
-115.771       0.00171686
-115.567       0
-115.331       0.000263294
-115.183       0.00379054
-115.141       7.28584e-17
