#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 1.13884 fm^-1 (group = 4)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = -62.0276 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-255.273      -66.7379       0.0274763            1.13884
-254.573      -66.7633       0.0281517            1.13884
-253.873      -66.7892       0.0288637            1.13884
-253.173      -66.8156       0.0296164            1.13884
-252.473      -66.8425       0.0304148            1.13884
-251.773      -66.8699       0.0312648            1.13884
-251.073      -66.8978       0.0321736            1.13884
-250.373      -66.9264       0.0331499            1.13884
-249.673      -66.9556       0.0342045            1.13884
-248.973      -66.9854       0.035351            1.13884
-248.273      -67.016       0.0366065            1.13884
-247.573      -67.0475       0.037993            1.13884
-246.873      -67.0798       0.0395394            1.13884
-246.173      -67.113       0.041284            1.13884
-245.473      -67.1474       0.0432787            1.13884
-244.773      -67.1831       0.0455956            1.13884
-244.073      -67.2202       0.0483366            1.13884
-243.373      -67.259       0.0516506            1.13884
-242.673      -67.2999       0.0557615            1.13884
-241.973      -67.3432       0.0610187            1.13884
-241.273      -67.3897       0.0679903            1.13884
-240.573      -67.4402       0.0776477            1.13884
-239.873      -67.4961       0.0917507            1.13884
-239.173      -67.559       0.113711            1.13884
-238.473      -67.6308       0.150654            1.13884
-237.773      -67.7106       0.218398            1.13884
-237.073      -67.7781       0.350092            1.13884
-236.373      -67.7303       0.566298            1.13884
-235.673      -67.455       0.645728            1.13884
-234.973      -67.2981       0.44574            1.13884
-234.273      -67.3385       0.276338            1.13884
-233.573      -67.4237       0.190336            1.13884
-232.873      -67.5062       0.149638            1.13884
-232.173      -67.5765       0.130521            1.13884
-231.473      -67.6373       0.114874            1.13884
-230.773      -67.6998       0.101069            1.13884
-230.073      -67.7629       0.0928134            1.13884
-229.373      -67.8248       0.0884332            1.13884
-228.673      -67.886       0.0863525            1.13884
-227.973      -67.9468       0.0857374            1.13884
-227.273      -68.0078       0.0861477            1.13884
-226.573      -68.0696       0.0873392            1.13884
-225.873      -68.1323       0.0891726            1.13884
-225.173      -68.1964       0.0915696            1.13884
-224.473      -68.2621       0.0944919            1.13884
-223.773      -68.3297       0.0979286            1.13884
-223.073      -68.3996       0.101891            1.13884
-222.373      -68.472       0.10641            1.13884
-221.673      -68.5472       0.111536            1.13884
-220.973      -68.6256       0.117338            1.13884
-220.273      -68.7077       0.123914            1.13884
-219.573      -68.7938       0.131389            1.13884
-218.873      -68.8846       0.139932            1.13884
-218.173      -68.9806       0.149773            1.13884
-217.473      -69.0826       0.16123            1.13884
-216.773      -69.1917       0.17476            1.13884
-216.073      -69.309       0.191062            1.13884
-215.373      -69.436       0.211269            1.13884
-214.673      -69.5745       0.237394            1.13884
-213.973      -69.7266       0.273326            1.13884
-213.273      -69.8918       0.326721            1.13884
-212.573      -70.0591       0.406805            1.13884
-211.873      -70.2085       0.503209            1.13884
-211.173      -70.3292       0.588535            1.13884
-210.473      -70.4725       0.600349            1.13884
-209.773      -70.727       0.613387            1.13884
-209.073      -71.055       0.694756            1.13884
-208.373      -71.4342       0.860072            1.13884
-207.673      -71.8501       1.13077            1.13884
-206.973      -72.3127       1.54653            1.13884
-206.273      -72.7301       2.2815            1.13884
-205.573      -72.6292       3.23876            1.13884
-204.873      -72.2059       3.57055            1.13884
-204.173      -72.4311       3.75751            1.13884
-203.473      -72.7983       4.50184            1.13884
-202.773      -72.856       5.80816            1.13884
-202.073      -72.0536       7.10834            1.13884
-201.373      -71.1224       8.10938            1.13884
-200.673      -69.5083       9.44119            1.13884
-199.973      -66.2372       9.48729            1.13884
-199.273      -64.1021       6.85359            1.13884
-198.573      -64.373       4.37978            1.13884
-197.873      -65.4052       3.14138            1.13884
-197.173      -66.3766       2.75848            1.13884
-196.473      -67.0024       2.89209            1.13884
-195.773      -67.1151       3.12846            1.13884
-195.073      -67.0411       3.08207            1.13884
-194.373      -67.0814       2.95215            1.13884
-193.673      -67.1152       2.85781            1.13884
-192.973      -67.1354       2.79635            1.13884
-192.273      -67.1075       2.61045            1.13884
-191.573      -67.2622       2.49933            1.13884
-190.873      -67.2974       2.55173            1.13884
-190.173      -67.0422       2.53843            1.13884
-189.473      -66.8434       2.03612            1.13884
-188.773      -67.1218       1.53862            1.13884
-188.073      -67.5415       1.31108            1.13884
-187.373      -67.9457       1.25515            1.13884
-186.673      -68.3425       1.37725            1.13884
-185.973      -68.5126       1.75168            1.13884
-185.273      -68.1796       1.92716            1.13884
-184.573      -68.045       1.52684            1.13884
-183.873      -68.3463       1.23273            1.13884
-183.173      -68.6851       1.20356            1.13884
-182.473      -68.9213       1.23599            1.13884
-181.773      -69.1991       1.32156            1.13884
-181.073      -69.3261       1.58772            1.13884
-180.373      -69.1552       1.66475            1.13884
-179.673      -69.1694       1.39048            1.13884
-178.973      -69.5208       1.21033            1.13884
-178.273      -69.9665       1.30528            1.13884
-177.573      -70.276       1.71928            1.13884
-176.873      -70.0336       2.20248            1.13884
-176.173      -69.6165       1.97492            1.13884
-175.473      -69.789       1.57953            1.13884
-174.773      -70.1736       1.51167            1.13884
-174.073      -70.3659       1.70335            1.13884
-173.373      -70.2888       1.65585            1.13884
-172.673      -70.495       1.36576            1.13884
-171.973      -70.9452       1.2222            1.13884
-171.273      -71.449       1.28883            1.13884
-170.573      -71.8389       1.51109            1.13884
-169.873      -72.118       1.61488            1.13884
-169.173      -72.6376       1.66676            1.13884
-168.473      -73.328       1.98792            1.13884
-167.773      -73.9067       2.6569            1.13884
-167.073      -74.1769       3.29566            1.13884
-166.373      -74.8257       3.8482            1.13884
-165.673      -75.7638       5.36303            1.13884
-164.973      -75.4615       8.33187            1.13884
-164.273      -72.1049       10.3205            1.13884
-163.573      -69.072       8.72178            1.13884
-162.873      -68.7715       6.52358            1.13884
-162.173      -69.4875       5.76559            1.13884
-161.473      -69.8869       5.85314            1.13884
-160.773      -69.5585       6.32615            1.13884
-160.073      -68.7533       6.07301            1.13884
-159.373      -68.0501       5.6102            1.13884
-158.673      -67.4445       4.27654            1.13884
-157.973      -67.9622       2.87241            1.13884
-157.273      -68.8761       2.08352            1.13884
-156.573      -69.7791       1.68286            1.13884
-155.873      -70.62       1.48562            1.13884
-155.173      -71.4206       1.4093            1.13884
-154.473      -72.2106       1.42472            1.13884
-153.773      -73.014       1.53727            1.13884
-153.073      -73.8278       1.78897            1.13884
-152.373      -74.5408       2.21857            1.13884
-151.673      -75.0251       2.56256            1.13884
-150.973      -75.7596       2.6802            1.13884
-150.273      -76.8308       3.11013            1.13884
-149.573      -77.7675       4.03036            1.13884
-148.873      -78.254       4.82637            1.13884
-148.173      -79.3242       5.31334            1.13884
-147.473      -80.9812       6.74395            1.13884
-146.773      -82.1174       9.36138            1.13884
-146.073      -82.409       12.7718            1.13884
-145.373      -80.318       17.2826            1.13884
-144.673      -74.7988       18.2663            1.13884
-143.973      -72.7643       15.4902            1.13884
-143.273      -73.2929       14.6144            1.13884
-142.573      -73.1216       15.2618            1.13884
-141.873      -72.3899       15.5844            1.13884
-141.173      -71.1999       15.9333            1.13884
-140.473      -70.2909       14.9068            1.13884
-139.773      -71.0657       14.6511            1.13884
-139.073      -70.601       16.1815            1.13884
-138.373      -68.5498       15.7079            1.13884
-137.673      -68.7907       14.1977            1.13884
-136.973      -70.039       14.5655            1.13884
-136.273      -69.9328       16.2523            1.13884
-135.573      -68.3917       17.5611            1.13884
-134.873      -66.1488       17.0695            1.13884
-134.173      -65.8056       15.7745            1.13884
-133.473      -65.8807       16.0627            1.13884
-132.773      -64.3615       16.1257            1.13884
-132.073      -63.7263       14.6831            1.13884
-131.373      -64.2432       13.8982            1.13884
-130.673      -65.1269       14.2178            1.13884
-129.973      -64.6372       15.909            1.13884
-129.273      -62.2176       16.3588            1.13884
-128.573      -60.5361       14.6401            1.13884
-127.873      -60.4972       13.4914            1.13884
-127.173      -59.4614       12.8027            1.13884
-126.473      -59.0392       10.5011            1.13884
-125.773      -60.2932       8.90558            1.13884
-125.073      -61.172       8.34839            1.13884
-124.373      -62.1701       7.17405            1.13884
-123.673      -64.4011       6.55253            1.13884
-122.973      -67.1543       7.31635            1.13884
-122.273      -69.9512       9.94211            1.13884
-121.573      -71.5012       15.6617            1.13884
-120.873      -66.6141       23.955            1.13884
-120.173      -54.5348       23.43            1.13884
-119.473      -50.1546       14.9034            1.13884
-118.773      -51.6793       9.22751            1.13884
-118.073      -54.124       6.6497            1.13884
-117.373      -56.0096       5.93333            1.13884
-116.673      -56.4459       5.85534            1.13884
-115.973      -56.3618       4.62072            1.13884
-115.273      -57.2308       3.20859            1.13884
-114.573      -58.3895       2.3597            1.13884
-113.873      -59.4676       1.87218            1.13884
-113.173      -60.4232       1.57295            1.13884
-112.473      -61.2785       1.37857            1.13884
-111.773      -62.0597       1.24882            1.13884
-111.073      -62.7887       1.16323            1.13884
-110.373      -63.4832       1.11113            1.13884
-109.673      -64.1578       1.08757            1.13884
-108.973      -64.8255       1.0914            1.13884
-108.273      -65.4993       1.12464            1.13884
-107.573      -66.1926       1.19679            1.13884
-106.873      -66.9104       1.32271            1.13884
-106.173      -67.6611       1.50361            1.13884
-105.473      -68.4974       1.77893            1.13884
-104.773      -69.4069       2.28603            1.13884
-104.073      -70.1732       3.16233            1.13884
-103.373      -70.4331       4.04833            1.13884
