#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 0 fm^-1      and E_F = -42.8326 MeV
#
#
#    E              |M_kE|^2

-100.002       -3.70906e-16
-99.8366       -2.11744e-15
-99.6705       1.23824e-15
-99.602       2.68007e-16
-99.2952       4.99218e-16
-99.2303       4.48691e-16
-99.159       1.49334e-16
-99.0048       2.13309e-16
-98.9812       -2.69785e-16
-98.9648       3.63117e-16
-98.7791       -8.53728e-16
-98.7385       -4.15192e-17
-98.5379       1.154e-15
-98.5316       2.80594e-16
-98.1944       -2.14731
-97.8665       -4.783e-15
-97.8159       4.94469e-15
-97.8058       1.3187e-15
-97.592       -1.66719e-15
-97.5036       1.52583e-16
-96.7833       -4.83189e-16
-96.7427       1.30823e-13
-96.7407       -1.60706e-17
-96.6777       -3.96953e-14
-96.5764       2.78846e-16
-96.5761       -1.30128e-13
-96.4155       -0.489576
-95.8822       9.92719e-15
-95.8822       1.57402e-15
-95.6051       -6.04211e-16
-95.605       -5.22346e-15
-95.368       1.18308e-14
-94.9465       -7.39101e-16
-94.9464       -1.58377e-14
-94.583       -3.88654e-16
-94.5823       8.15534e-15
-94.5822       -4.91476e-16
-94.1091       -3.18773e-15
-93.9395       -5.04823e-16
-93.9393       1.67725e-14
-93.2968       -1.73963e-15
-93.2967       -9.98198e-15
-93.2966       2.95086e-16
-93.1571       1.6164e-16
-93.1571       1.27579e-16
-93.157       -9.82659e-15
-92.2242       -1.19181e-14
-89.5343       -21.6238
-88.1612       2.66085e-14
-88.1612       4.44205e-16
-83.3166       -1.50958e-14
-83.3164       -9.1415e-17
-83.3163       1.38123e-15
-82.9794       1.09192e-14
-82.9792       -1.05605e-15
-82.9791       1.22093e-15
-82.3927       2.72536e-14
-82.3927       1.04049e-15
-82.3926       1.58801e-15
-81.5958       4.26675e-14
-81.5952       -1.1122e-15
-81.5952       1.14252e-15
-81.5028       4.19461e-14
-81.5026       2.33207e-16
-80.0299       -6.45911


-5.63534       7.00773e-16
-5.63534       2.61155e-14
-5.63534       -3.87665e-16
-5.52733       1.23162e-14
-4.87463       -2.61901e-13
-4.87463       1.21145e-16
-4.87463       8.59967e-16
-4.69462       -5.47199
5.87485       5.47102e-15
6.00897       -1.12364e-14
6.17123       -1.42199e-15
6.2167       -2.63375e-15
6.39354       7.58847e-15
6.45268       -4.11079e-15
6.62123       -1.3975e-14
6.66062       6.86817e-15
6.67266       4.806e-15
7.05134       -2.92802e-15
7.10496       -1.03518e-16
7.23639       -3.33712e-14
7.58183       -1.59669e-14
7.96881       -6.46004e-14
8.35464       -1.0013e-13
8.59803       3.08217e-13
8.6225       5.22202
8.68995       1.97625e-13
8.983       2.18265e-14
9.16996       1.48123e-14
9.95798       2.40676e-15
10.0861       -4.67673e-15
10.497       2.12496e-14
10.7749       2.19303e-14
11.0874       2.75164e-14
11.6002       -1.42303e-15
11.7486       3.71708e-15
12.4886       2.02468e-16
12.6153       -2.22473
12.7025       8.51924e-15
13.3431       3.6663e-15
13.8971       -2.13847e-15
14.2345       1.33407e-14
14.6906       1.78049e-14
15.3458       1.29833e-14
15.7222       1.63355e-14
16.4009       1.14239e-15
16.8047       1.988
17.2083       3.26588e-14
17.5598       1.71235e-14
18.0178       6.05441e-15
18.7834       -5.03846
19.2       2.33431e-14
19.6157       -7.94506e-14
19.7149       -3.33326e-14
20.4651       -3.39814e-14
22.5607       1.41547e-13
22.9542       -2.38548
23.7084       -6.60306e-14
23.7887       -1.02244e-14
23.8904       -1.23897e-14
25.1186       -3.56043e-15
25.5712       -8.71017e-15
25.6086       -4.61067e-15
27.1797       -1.86336e-15
27.2852       -1.0925e-14
28.5208       7.52102e-17
30.4208       -3.02971e-14
30.7113       9.11292e-14
31.073       -2.32731
38.5489       -1.8699e-14
38.7451       -5.3346e-15
39.1324       -1.92593e-14
39.4732       1.44766
39.5132       1.44045e-13
40.755       -1.83971
40.8794       -1.35704e-13
41.6187       -2.37353e-14
42.4878       0.767322
42.8503       -0.969897
44.2575       1.49329
44.4037       1.52925e-13
45.7269       2.31351e-14
47.1597       -3.03076
47.8292       4.02397
48.302       -3.07183
48.3026       -5.68353e-10
49.051       1.84117
49.3788       -0.377072
51.0603       1.39003
52.0284       -2.41701
52.7125       1.74498
54.2473       4.05991e-14
54.8023       -1.60412
55.3205       -4.94638e-14
56.3782       0.848878
58.0464       -1.69924
58.7426       -9.42816e-15
59.9993       -4.87036e-15
61.686       -7.84755e-14
62.2317       3.18573
62.2499       1.05747e-12
63.6871       1.44124e-14
64.8895       1.37699e-15
67.0598       -0.639004
67.1419       -1.3729e-13
69.5139       -1.35085e-14
70.3869       -5.41083e-15
71.8154       -1.94515e-13
72.0182       2.15955
73.2043       2.84802e-14
75.2901       -2.47896
75.3595       -6.08192e-13
76.0328       2.42146
78.8914       -0.0827766
79.012       0.753439
80.1626       -2.71082
80.2787       -5.55939e-13
81.5705       2.37898
83.4537       1.19051e-13
83.7286       -2.72868
84.746       -2.35327e-14
87.2362       -4.54708e-14
87.7946       2.69626
88.6884       -0.205458
89.2756       -1.34652e-14
91.2721       -9.45314e-15
93.903       1.7201
94.0194       7.34771e-14
94.8272       1.66534e-14
96.3291       -0.0398785
101.163       0.225424
102.916       -0.912935
103.492       0.0877238
104.151       -0.277009
104.901       0.248192
105.929       0.0998088
106.483       -0.755207
107.148       0.420663
109.033       -2.74113
109.788       3.55648
110.57       -1.27264
111.024       -0.186564
111.41       -0.89389
111.808       0.571504
112.111       1.11018
112.91       -0.339154
113.329       -0.48333
114.278       1.2529
114.89       -0.797514
115.779       2.90498
118.046       -2.04438
118.303       2.85133
119.618       -0.265271
121.198       0.0727027
123.105       6.08391e-15
125.209       1.22415e-14
126.493       -1.88464
126.521       -8.39293e-13
127.703       -5.36167e-15
128.545       -5.62035e-15
134.583       0.536732
134.635       1.68808e-13
135.683       -2.519
136.423       -3.24844e-14
137.743       -1.1253e-14
139.334       1.44597
140.316       -1.56703
142.076       1.11366
142.345       -0.793914
142.468       1.13456
143.05       -0.363683
144.752       3.06994
145.285       8.28162e-14
147.369       -0.196821
147.5       -1.6788e-13
148.733       2.94221
149.07       1.28148e-13
150.261       -1.69822
150.289       -8.89724e-13
151.35       -5.92115e-15
151.941       -1.13364e-15
152.363       3.09417e-16
165.61       -9.75972e-14
165.798       2.57961
165.841       4.58109e-13
166.74       -0.79821
166.852       2.18757
167.917       3.16518e-14
168.873       -2.66791
169.146       -8.70987e-14
