#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 1.39479 fm^-1      and E_F = -52.0162 MeV
#
#
#    E              |M_kE|^2

-231.065       4.08359e-16
-229.462       -0.635801
-227.649       5.48497e-15
-226.752       5.84098e-15
-226.226       -4.04505e-16
-226.226       -2.39398e-15
-226.124       7.35992e-16
-226.092       0.337696
-225.198       -6.29188e-15
-225.198       6.10595e-17
-224.953       3.69544e-15
-224.953       -5.039e-16
-224.735       -4.26192e-15
-224.664       -1.42474e-15
-224.595       3.78356e-15
-224.567       6.24981e-17
-224.416       6.2001e-15
-224.332       2.07308e-16
-223.91       -5.54789e-15
-223.712       -3.81302e-15
-223.581       -7.26681e-15
-223.315       -6.47967e-15
-222.45       -9.49038e-14
-222.349       0.902397
-222.271       2.30336e-13
-222.23       1.17756e-13
-222.229       1.30759e-13
-222.193       4.29761e-14
-222.013       1.00877e-14
-221.568       -5.25191e-15
-220.59       1.53949
-220.2       -3.65956e-14
-218.938       -1.20391e-15
-218.851       8.8852e-15
-218.544       7.26325e-15
-218.107       -4.31047e-15
-218.021       -0.370267
-217.944       -2.18613e-15
-217.824       -1.04462e-15
-217.694       6.46633e-16
-216.882       -8.66809e-15
-216.815       -7.42864e-15
-216.701       -1.28735e-14
-216.573       -4.09172e-15
-216.431       0.551604
-216.254       1.80266e-15
-215.997       -1.41026e-15
-215.834       -2.15414e-15
-215.644       -1.69958e-16
-215.349       -3.8243e-15
-215.262       -5.45359e-15
-214.09       -7.17043e-15
-214.087       -1.03117e-14
-213.694       -1.2899
-212.91       -1.92117e-14
-212.766       -9.64962e-17
-212.697       1.57911
-212.627       -1.1144e-14
-212.129       4.65015e-16
-211.86       2.8628e-14
-211.586       1.18661e-14
-211.46       8.44744e-15
-211.381       1.0992e-14
-210.814       3.50609e-15
-210.803       1.34613e-14
-210.344       4.967e-15
-210.185       -0.102676
-208.728       1.83396e-15
-208.642       3.05006e-14
-208.281       -3.05322e-14
-208.242       0.286948
-205.45       -3.22048e-15
-203.806       0.324376
-203.425       8.77691e-15
-201.607       1.2039e-15
-201.442       7.81863e-15
-201.086       6.58198e-15
-201.026       5.61052e-15
-200.921       -9.12679e-15
-200.659       7.92373e-16
-199.906       -0.857762
-198.637       -1.24346e-14
-198.254       -1.37876e-15
-197.709       5.0169e-15
-197.083       4.41173e-15
-196.918       7.47523e-15
-196.769       0.173177
-194.263       2.83128e-15
-190.299       8.12908e-15
-189.976       2.04663e-15
-189.966       -0.502066
-189.753       3.93471e-15
-189.154       3.76251e-15
-188.95       0.520759
-188.798       4.69957e-15
-188.268       7.24818e-15
-187.859       -0.200599
-187.54       0.686553
-187.448       6.32015e-14
-186.972       2.1267e-15
-186.244       1.61956e-15
-184.245       3.33681e-14
-183.991       1.07804e-13
-183.925       -1.34214
-182.883       -1.83445e-14
-182.656       1.1332
-181.905       -1.23392
-181.661       -5.67281e-14
-181.247       1.19719
-180.442       -2.66534
-180.403       -3.88089e-13
-179.647       -1.7292e-14
-178.562       -1.43928e-14
-177.985       2.39349
-177.756       6.25079e-14
-177.296       -0.0726414
-176.868       0.446936
-176.035       8.75967e-15
-175.434       -0.36622
-174.182       0.767253
-173.76       -0.160376
-173.29       0.1681
-172.503       -0.645321
-172.246       0.777859
-171.955       1.79077e-14
-171.443       1.04116e-15
-169.867       2.7148e-15
-168.778       9.98763e-15
-168.55       -0.570848
-167.231       -5.88075e-14
-167.165       1.35923
-166.455       -0.16466
-165.5       -5.20019e-15
-164.565       -1.3981e-14
-164.33       0.447216
-163.641       7.48036e-15
-162.667       7.48219e-15
-161.963       1.04975e-14
-161.175       4.07705e-14
-160.869       -0.054399
-160.476       3.37568
-159.503       2.13266e-14
-158.258       -0.918818
-157.723       -3.13982e-13
-157.51       1.02564
-157.369       -0.0174368
-156.889       0.0122825
-156.007       -1.00182
-155.74       1.64785
-154.914       1.36652e-14
-154.075       6.23791e-15
-153.149       -0.501231
-152.786       -2.21499e-14
-151.921       0.33509
-151.77       3.10737e-14
-150.806       -1.57656
-150.736       -1.62711e-13
-150.104       0.371052
-149.606       -0.951079
-149.46       -5.61318e-14
-148.67       -3.13758e-13
-148.614       1.14567
-147.389       2.03151e-15
-147.178       6.05246e-16
-145.967       4.10981e-15
-144.808       3.98888e-15
-144.443       -0.932171
-143.62       1.4117
-143.554       -7.2846e-15
-143.471       -1.6675e-16
-140.776       -4.90014e-14
-140.188       -3.10672
-132.284       2.56802e-16
-131.754       -1.05329e-16
-130.151       2.47327
-130.123       1.16999e-14
-128.643       3.98424e-15
-128.42       1.07361e-15
-127.936       4.27909e-15
-127.674       -0.0686381
-127.229       -3.58101e-15
-126.757       -8.47254e-15
-126.531       -9.53858e-15
-125.763       -3.09791e-14
-125.613       1.18334
-125.05       -2.42013
-124.891       -1.065e-13
-124.211       -8.05045e-14
-123.973       2.13153
-123.269       2.38869e-14
-122.382       2.24947e-13
-122.306       -1.1546
-121.739       3.88345
-121.249       -1.80899
-120.979       2.06393
-120.443       -0.512326
-120.246       0.392069
-119.645       -1.05355
-119.342       0.781336
-119.258       -1.08189
-117.982       -2.1762e-12
-117.978       1.12998
-117.07       -2.90939
-116.837       -4.70464e-14
-116.126       -1.24535e-13
-116.022       1.36351
-115.587       -1.46384
-115.281       -3.13476e-14
-114.749       1.1454
-114.386       2.42156e-14
-113.785       -0.99417
-113.682       -5.90374e-14
-113.17       0.431238
-112.983       1.20587e-14
-112.717       1.34107e-14
-112.492       -1.57879
-112.025       -1.08432e-14
-111.843       -1.77898e-14
-111.39       -1.48419e-14
-111.282       -1.93853e-14
-110.993       1.78354
-110.63       6.57724e-15
-109.675       -2.86295
-109.363       -1.15046e-14
-109.345       -1.77538e-15
-109.207       5.3023e-14
-105.048       -6.15038e-16
-105.048       -3.26714e-14
-104.14       5.00539
-100.994       -4.08232e-14
-100.994       -6.95696e-17
-100.58       -2.7292
-87.9122       -1.96116e-15
-87.5134       2.35027e-15
-87.1048       5.32487e-15
-86.6611       -0.397572
-86.6163       3.70376e-15
-86.2422       -4.47362e-15
-86.099       -8.30074e-16
-85.6677       -1.32382e-16
-85.6647       2.10581e-16
-85.459       4.67581e-16
-85.2572       -2.4917e-15
-85.2094       -3.5693e-15
-84.9314       -4.00262e-15
-84.6124       -3.52308e-16
-84.4481       -3.09196e-15
-84.3562       3.58987e-15
-84.2474       2.77849e-16
-84.043       -9.74473e-16
-83.9041       0.830863
-83.8909       -3.89183e-15
-83.7358       -5.67297e-15
-83.6311       -2.00038e-15
-83.5213       -1.51871
-83.4589       1.63664e-14
-83.086       8.19229e-15
-82.9187       6.78945e-15
-82.8602       8.92395e-15
-82.6468       -4.09253e-16
-82.4692       -1.00599e-15
-82.4296       -1.48574e-14
-82.2582       4.32436e-13
-82.2458       0.198297
-81.9994       -4.8403e-16
-81.929       2.99775e-15
-81.6425       1.32723e-16
-81.6196       -3.74367e-15
-81.2073       5.06988e-14
-80.6751       -4.15078e-14
-80.576       -3.91527
-80.461       -6.4586e-15
-79.9285       -3.24882e-14
-79.7402       -1.59984e-14
-79.6756       0.768633
-79.4396       -9.82948e-16
-79.3259       5.95079e-16
-78.9128       -2.51217e-14
-78.411       0.324435
-78.3949       -1.46082
-78.0787       -1.2214
-78.077       -4.48819e-15
-78.023       -1.29711e-14
-77.8598       1.52659e-14
-77.859       8.25316e-16
-77.4499       -3.0784e-16
-77.4499       -8.17758e-15
-77.4126       -2.01991e-16
-77.4126       1.52617e-15
-76.616       -9.99603e-17
-76.616       -3.33772e-15
-76.3073       4.03989e-15
-75.4979       -1.81855
-74.6967       4.3747e-14
-74.6967       -2.50997e-16
-71.0079       1.84614e-15
-69.6002       0.604267
-62.2879       1.06219e-15
-62.2879       8.02243e-14
-61.751       -9.58487


8.24072       8.17345
8.2611       -1.83915e-11
8.2611       -3.45182e-16
11.7288       -1.2514e-14
11.7288       8.76882e-16
12.1255       0.605593
12.6254       -0.264603
12.9988       3.77836e-14
12.9988       1.0798e-15
14.0379       3.75675e-16
14.0379       -4.41709e-14
14.0758       9.49667e-14
14.6957       8.32776
14.7922       -1.46036e-15
14.7922       2.37666e-13
21.3006       1.66948e-14
21.5161       -1.22127
22.5684       0.235384
22.6699       7.67398e-15
22.9443       8.38901e-15
23.0213       -0.350174
23.1641       -3.97547e-14
23.5099       1.18303
23.8063       -2.3077
24.0127       1.31631
24.7611       -1.08462
25.1231       -1.56724
25.165       0.411643
25.846       -2.31767
26.2598       0.0859532
26.3399       0.744577
26.6771       0.204869
26.8482       -3.64638
27.615       0.0386434
27.7559       0.753273
28.0167       -0.0508676
28.4243       -0.500249
28.6257       -0.353331
29.0082       0.593862
29.2766       0.396229
29.8076       -0.523296
29.9011       -0.535864
30.2087       -0.295749
30.6212       -0.815984
30.7812       0.868155
30.9167       1.56835
31.3954       -1.40511
31.5473       -1.28357
31.8501       -0.328085
32.2883       1.11751
32.5359       0.298481
32.7353       -1.32793
33.1982       -0.199695
33.4392       -0.613457
33.7166       -1.11272
33.8001       0.643463
34.0624       0.641169
34.6139       -0.414926
35.6776       -1.14569
35.8875       0.801803
36.745       -3.12693e-07
36.8541       -0.391812
37.1417       -3.12828
38.1216       1.57908
38.2394       -0.39447
38.6353       0.563911
42.1307       -2.94187
43.4111       -2.21222e-14
44.8855       1.56186
45.1988       4.74768e-14
48.1906       2.21686e-14
48.5076       -2.46759
51.1151       1.78384
55.1575       -0.114808
56.9381       1.209
57.5052       0.529082
57.7673       -1.71891
58.5306       0.314978
59.1636       0.21932
59.4415       0.445083
59.7289       0.377465
60.1152       -1.35289
60.8612       -0.5346
61.2583       2.74088
61.6492       0.873907
62.0997       -1.55006
62.7848       -0.959625
63.3598       -0.716586
64.0412       1.27006
64.7911       1.00607
65.3194       2.08575
65.9194       -2.58427
66.7541       2.53166
67.2269       2.24836
67.8762       1.6974
68.6114       -2.50317
68.9284       -2.10714
69.8814       2.82831
70.1499       -4.85158
71.451       -0.837483
72.0342       1.85585
72.7222       0.150716
73.5141       0.0580788
75.2901       3.91078
76.5844       -1.91139
76.6186       -0.247204
76.9383       1.56024
77.5312       0.0181799
78.2342       -0.36774
82.7905       0.389647
84.1491       -0.457452
84.555       -0.761228
84.827       0.516111
85.3372       0.525453
87.082       0.906071
87.5903       -0.793127
88.6399       -1.59164
89.1328       1.50657
89.9476       0.8362
90.7998       -1.05133
91.7803       -1.21955
92.5226       -2.29769
93.1015       1.84033
93.9253       1.73314
94.9747       -1.64294
96.0822       -1.49149
96.4855       1.70734
97.3178       0.763893
98.2456       -1.16011
99.0672       -0.803068
99.6224       1.06366
101.089       0.393647
101.58       0.777762
102.56       -1.58171
103.462       0.956091
104.127       0.016242
106.047       0.187923
106.321       -1.22677
107.232       -0.347134
108.138       1.41287
111.279       -0.0933651
112.525       1.64351
115.801       0.381595
117.201       -0.698883
117.913       0.665378
118.626       0.514002
119.061       0.871842
119.813       -1.24986
120.717       -1.23107
121.315       1.62837
122.123       1.17459
122.914       1.30823
123.5       -1.33643
124.447       -0.995087
125.378       1.04526
126.284       0.815495
127.146       -1.25237
127.838       -1.38769
128.81       1.02896
129.289       1.05919
130.394       -1.02292
131.22       -0.719012
131.662       -0.664081
132.616       0.580102
133.097       3.13089
133.571       -0.771592
134.172       -0.639905
134.665       -0.684634
135.216       0.398827
137.091       -0.569718
138.093       1.13491
146.122       -1.39091e-09
149.185       -0.877907
150.497       1.26558
151.263       -0.282201
151.921       -0.389198
152.104       -1.32766
152.507       0.918875
153.174       0.901128
153.724       -0.897955
154.511       -0.527763
155.1       1.00644
155.669       0.964338
156.385       0.897729
157.057       -1.67363
157.867       0.890433
158.629       0.951095
159.39       -0.471765
160.018       -0.801967
161.081       -0.931115
161.616       1.39338
162.503       -0.954445
162.999       -0.123803
163.952       -0.195907
164.783       0.344634
165.454       0.0741492
166.546       -0.154988
166.996       -0.280642
167.331       -0.342855
168.67       0.407703
169.486       -1.37647
170.593       -0.0894814
171.04       1.16098
171.72       -0.280109
172.344       -0.056716
172.813       0.297219
179.249       -0.43942
179.574       -0.451608
179.759       0.563656
180.021       0.471458
180.619       0.740096
181.049       -1.12851
181.179       0.744764
181.585       0.321391
182.612       0.200415
182.932       0.0578225
183.684       -1.19423
184.211       1.1191
184.621       0.712134
185.375       -0.0996534
185.456       -0.965951
186.39       0.199796
186.723       0.880916
186.967       -0.613473
187.464       -0.291976
187.697       -0.122613
187.957       0.609254
189.128       0.450782
189.263       -0.279532
189.542       -0.342953
190.515       0.415242
190.771       -0.414152
191.017       -1.96524e-07
191.672       1.67718
192.884       -0.605393
193.352       0.305487
194.116       -0.124823
194.603       0.301106
195.277       -0.440339
195.506       0.233
196.636       3.49659e-15
196.962       1.94775e-15
197.627       3.6993e-16
215.928       -0.265273
215.946       2.81491e-14
216.906       -1.94174e-15
216.928       2.43642e-17
216.951       -1.44621e-14
216.96       0.0810144
217.766       5.92605e-15
217.774       4.53202e-16
218.389       2.06396e-14
218.407       2.39009e-14
219.437       -5.4102e-14
219.469       -0.961125
220.303       -7.51974e-15
220.371       -9.38184e-15
221.028       -8.39385e-15
221.43       -1.06336e-14
221.509       -1.36463e-14
221.821       -8.62251e-15
222.613       2.10911e-13
222.722       -1.98578e-14
222.728       0.185719
222.775       -2.8659e-15
223.633       -1.99953e-15
223.638       -6.00675e-15
224.802       1.22942e-14
225.299       -1.10745
225.975       6.28438e-17
226.253       -0.0417997
226.255       6.06469e-14
226.285       1.14572e-14
226.771       -3.2576e-15
227.085       -1.6426e-15
227.261       -2.20481e-15
227.635       3.79869e-17
228.026       7.35214e-15
228.665       -4.63789e-15
228.821       0.997408
229.891       1.728e-15
230.158       -7.2706e-15
230.196       -7.58286e-15
230.226       -8.02014e-16
230.575       -4.92823e-16
230.768       8.90451e-15
230.772       -6.71212e-16
230.825       -9.27188e-16
231.021       -8.7953e-16
231.124       1.14758e-15
231.51       -2.45533e-16
231.515       9.28237e-15
231.532       5.44339e-15
231.566       -1.67586e-12
231.567       0.00786975
231.567       6.74032e-13
232.354       1.50877e-15
232.355       -1.50623e-15
232.417       -1.6119e-15
232.418       -1.63121e-15
