#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 1.13884 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       6.98793e-06       1.13884
-300.732       7.03131e-06       1.13884
-300.032       7.07512e-06       1.13884
-299.332       7.11935e-06       1.13884
-298.632       7.16402e-06       1.13884
-297.932       7.20912e-06       1.13884
-297.232       7.25466e-06       1.13884
-296.532       7.30065e-06       1.13884
-295.832       7.3471e-06       1.13884
-295.132       7.39401e-06       1.13884
-294.432       7.44139e-06       1.13884
-293.732       7.48924e-06       1.13884
-293.032       7.53758e-06       1.13884
-292.332       7.58641e-06       1.13884
-291.632       7.63573e-06       1.13884
-290.932       7.68555e-06       1.13884
-290.232       7.73589e-06       1.13884
-289.532       7.78675e-06       1.13884
-288.832       7.83813e-06       1.13884
-288.132       7.89004e-06       1.13884
-287.432       7.9425e-06       1.13884
-286.732       7.99551e-06       1.13884
-286.032       8.04907e-06       1.13884
-285.332       8.10321e-06       1.13884
-284.632       8.15791e-06       1.13884
-283.932       8.21321e-06       1.13884
-283.232       8.2691e-06       1.13884
-282.532       8.32559e-06       1.13884
-281.832       8.3827e-06       1.13884
-281.132       8.44043e-06       1.13884
-280.432       8.49879e-06       1.13884
-279.732       8.5578e-06       1.13884
-279.032       8.61746e-06       1.13884
-278.332       8.67778e-06       1.13884
-277.632       8.73879e-06       1.13884
-276.932       8.80048e-06       1.13884
-276.232       8.86287e-06       1.13884
-275.532       8.92597e-06       1.13884
-274.832       8.9898e-06       1.13884
-274.132       9.05436e-06       1.13884
-273.432       9.11968e-06       1.13884
-272.732       9.18575e-06       1.13884
-272.032       9.25261e-06       1.13884
-271.332       9.32026e-06       1.13884
-270.632       9.38872e-06       1.13884
-269.932       9.458e-06       1.13884
-269.232       9.52812e-06       1.13884
-268.532       9.59909e-06       1.13884
-267.832       9.67094e-06       1.13884
-267.132       9.74368e-06       1.13884
-266.432       9.81733e-06       1.13884
-265.732       9.8919e-06       1.13884
-265.032       9.96742e-06       1.13884
-264.332       1.00439e-05       1.13884
-263.632       1.01214e-05       1.13884
-262.932       1.01999e-05       1.13884
-262.232       1.02794e-05       1.13884
-261.532       1.036e-05       1.13884
-260.832       1.04417e-05       1.13884
-260.132       1.05246e-05       1.13884
-259.432       1.06085e-05       1.13884
-258.732       1.06937e-05       1.13884
-258.032       1.078e-05       1.13884
-257.332       1.08677e-05       1.13884
-256.632       1.09566e-05       1.13884
-255.932       1.10468e-05       1.13884
-255.232       1.11385e-05       1.13884
-254.532       1.12316e-05       1.13884
-253.832       1.13262e-05       1.13884
-253.132       1.14224e-05       1.13884
-252.432       1.15202e-05       1.13884
-251.732       1.16198e-05       1.13884
-251.032       1.17213e-05       1.13884
-250.332       1.18247e-05       1.13884
-249.632       1.19302e-05       1.13884
-248.932       1.20381e-05       1.13884
-248.232       1.21484e-05       1.13884
-247.532       1.22616e-05       1.13884
-246.832       1.2378e-05       1.13884
-246.132       1.24979e-05       1.13884
-245.432       1.26222e-05       1.13884
-244.732       1.27516e-05       1.13884
-244.032       1.28873e-05       1.13884
-243.332       1.30311e-05       1.13884
-242.632       1.31856e-05       1.13884
-241.932       1.33549e-05       1.13884
-241.232       1.35456e-05       1.13884
-240.532       1.37692e-05       1.13884
-239.832       1.40462e-05       1.13884
-239.132       1.44168e-05       1.13884
-238.432       1.49652e-05       1.13884
-237.732       1.58788e-05       1.13884
-237.032       1.75438e-05       1.13884
-236.332       2.01201e-05       1.13884
-235.632       2.08959e-05       1.13884
-234.932       1.87064e-05       1.13884
-234.232       1.70047e-05       1.13884
-233.532       1.62169e-05       1.13884
-232.832       1.59191e-05       1.13884
-232.132       1.58527e-05       1.13884
-231.432       1.58152e-05       1.13884
-230.732       1.58032e-05       1.13884
-230.032       1.58572e-05       1.13884
-229.332       1.59572e-05       1.13884
-228.632       1.60857e-05       1.13884
-227.932       1.62337e-05       1.13884
-227.232       1.63966e-05       1.13884
-226.532       1.65717e-05       1.13884
-225.832       1.67578e-05       1.13884
-225.132       1.69543e-05       1.13884
-224.432       1.71611e-05       1.13884
-223.732       1.73784e-05       1.13884
-223.032       1.76067e-05       1.13884
-222.332       1.78469e-05       1.13884
-221.632       1.80999e-05       1.13884
-220.932       1.83674e-05       1.13884
-220.232       1.86511e-05       1.13884
-219.532       1.89536e-05       1.13884
-218.832       1.92778e-05       1.13884
-218.132       1.96281e-05       1.13884
-217.432       2.00102e-05       1.13884
-216.732       2.04322e-05       1.13884
-216.032       2.09064e-05       1.13884
-215.332       2.14527e-05       1.13884
-214.632       2.21055e-05       1.13884
-213.932       2.29316e-05       1.13884
-213.232       2.40598e-05       1.13884
-212.532       2.56353e-05       1.13884
-211.832       2.74797e-05       1.13884
-211.132       2.91278e-05       1.13884
-210.432       2.96196e-05       1.13884
-209.732       3.03006e-05       1.13884
-209.032       3.21926e-05       1.13884
-208.332       3.56085e-05       1.13884
-207.632       4.09867e-05       1.13884
-206.932       4.92241e-05       1.13884
-206.232       6.35668e-05       1.13884
-205.532       8.10854e-05       1.13884
-204.832       8.66685e-05       1.13884
-204.132       9.18612e-05       1.13884
-203.432       0.000107735       1.13884
-202.732       0.000133965       1.13884
-202.032       0.000157291       1.13884
-201.332       0.000175475       1.13884
-200.632       0.000197018       1.13884
-199.932       0.000187296       1.13884
-199.232       0.000137223       1.13884
-198.532       9.7198e-05       1.13884
-197.832       7.84941e-05       1.13884
-197.132       7.41017e-05       1.13884
-196.432       7.85185e-05       1.13884
-195.732       8.37971e-05       1.13884
-195.032       8.34594e-05       1.13884
-194.332       8.19664e-05       1.13884
-193.632       8.10301e-05       1.13884
-192.932       8.07552e-05       1.13884
-192.232       7.76885e-05       1.13884
-191.532       7.67709e-05       1.13884
-190.832       7.88595e-05       1.13884
-190.132       7.86982e-05       1.13884
-189.432       6.83398e-05       1.13884
-188.732       5.91102e-05       1.13884
-188.032       5.55298e-05       1.13884
-187.332       5.54911e-05       1.13884
-186.632       5.96348e-05       1.13884
-185.932       6.93336e-05       1.13884
-185.232       7.29601e-05       1.13884
-184.532       6.40477e-05       1.13884
-183.832       5.8581e-05       1.13884
-183.132       5.91975e-05       1.13884
-182.432       6.09429e-05       1.13884
