#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 0.805283 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       8.57468e-06       0.805283
-300.732       8.63411e-06       0.805283
-300.032       8.69417e-06       0.805283
-299.332       8.75489e-06       0.805283
-298.632       8.81628e-06       0.805283
-297.932       8.87833e-06       0.805283
-297.232       8.94106e-06       0.805283
-296.532       9.00449e-06       0.805283
-295.832       9.06862e-06       0.805283
-295.132       9.13347e-06       0.805283
-294.432       9.19903e-06       0.805283
-293.732       9.26534e-06       0.805283
-293.032       9.33239e-06       0.805283
-292.332       9.40021e-06       0.805283
-291.632       9.4688e-06       0.805283
-290.932       9.53817e-06       0.805283
-290.232       9.60834e-06       0.805283
-289.532       9.67932e-06       0.805283
-288.832       9.75112e-06       0.805283
-288.132       9.82376e-06       0.805283
-287.432       9.89725e-06       0.805283
-286.732       9.97161e-06       0.805283
-286.032       1.00469e-05       0.805283
-285.332       1.0123e-05       0.805283
-284.632       1.02e-05       0.805283
-283.932       1.0278e-05       0.805283
-283.232       1.03569e-05       0.805283
-282.532       1.04368e-05       0.805283
-281.832       1.05176e-05       0.805283
-281.132       1.05995e-05       0.805283
-280.432       1.06823e-05       0.805283
-279.732       1.07662e-05       0.805283
-279.032       1.08511e-05       0.805283
-278.332       1.09371e-05       0.805283
-277.632       1.10242e-05       0.805283
-276.932       1.11123e-05       0.805283
-276.232       1.12016e-05       0.805283
-275.532       1.12921e-05       0.805283
-274.832       1.13837e-05       0.805283
-274.132       1.14765e-05       0.805283
-273.432       1.15705e-05       0.805283
-272.732       1.16658e-05       0.805283
-272.032       1.17623e-05       0.805283
-271.332       1.18601e-05       0.805283
-270.632       1.19592e-05       0.805283
-269.932       1.20597e-05       0.805283
-269.232       1.21615e-05       0.805283
-268.532       1.22647e-05       0.805283
-267.832       1.23693e-05       0.805283
-267.132       1.24754e-05       0.805283
-266.432       1.2583e-05       0.805283
-265.732       1.2692e-05       0.805283
-265.032       1.28027e-05       0.805283
-264.332       1.29149e-05       0.805283
-263.632       1.30287e-05       0.805283
-262.932       1.31442e-05       0.805283
-262.232       1.32613e-05       0.805283
-261.532       1.33802e-05       0.805283
-260.832       1.35009e-05       0.805283
-260.132       1.36233e-05       0.805283
-259.432       1.37477e-05       0.805283
-258.732       1.38739e-05       0.805283
-258.032       1.40021e-05       0.805283
-257.332       1.41323e-05       0.805283
-256.632       1.42645e-05       0.805283
-255.932       1.43989e-05       0.805283
-255.232       1.45354e-05       0.805283
-254.532       1.46741e-05       0.805283
-253.832       1.48152e-05       0.805283
-253.132       1.49586e-05       0.805283
-252.432       1.51044e-05       0.805283
-251.732       1.52528e-05       0.805283
-251.032       1.54037e-05       0.805283
-250.332       1.55573e-05       0.805283
-249.632       1.57137e-05       0.805283
-248.932       1.5873e-05       0.805283
-248.232       1.60352e-05       0.805283
-247.532       1.62005e-05       0.805283
-246.832       1.63691e-05       0.805283
-246.132       1.6541e-05       0.805283
-245.432       1.67165e-05       0.805283
-244.732       1.68956e-05       0.805283
-244.032       1.70786e-05       0.805283
-243.332       1.72658e-05       0.805283
-242.632       1.74572e-05       0.805283
-241.932       1.76533e-05       0.805283
-241.232       1.78543e-05       0.805283
-240.532       1.80607e-05       0.805283
-239.832       1.82727e-05       0.805283
-239.132       1.84911e-05       0.805283
-238.432       1.87163e-05       0.805283
-237.732       1.89492e-05       0.805283
-237.032       1.91907e-05       0.805283
-236.332       1.9442e-05       0.805283
-235.632       1.97047e-05       0.805283
-234.932       1.99806e-05       0.805283
-234.232       2.02724e-05       0.805283
-233.532       2.05838e-05       0.805283
-232.832       2.09196e-05       0.805283
-232.132       2.12872e-05       0.805283
-231.432       2.16972e-05       0.805283
-230.732       2.21659e-05       0.805283
-230.032       2.27196e-05       0.805283
-229.332       2.34026e-05       0.805283
-228.632       2.4294e-05       0.805283
-227.932       2.55449e-05       0.805283
-227.232       2.74662e-05       0.805283
-226.532       3.07427e-05       0.805283
-225.832       3.68518e-05       0.805283
-225.132       4.73458e-05       0.805283
-224.432       5.39568e-05       0.805283
-223.732       4.5607e-05       0.805283
-223.032       3.68825e-05       0.805283
-222.332       3.25072e-05       0.805283
-221.632       3.06448e-05       0.805283
-220.932       3.01328e-05       0.805283
-220.232       3.04689e-05       0.805283
-219.532       3.09218e-05       0.805283
-218.832       3.12077e-05       0.805283
-218.132       3.20423e-05       0.805283
-217.432       3.33544e-05       0.805283
-216.732       3.53067e-05       0.805283
-216.032       3.88683e-05       0.805283
-215.332       4.55791e-05       0.805283
-214.632       5.86182e-05       0.805283
-213.932       7.99288e-05       0.805283
-213.232       8.7811e-05       0.805283
-212.532       6.85255e-05       0.805283
-211.832       5.22768e-05       0.805283
-211.132       4.40907e-05       0.805283
-210.432       4.01462e-05       0.805283
-209.732       3.81942e-05       0.805283
-209.032       3.72965e-05       0.805283
-208.332       3.70591e-05       0.805283
-207.632       3.72993e-05       0.805283
-206.932       3.79893e-05       0.805283
-206.232       3.92723e-05       0.805283
