#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 2.41585 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       3.05487e-06       2.41585
-300.732       3.06713e-06       2.41585
-300.032       3.07947e-06       2.41585
-299.332       3.09189e-06       2.41585
-298.632       3.10438e-06       2.41585
-297.932       3.11695e-06       2.41585
-297.232       3.1296e-06       2.41585
-296.532       3.14234e-06       2.41585
-295.832       3.15515e-06       2.41585
-295.132       3.16804e-06       2.41585
-294.432       3.18102e-06       2.41585
-293.732       3.19408e-06       2.41585
-293.032       3.20722e-06       2.41585
-292.332       3.22045e-06       2.41585
-291.632       3.23377e-06       2.41585
-290.932       3.24717e-06       2.41585
-290.232       3.26066e-06       2.41585
-289.532       3.27424e-06       2.41585
-288.832       3.28791e-06       2.41585
-288.132       3.30167e-06       2.41585
-287.432       3.31553e-06       2.41585
-286.732       3.32948e-06       2.41585
-286.032       3.34353e-06       2.41585
-285.332       3.35767e-06       2.41585
-284.632       3.37192e-06       2.41585
-283.932       3.38627e-06       2.41585
-283.232       3.40072e-06       2.41585
-282.532       3.41528e-06       2.41585
-281.832       3.42996e-06       2.41585
-281.132       3.44474e-06       2.41585
-280.432       3.45965e-06       2.41585
-279.732       3.47468e-06       2.41585
-279.032       3.48985e-06       2.41585
-278.332       3.50515e-06       2.41585
-277.632       3.5206e-06       2.41585
-276.932       3.53623e-06       2.41585
-276.232       3.55203e-06       2.41585
-275.532       3.56805e-06       2.41585
-274.832       3.58432e-06       2.41585
-274.132       3.60088e-06       2.41585
-273.432       3.61784e-06       2.41585
-272.732       3.63532e-06       2.41585
-272.032       3.65354e-06       2.41585
-271.332       3.67291e-06       2.41585
-270.632       3.69422e-06       2.41585
-269.932       3.71915e-06       2.41585
-269.232       3.75119e-06       2.41585
-268.532       3.79424e-06       2.41585
-267.832       3.83223e-06       2.41585
-267.132       3.84573e-06       2.41585
-266.432       3.87213e-06       2.41585
-265.732       3.93479e-06       2.41585
-265.032       4.03174e-06       2.41585
-264.332       4.05762e-06       2.41585
-263.632       3.98986e-06       2.41585
-262.932       3.94444e-06       2.41585
-262.232       3.92952e-06       2.41585
-261.532       3.93009e-06       2.41585
-260.832       3.93817e-06       2.41585
