#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 1.97253 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       4.03796e-06       1.97253
-300.732       4.05671e-06       1.97253
-300.032       4.07559e-06       1.97253
-299.332       4.09461e-06       1.97253
-298.632       4.11377e-06       1.97253
-297.932       4.13306e-06       1.97253
-297.232       4.1525e-06       1.97253
-296.532       4.17208e-06       1.97253
-295.832       4.1918e-06       1.97253
-295.132       4.21167e-06       1.97253
-294.432       4.23168e-06       1.97253
-293.732       4.25184e-06       1.97253
-293.032       4.27215e-06       1.97253
-292.332       4.29261e-06       1.97253
-291.632       4.31323e-06       1.97253
-290.932       4.334e-06       1.97253
-290.232       4.35493e-06       1.97253
-289.532       4.37602e-06       1.97253
-288.832       4.39726e-06       1.97253
-288.132       4.41867e-06       1.97253
-287.432       4.44024e-06       1.97253
-286.732       4.46198e-06       1.97253
-286.032       4.48389e-06       1.97253
-285.332       4.50597e-06       1.97253
-284.632       4.52821e-06       1.97253
-283.932       4.55064e-06       1.97253
-283.232       4.57324e-06       1.97253
-282.532       4.59602e-06       1.97253
-281.832       4.61898e-06       1.97253
-281.132       4.64212e-06       1.97253
-280.432       4.66545e-06       1.97253
-279.732       4.68897e-06       1.97253
-279.032       4.71268e-06       1.97253
-278.332       4.73658e-06       1.97253
-277.632       4.76069e-06       1.97253
-276.932       4.78499e-06       1.97253
-276.232       4.80949e-06       1.97253
-275.532       4.8342e-06       1.97253
-274.832       4.85912e-06       1.97253
-274.132       4.88425e-06       1.97253
-273.432       4.9096e-06       1.97253
-272.732       4.93517e-06       1.97253
-272.032       4.96096e-06       1.97253
-271.332       4.98699e-06       1.97253
-270.632       5.01324e-06       1.97253
-269.932       5.03973e-06       1.97253
-269.232       5.06647e-06       1.97253
-268.532       5.09346e-06       1.97253
-267.832       5.1207e-06       1.97253
-267.132       5.1482e-06       1.97253
-266.432       5.17597e-06       1.97253
-265.732       5.20402e-06       1.97253
-265.032       5.23235e-06       1.97253
-264.332       5.26097e-06       1.97253
-263.632       5.2899e-06       1.97253
-262.932       5.31915e-06       1.97253
-262.232       5.34873e-06       1.97253
-261.532       5.37865e-06       1.97253
-260.832       5.40894e-06       1.97253
-260.132       5.43962e-06       1.97253
-259.432       5.47071e-06       1.97253
-258.732       5.50224e-06       1.97253
-258.032       5.53426e-06       1.97253
-257.332       5.56681e-06       1.97253
-256.632       5.59995e-06       1.97253
-255.932       5.63376e-06       1.97253
-255.232       5.66834e-06       1.97253
-254.532       5.70385e-06       1.97253
-253.832       5.74048e-06       1.97253
-253.132       5.77852e-06       1.97253
-252.432       5.81843e-06       1.97253
-251.732       5.86094e-06       1.97253
-251.032       5.90731e-06       1.97253
-250.332       5.95991e-06       1.97253
-249.632       6.02355e-06       1.97253
-248.932       6.10814e-06       1.97253
-248.232       6.22651e-06       1.97253
-247.532       6.34259e-06       1.97253
-246.832       6.39764e-06       1.97253
-246.132       6.49892e-06       1.97253
-245.432       6.73461e-06       1.97253
-244.732       7.12878e-06       1.97253
-244.032       7.3133e-06       1.97253
-243.332       7.07511e-06       1.97253
-242.632       6.94193e-06       1.97253
-241.932       7.0047e-06       1.97253
-241.232       7.04237e-06       1.97253
-240.532       6.97801e-06       1.97253
-239.832       7.00948e-06       1.97253
-239.132       7.09799e-06       1.97253
-238.432       7.08969e-06       1.97253
-237.732       7.07433e-06       1.97253
-237.032       7.15805e-06       1.97253
-236.332       7.36868e-06       1.97253
-235.632       7.73606e-06       1.97253
-234.932       8.18355e-06       1.97253
-234.232       8.83415e-06       1.97253
-233.532       1.004e-05       1.97253
-232.832       1.10883e-05       1.97253
-232.132       1.04425e-05       1.97253
-231.432       9.05722e-06       1.97253
-230.732       8.23814e-06       1.97253
-230.032       7.86203e-06       1.97253
-229.332       7.72371e-06       1.97253
-228.632       7.69885e-06       1.97253
-227.932       7.6326e-06       1.97253
-227.232       7.55336e-06       1.97253
-226.532       7.52657e-06       1.97253
-225.832       7.54135e-06       1.97253
-225.132       7.58903e-06       1.97253
-224.432       7.67646e-06       1.97253
-223.732       7.82374e-06       1.97253
-223.032       7.98665e-06       1.97253
-222.332       7.9768e-06       1.97253
-221.632       7.90497e-06       1.97253
-220.932       7.8952e-06       1.97253
-220.232       7.93679e-06       1.97253
-219.532       8.00625e-06       1.97253
-218.832       8.05299e-06       1.97253
-218.132       8.08428e-06       1.97253
-217.432       8.13305e-06       1.97253
-216.732       8.19744e-06       1.97253
-216.032       8.27291e-06       1.97253
-215.332       8.35787e-06       1.97253
-214.632       8.45262e-06       1.97253
-213.932       8.5588e-06       1.97253
-213.232       8.67952e-06       1.97253
-212.532       8.8202e-06       1.97253
-211.832       8.99015e-06       1.97253
-211.132       9.20136e-06       1.97253
-210.432       9.45976e-06       1.97253
-209.732       9.79908e-06       1.97253
-209.032       1.02309e-05       1.97253
-208.332       1.07662e-05       1.97253
-207.632       1.1676e-05       1.97253
-206.932       1.32104e-05       1.97253
-206.232       1.48802e-05       1.97253
-205.532       1.65354e-05       1.97253
-204.832       1.9099e-05       1.97253
-204.132       1.9974e-05       1.97253
-203.432       1.95453e-05       1.97253
-202.732       1.98366e-05       1.97253
-202.032       1.98917e-05       1.97253
-201.332       1.90936e-05       1.97253
-200.632       1.8799e-05       1.97253
-199.932       1.96141e-05       1.97253
-199.232       2.17789e-05       1.97253
-198.532       2.52361e-05       1.97253
-197.832       2.94023e-05       1.97253
-197.132       3.17594e-05       1.97253
-196.432       3.62206e-05       1.97253
-195.732       4.14043e-05       1.97253
-195.032       3.89683e-05       1.97253
-194.332       3.20245e-05       1.97253
-193.632       2.68962e-05       1.97253
-192.932       2.45943e-05       1.97253
-192.232       2.29761e-05       1.97253
-191.532       2.08208e-05       1.97253
-190.832       1.99324e-05       1.97253
-190.132       1.88749e-05       1.97253
-189.432       1.72259e-05       1.97253
-188.732       1.61507e-05       1.97253
-188.032       1.57835e-05       1.97253
-187.332       1.54062e-05       1.97253
-186.632       1.46856e-05       1.97253
-185.932       1.39375e-05       1.97253
-185.232       1.35701e-05       1.97253
-184.532       1.36819e-05       1.97253
-183.832       1.43703e-05       1.97253
-183.132       1.54802e-05       1.97253
-182.432       1.55861e-05       1.97253
-181.732       1.47941e-05       1.97253
-181.032       1.43373e-05       1.97253
-180.332       1.40856e-05       1.97253
-179.632       1.39868e-05       1.97253
-178.932       1.42474e-05       1.97253
-178.232       1.49707e-05       1.97253
-177.532       1.6224e-05       1.97253
-176.832       1.78516e-05       1.97253
-176.132       1.99863e-05       1.97253
-175.432       2.13102e-05       1.97253
-174.732       2.16404e-05       1.97253
-174.032       2.24597e-05       1.97253
-173.332       2.17941e-05       1.97253
-172.632       1.94025e-05       1.97253
-171.932       1.77212e-05       1.97253
-171.232       1.70366e-05       1.97253
-170.532       1.69932e-05       1.97253
-169.832       1.72459e-05       1.97253
-169.132       1.80781e-05       1.97253
-168.432       1.98978e-05       1.97253
-167.732       2.25601e-05       1.97253
-167.032       2.46696e-05       1.97253
-166.332       2.64588e-05       1.97253
-165.632       2.7625e-05       1.97253
-164.932       2.69725e-05       1.97253
-164.232       2.76833e-05       1.97253
-163.532       3.26049e-05       1.97253
-162.832       4.31192e-05       1.97253
-162.132       5.42788e-05       1.97253
-161.432       5.23598e-05       1.97253
-160.732       4.0142e-05       1.97253
-160.032       3.20985e-05       1.97253
-159.332       2.94808e-05       1.97253
-158.632       3.06716e-05       1.97253
-157.932       3.01108e-05       1.97253
-157.232       2.56012e-05       1.97253
-156.532       2.22792e-05       1.97253
-155.832       2.05908e-05       1.97253
-155.132       1.97802e-05       1.97253
-154.432       1.94372e-05       1.97253
-153.732       1.93818e-05       1.97253
-153.032       1.95432e-05       1.97253
-152.332       1.99158e-05       1.97253
-151.632       2.05549e-05       1.97253
-150.932       2.15686e-05       1.97253
-150.232       2.30876e-05       1.97253
-149.532       2.51614e-05       1.97253
-148.832       2.6769e-05       1.97253
-148.132       2.86341e-05       1.97253
-147.432       3.14825e-05       1.97253
-146.732       3.58761e-05       1.97253
-146.032       4.04257e-05       1.97253
-145.332       3.92873e-05       1.97253
-144.632       3.87483e-05       1.97253
-143.932       4.29724e-05       1.97253
-143.232       5.12467e-05       1.97253
-142.532       6.23693e-05       1.97253
-141.832       7.56495e-05       1.97253
-141.132       8.13768e-05       1.97253
-140.432       8.57282e-05       1.97253
-139.732       0.000100242       1.97253
-139.032       0.000119153       1.97253
-138.332       0.000134713       1.97253
-137.632       0.000131907       1.97253
-136.932       0.00010791       1.97253
-136.232       9.30664e-05       1.97253
-135.532       8.57938e-05       1.97253
-134.832       8.17232e-05       1.97253
-134.132       7.71494e-05       1.97253
-133.432       7.1752e-05       1.97253
-132.732       6.86642e-05       1.97253
-132.032       6.9462e-05       1.97253
-131.332       6.99586e-05       1.97253
-130.632       6.65187e-05       1.97253
-129.932       5.78073e-05       1.97253
-129.232       5.02821e-05       1.97253
-128.532       4.45651e-05       1.97253
-127.832       4.04731e-05       1.97253
-127.132       3.86039e-05       1.97253
-126.432       3.76969e-05       1.97253
-125.732       3.61921e-05       1.97253
-125.032       3.49529e-05       1.97253
-124.332       3.50205e-05       1.97253
-123.632       3.64879e-05       1.97253
-122.932       3.96593e-05       1.97253
-122.232       4.56086e-05       1.97253
-121.532       5.67875e-05       1.97253
-120.832       7.80099e-05       1.97253
-120.132       0.000111804       1.97253
-119.432       0.000124402       1.97253
-118.732       9.52335e-05       1.97253
-118.032       7.11309e-05       1.97253
-117.332       6.23188e-05       1.97253
-116.632       5.74647e-05       1.97253
-115.932       4.84354e-05       1.97253
-115.232       4.15912e-05       1.97253
-114.532       3.78677e-05       1.97253
-113.832       3.58706e-05       1.97253
-113.132       3.47875e-05       1.97253
-112.432       3.42316e-05       1.97253
-111.732       3.4012e-05       1.97253
-111.032       3.40297e-05       1.97253
-110.332       3.4234e-05       1.97253
-109.632       3.46036e-05       1.97253
-108.932       3.514e-05       1.97253
-108.232       3.58698e-05       1.97253
-107.532       3.68465e-05       1.97253
-106.832       3.80945e-05       1.97253
-106.132       3.96656e-05       1.97253
-105.432       4.19271e-05       1.97253
-104.732       4.5259e-05       1.97253
-104.032       5.01883e-05       1.97253
-103.332       5.88171e-05       1.97253
-102.632       7.45429e-05       1.97253
-101.932       9.64586e-05       1.97253
-101.232       0.000103525       1.97253
-100.532       9.41017e-05       1.97253
-99.832       9.36803e-05       1.97253
-99.132       9.62715e-05       1.97253
-98.432       9.35944e-05       1.97253
-97.732       9.28292e-05       1.97253
-97.032       8.25628e-05       1.97253
-96.332       7.02752e-05       1.97253
-95.632       6.52064e-05       1.97253
-94.932       6.34917e-05       1.97253
-94.232       5.96535e-05       1.97253
-93.532       5.64638e-05       1.97253
-92.832       5.56687e-05       1.97253
-92.132       5.65282e-05       1.97253
-91.432       5.7293e-05       1.97253
-90.732       5.78392e-05       1.97253
-90.032       5.93739e-05       1.97253
-89.332       6.20377e-05       1.97253
-88.632       6.59411e-05       1.97253
-87.932       7.14946e-05       1.97253
-87.232       7.95467e-05       1.97253
-86.532       9.17376e-05       1.97253
-85.832       0.000111364       1.97253
-85.132       0.000145494       1.97253
-84.432       0.000209935       1.97253
-83.732       0.000334407       1.97253
-83.032       0.000501773       1.97253
-82.332       0.000479116       1.97253
-81.632       0.000310174       1.97253
-80.932       0.000199834       1.97253
-80.232       0.00014395       1.97253
