#
#
#   Lonertzian-smoothed PARTICLE spectral function (both aprticle and hole) as
#  function of momentum and energy
#
#      Range [Ef+ -:- E_max] = -43.7967  -:-  246.649 MeV
#
#      E_F = -50.9208 MeV
#
#
#    k              E               A(k,E)

0    -23.9967       8.72647e-05
0    -23.8767       8.69578e-05
0    -23.7567       8.66541e-05
0    -23.6367       8.63536e-05
0    -23.5167       8.60564e-05
0    -23.3967       8.57623e-05
0    -23.2767       8.54715e-05
0    -23.1567       8.51838e-05
0    -23.0367       8.48994e-05
0    -22.9167       8.46182e-05
0    -22.7967       8.43402e-05
0    -22.6767       8.40653e-05
0    -22.5567       8.37937e-05
0    -22.4367       8.35254e-05
0    -22.3167       8.32602e-05
0    -21.6167       8.1778e-05
0    -20.9167       8.04079e-05
0    -20.2167       7.91532e-05
0    -19.5167       7.80197e-05
0    -18.8167       7.70149e-05
0    -18.1167       7.61498e-05
0    -17.4167       7.54388e-05
0    -16.7167       7.49016e-05
0    -16.0167       7.45647e-05
0    -15.3167       7.44637e-05
0    -14.6167       7.46475e-05
0    -13.9167       7.51838e-05
0    -13.2167       7.61676e-05
0    -12.5167       7.77359e-05
0    -11.8167       8.00902e-05
0    -11.1167       8.35369e-05
0    -10.4167       8.85575e-05
0    -9.71675       9.59419e-05
0    -9.01675       0.000107051
0    -8.31675       0.000124373
0    -7.61675       0.000152777
0    -6.91675       0.000202527
0    -6.21675       0.000296495
0    -5.51675       0.00048109
0    -4.81675       0.000766561
0    -4.11675       0.000814842
0    -3.41675       0.000535757
0    -2.71675       0.000325038
0    -2.01675       0.000216532
0    -1.31675       0.000159954
0    -0.616747       0.000128315
0    0.0832526       0.000109583
0    0.783253       9.82022e-05
0    1.48325       9.14809e-05
0    2.18325       8.81131e-05
0    2.88325       8.7578e-05
0    3.58325       8.99316e-05
0    4.28325       9.58486e-05
0    4.98325       0.000106954
0    5.68325       0.000126708
0    6.38325       0.000162625
0    7.08325       0.000231581
0    7.78325       0.000367159
0    8.48325       0.000569137
0    9.18325       0.000586325
0    9.88325       0.000393731
0    10.5833       0.000262129
0    11.2833       0.000209584
0    11.9833       0.000207664
0    12.6833       0.000214575
0    13.3833       0.000179159
0    14.0833       0.000146327
0    14.7833       0.000137157
0    15.4833       0.000149594
0    16.1833       0.000186472
0    16.8833       0.000239272
0    17.5833       0.00030306
0    18.2833       0.000436386
0    18.9833       0.000552747
