#
#
#   Lonertzian-smoothed HOLE spectral function (both aprticle and hole) as
#  function of momentum and energy
#
#      Range [Emin -:- Ef-] = -282.432  -:-  -58.0449 MeV
#
#      E_F = -50.9208 MeV
#
#
#    k              E               A(k,E)

0.805283    -258.032       1.40021e-05
0.805283    -257.332       1.41323e-05
0.805283    -256.632       1.42645e-05
0.805283    -255.932       1.43989e-05
0.805283    -255.232       1.45354e-05
0.805283    -254.532       1.46741e-05
0.805283    -253.832       1.48152e-05
0.805283    -253.132       1.49586e-05
0.805283    -252.432       1.51044e-05
0.805283    -251.732       1.52528e-05
0.805283    -251.032       1.54037e-05
0.805283    -250.332       1.55573e-05
0.805283    -249.632       1.57137e-05
0.805283    -248.932       1.5873e-05
0.805283    -248.232       1.60352e-05
0.805283    -247.532       1.62005e-05
0.805283    -246.832       1.63691e-05
0.805283    -246.132       1.6541e-05
0.805283    -245.432       1.67165e-05
0.805283    -244.732       1.68956e-05
0.805283    -244.032       1.70786e-05
0.805283    -243.332       1.72658e-05
0.805283    -242.632       1.74572e-05
0.805283    -241.932       1.76533e-05
0.805283    -241.232       1.78543e-05
0.805283    -240.532       1.80607e-05
0.805283    -239.832       1.82727e-05
0.805283    -239.132       1.84911e-05
0.805283    -238.432       1.87163e-05
0.805283    -237.732       1.89492e-05
0.805283    -237.032       1.91907e-05
0.805283    -236.332       1.9442e-05
0.805283    -235.632       1.97047e-05
0.805283    -234.932       1.99806e-05
0.805283    -234.232       2.02724e-05
0.805283    -233.532       2.05838e-05
0.805283    -232.832       2.09196e-05
0.805283    -232.132       2.12872e-05
0.805283    -231.432       2.16972e-05
0.805283    -230.732       2.21659e-05
0.805283    -230.032       2.27196e-05
0.805283    -229.332       2.34026e-05
0.805283    -228.632       2.4294e-05
0.805283    -227.932       2.55449e-05
0.805283    -227.232       2.74662e-05
0.805283    -226.532       3.07427e-05
0.805283    -225.832       3.68518e-05
0.805283    -225.132       4.73458e-05
0.805283    -224.432       5.39568e-05
0.805283    -223.732       4.5607e-05
0.805283    -223.032       3.68825e-05
0.805283    -222.332       3.25072e-05
0.805283    -221.632       3.06448e-05
0.805283    -220.932       3.01328e-05
0.805283    -220.232       3.04689e-05
0.805283    -219.532       3.09218e-05
0.805283    -218.832       3.12077e-05
0.805283    -218.132       3.20423e-05
0.805283    -217.432       3.33544e-05
0.805283    -216.732       3.53067e-05
0.805283    -216.032       3.88683e-05
0.805283    -215.332       4.55791e-05
0.805283    -214.632       5.86182e-05
0.805283    -213.932       7.99288e-05
0.805283    -213.232       8.7811e-05
0.805283    -212.532       6.85255e-05
0.805283    -211.832       5.22768e-05
0.805283    -211.132       4.40907e-05
0.805283    -210.432       4.01462e-05
0.805283    -209.732       3.81942e-05
0.805283    -209.032       3.72965e-05
0.805283    -208.332       3.70591e-05
0.805283    -207.632       3.72993e-05
0.805283    -206.932       3.79893e-05
0.805283    -206.232       3.92723e-05
0.805283    -205.532       4.15817e-05
0.805283    -204.832       4.56673e-05
0.805283    -204.132       5.01142e-05
0.805283    -203.432       4.8834e-05
0.805283    -202.732       4.54474e-05
0.805283    -202.032       4.38651e-05
0.805283    -201.332       4.35718e-05
0.805283    -200.632       4.39474e-05
0.805283    -199.932       4.47077e-05
0.805283    -199.232       4.57339e-05
0.805283    -198.532       4.69807e-05
0.805283    -197.832       4.84393e-05
0.805283    -197.132       5.01233e-05
0.805283    -196.432       5.2064e-05
0.805283    -195.732       5.43114e-05
0.805283    -195.032       5.69376e-05
0.805283    -194.332       6.00462e-05
0.805283    -193.632       6.37865e-05
0.805283    -192.932       6.83782e-05
0.805283    -192.232       7.41551e-05
0.805283    -191.532       8.16438e-05
0.805283    -190.832       9.17154e-05
0.805283    -190.132       0.000105883
0.805283    -189.432       0.000126807
0.805283    -188.732       0.000159172
0.805283    -188.032       0.000213926
0.805283    -187.332       0.000315976
0.805283    -186.632       0.000505122
0.805283    -185.932       0.000721371
0.805283    -185.232       0.000713332
0.805283    -184.532       0.000638428
0.805283    -183.832       0.000529686
0.805283    -183.132       0.000412566
0.805283    -182.432       0.00034683
0.805283    -181.732       0.000360771
0.805283    -181.032       0.000447809
0.805283    -180.332       0.000467128
0.805283    -179.632       0.000350555
0.805283    -178.932       0.000260278
0.805283    -178.232       0.000226519
0.805283    -177.532       0.000235299
0.805283    -176.832       0.000276833
0.805283    -176.132       0.000307715
0.805283    -175.432       0.000294343
0.805283    -174.732       0.000276537
0.805283    -174.032       0.000259371
0.805283    -173.332       0.000240059
0.805283    -172.632       0.000221735
0.805283    -171.932       0.000231133
0.805283    -171.232       0.000272949
0.805283    -170.532       0.000315689
0.805283    -169.832       0.000307574
0.805283    -169.132       0.00031578
0.805283    -168.432       0.000382682
0.805283    -167.732       0.000537418
0.805283    -167.032       0.000791104
0.805283    -166.332       0.00085054
0.805283    -165.632       0.000625743
0.805283    -164.932       0.000474345
0.805283    -164.232       0.000440034
0.805283    -163.532       0.00050184
0.805283    -162.832       0.000634274
0.805283    -162.132       0.000647288
0.805283    -161.432       0.000570667
0.805283    -160.732       0.000598004
0.805283    -160.032       0.000660534
0.805283    -159.332       0.000620658
0.805283    -158.632       0.000621374
0.805283    -157.932       0.000677875
0.805283    -157.232       0.000663948
0.805283    -156.532       0.000658205
0.805283    -155.832       0.00070414
0.805283    -155.132       0.000826312
0.805283    -154.432       0.00101199
0.805283    -153.732       0.000984615
0.805283    -153.032       0.0009199
0.805283    -152.332       0.000983618
0.805283    -151.632       0.000991933
0.805283    -150.932       0.000798422
0.805283    -150.232       0.000648958
0.805283    -149.532       0.000618501
0.805283    -148.832       0.000680201
0.805283    -148.132       0.000854254
0.805283    -147.432       0.0012109
0.805283    -146.732       0.00172528
0.805283    -146.032       0.0018772
0.805283    -145.332       0.0014139
0.805283    -144.632       0.00108269
0.805283    -143.932       0.00100847
0.805283    -143.232       0.00114812
0.805283    -142.532       0.00157766
0.805283    -141.832       0.00235381
0.805283    -141.132       0.00266013
0.805283    -140.432       0.00196507
0.805283    -139.732       0.00142677
0.805283    -139.032       0.00127853
0.805283    -138.332       0.00133562
0.805283    -137.632       0.0012169
0.805283    -136.932       0.00100235
0.805283    -136.232       0.000906953
0.805283    -135.532       0.000914656
0.805283    -134.832       0.00100352
0.805283    -134.132       0.00118453
0.805283    -133.432       0.00150905
0.805283    -132.732       0.0021034
0.805283    -132.032       0.00324072
0.805283    -131.332       0.00516935
0.805283    -130.632       0.00641716
0.805283    -129.932       0.00522944
0.805283    -129.232       0.0039114
0.805283    -128.532       0.00364447
0.805283    -127.832       0.00445401
0.805283    -127.132       0.00634602
0.805283    -126.432       0.00733435
0.805283    -125.732       0.00593368
0.805283    -125.032       0.00496223
0.805283    -124.332       0.00444973
0.805283    -123.632       0.00429723
0.805283    -122.932       0.00507795
0.805283    -122.232       0.00669978
0.805283    -121.532       0.00829827
0.805283    -120.832       0.0103523
0.805283    -120.132       0.0119597
0.805283    -119.432       0.0111109
0.805283    -118.732       0.00847296
0.805283    -118.032       0.00668293
0.805283    -117.332       0.00654697
0.805283    -116.632       0.00703718
0.805283    -115.932       0.00729486
0.805283    -115.232       0.00744202
0.805283    -114.532       0.00656107
0.805283    -113.832       0.00615921
0.805283    -113.132       0.00676368
0.805283    -112.432       0.00792793
0.805283    -111.732       0.0109174
0.805283    -111.032       0.014138
0.805283    -110.332       0.0121383
0.805283    -109.632       0.00827369
0.805283    -108.932       0.00626554
0.805283    -108.232       0.00613735
0.805283    -107.532       0.00623362
0.805283    -106.832       0.00473414
0.805283    -106.132       0.00327124
0.805283    -105.432       0.00238957
0.805283    -104.732       0.00190392
0.805283    -104.032       0.0016446
0.805283    -103.332       0.00152386
0.805283    -102.632       0.00151757
0.805283    -101.932       0.00164506
0.805283    -101.232       0.00186311
0.805283    -100.532       0.00186499
0.805283    -99.832       0.00174725
0.805283    -99.132       0.00163497
0.805283    -98.432       0.0015292
0.805283    -97.732       0.00150629
0.805283    -97.032       0.00155074
0.805283    -96.332       0.00164383
0.805283    -95.632       0.00178
0.805283    -94.932       0.00196197
0.805283    -94.232       0.0021985
0.805283    -93.532       0.00250471
0.805283    -92.832       0.00290431
0.805283    -92.132       0.00343428
0.805283    -91.432       0.0041537
0.805283    -90.732       0.00516063
0.805283    -90.032       0.00662639
0.805283    -89.332       0.00886941
0.805283    -88.632       0.0125253
0.805283    -87.932       0.0189542
0.805283    -87.232       0.0310793
0.805283    -86.532       0.0530945
0.805283    -85.832       0.0789063
0.805283    -85.132       0.0773568
0.805283    -84.432       0.0551449
0.805283    -83.732       0.0432191
0.805283    -83.032       0.0324648
0.805283    -82.332       0.0211508
0.805283    -81.632       0.0145099
0.805283    -80.932       0.0112245
0.805283    -80.232       0.00991035
0.805283    -79.532       0.0101292
0.805283    -78.832       0.0122274
0.805283    -78.712       0.0128519
0.805283    -78.592       0.0135749
0.805283    -78.472       0.0144051
0.805283    -78.352       0.0153501
0.805283    -78.232       0.0164152
0.805283    -78.112       0.0176005
0.805283    -77.992       0.0188985
0.805283    -77.872       0.0202899
0.805283    -77.752       0.0217394
0.805283    -77.632       0.0231927
0.805283    -77.512       0.0245763
0.805283    -77.392       0.0258028
0.805283    -77.272       0.0267828
0.805283    -77.152       0.0274435
0.805283    -77.032       0.0277464
0.805283    -76.912       0.0276997
0.805283    -76.792       0.027357
0.805283    -76.672       0.0268051
0.805283    -76.552       0.0261452
0.805283    -76.432       0.0254749
0.805283    -76.312       0.0248767
0.805283    -76.192       0.0244122
0.805283    -76.072       0.0241219
0.805283    -75.952       0.0240263
0.805283    -75.832       0.0241274
0.805283    -75.712       0.024409
0.805283    -75.592       0.0248357
0.805283    -75.472       0.0253514
0.805283    -75.352       0.0258794
0.805283    -75.232       0.0263265
0.805283    -75.112       0.0265933
0.805283    -74.992       0.0265903
0.805283    -74.872       0.0262564
0.805283    -74.752       0.0255734
0.805283    -74.632       0.024569
0.805283    -74.512       0.0233077
0.805283    -74.392       0.0218739
0.805283    -74.272       0.0203538
0.805283    -74.152       0.0188217
0.805283    -74.032       0.0173341
0.805283    -73.912       0.0159284
0.805283    -73.792       0.0146259
0.805283    -73.672       0.0134355
0.805283    -73.552       0.0123578
0.805283    -73.432       0.0113881
0.805283    -73.312       0.0105187
0.805283    -73.192       0.00974057
0.805283    -73.072       0.00904453
0.805283    -72.952       0.00842159
0.805283    -72.832       0.00786342
0.805283    -72.712       0.00736246
0.805283    -72.592       0.00691195
0.805283    -72.472       0.00650593
0.805283    -72.352       0.00613917
0.805283    -72.232       0.00580709
0.805283    -72.112       0.00550571
0.805283    -71.992       0.00523155
0.805283    -71.872       0.0049816
0.805283    -71.752       0.00475321
0.805283    -71.632       0.00454408
0.805283    -71.512       0.00435221
