#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 2.27768 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-180.332       9.4598e-06       2.27768
-179.632       9.4881e-06       2.27768
-178.932       9.57453e-06       2.27768
-178.232       9.66101e-06       2.27768
-177.532       9.72516e-06       2.27768
-176.832       9.9129e-06       2.27768
-176.132       1.031e-05       2.27768
-175.432       1.10432e-05       2.27768
-174.732       1.22958e-05       2.27768
-174.032       1.40245e-05       2.27768
-173.332       1.6355e-05       2.27768
-172.632       1.69234e-05       2.27768
-171.932       1.46217e-05       2.27768
-171.232       1.30184e-05       2.27768
-170.532       1.25816e-05       2.27768
-169.832       1.29344e-05       2.27768
-169.132       1.39761e-05       2.27768
-168.432       1.50865e-05       2.27768
-167.732       1.51124e-05       2.27768
-167.032       1.49807e-05       2.27768
-166.332       1.56287e-05       2.27768
-165.632       1.68634e-05       2.27768
-164.932       1.74847e-05       2.27768
-164.232       1.88309e-05       2.27768
-163.532       2.11679e-05       2.27768
-162.832       2.36161e-05       2.27768
-162.132       2.78466e-05       2.27768
-161.432       3.01907e-05       2.27768
-160.732       2.90672e-05       2.27768
-160.032       2.48349e-05       2.27768
-159.332       1.9528e-05       2.27768
-158.632       1.60773e-05       2.27768
-157.932       1.42556e-05       2.27768
-157.232       1.3298e-05       2.27768
-156.532       1.27887e-05       2.27768
-155.832       1.25397e-05       2.27768
-155.132       1.2472e-05       2.27768
-154.432       1.25712e-05       2.27768
-153.732       1.28891e-05       2.27768
-153.032       1.358e-05       2.27768
-152.332       1.48006e-05       2.27768
-151.632       1.55581e-05       2.27768
-150.932       1.46966e-05       2.27768
-150.232       1.38919e-05       2.27768
-149.532       1.36397e-05       2.27768
-148.832       1.37713e-05       2.27768
-148.132       1.42442e-05       2.27768
-147.432       1.51994e-05       2.27768
-146.732       1.6898e-05       2.27768
-146.032       1.86447e-05       2.27768
-145.332       1.88454e-05       2.27768
-144.632       1.95453e-05       2.27768
-143.932       2.14135e-05       2.27768
-143.232       2.23721e-05       2.27768
-142.532       2.40617e-05       2.27768
-141.832       2.71645e-05       2.27768
-141.132       2.72401e-05       2.27768
-140.432       2.6368e-05       2.27768
