#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 2.54653 fm^-1 (group = 6)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = 68.3962 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-301.432      67.3472       -0.000772531            2.54653
-300.732      67.3442       -0.000738137            2.54653
-300.032      67.3412       -0.000701226            2.54653
-299.332      67.3381       -0.000661499            2.54653
-298.632      67.335       -0.000618605            2.54653
-297.932      67.3319       -0.000572128            2.54653
-297.232      67.3287       -0.000521569            2.54653
-296.532      67.3255       -0.000466332            2.54653
-295.832      67.3223       -0.000405689            2.54653
-295.132      67.3189       -0.000338753            2.54653
-294.432      67.3156       -0.000264424            2.54653
-293.732      67.3122       -0.000181326            2.54653
-293.032      67.3087       -8.77174e-05            2.54653
-292.332      67.3051       1.86377e-05            2.54653
-291.632      67.3015       0.000140652            2.54653
-290.932      67.2977       0.000282187            2.54653
-290.232      67.2939       0.000448458            2.54653
-289.532      67.2899       0.000646672            2.54653
-288.832      67.2859       0.000887043            2.54653
-288.132      67.2816       0.0011845            2.54653
-287.432      67.2772       0.0015617            2.54653
-286.732      67.2725       0.00205452            2.54653
-286.032      67.2675       0.00272309            2.54653
-285.332      67.2622       0.00367502            2.54653
-284.632      67.2563       0.0051185            2.54653
-283.932      67.2499       0.00748498            2.54653
-283.232      67.2433       0.0116211            2.54653
-282.532      67.2387       0.0179656            2.54653
-281.832      67.237       0.0221813            2.54653
-281.132      67.231       0.0244433            2.54653
-280.432      67.2212       0.033507            2.54653
-279.732      67.2165       0.0551338            2.54653
-279.032      67.238       0.0821301            2.54653
-278.332      67.2767       0.072043            2.54653
-277.632      67.2846       0.0425383            2.54653
-276.932      67.2763       0.0244755            2.54653
-276.232      67.266       0.0152667            2.54653
-275.532      67.2568       0.0103351            2.54653
-274.832      67.2486       0.00748505            2.54653
-274.132      67.2413       0.00572706            2.54653
-273.432      67.2346       0.0045872            2.54653
-272.732      67.2283       0.00382111            2.54653
-272.032      67.2223       0.00329402            2.54653
-271.332      67.2165       0.00292719            2.54653
-270.632      67.2108       0.0026724            2.54653
-269.932      67.2053       0.00249888            2.54653
-269.232      67.1997       0.00238639            2.54653
-268.532      67.1943       0.00232121            2.54653
-267.832      67.1888       0.00229391            2.54653
-267.132      67.1833       0.00229784            2.54653
-266.432      67.1777       0.00232835            2.54653
-265.732      67.1721       0.00238216            2.54653
-265.032      67.1665       0.002457            2.54653
-264.332      67.1608       0.00255137            2.54653
-263.632      67.155       0.00266437            2.54653
-262.932      67.1491       0.00279558            2.54653
-262.232      67.1432       0.00294501            2.54653
-261.532      67.1371       0.00311304            2.54653
-260.832      67.1309       0.0033004            2.54653
-260.132      67.1245       0.00350819            2.54653
-259.432      67.118       0.00373787            2.54653
-258.732      67.1114       0.00399132            2.54653
-258.032      67.1045       0.00427088            2.54653
-257.332      67.0975       0.00457946            2.54653
-256.632      67.0903       0.00492063            2.54653
-255.932      67.0828       0.00529881            2.54653
-255.232      67.0751       0.00571947            2.54653
-254.532      67.0672       0.00618948            2.54653
-253.832      67.0589       0.00671753            2.54653
-253.132      67.0503       0.00731483            2.54653
-252.432      67.0413       0.00799613            2.54653
-251.732      67.0318       0.00878124            2.54653
-251.032      67.0219       0.00969765            2.54653
-250.332      67.0114       0.0107849            2.54653
-249.632      67.0002       0.0121026            2.54653
-248.932      66.9882       0.0137461            2.54653
-248.232      66.9753       0.0158757            2.54653
-247.532      66.9612       0.0187395            2.54653
-246.832      66.9459       0.0225765            2.54653
-246.132      66.9288       0.0280876            2.54653
-245.432      66.9097       0.0373425            2.54653
-244.732      66.8914       0.0536121            2.54653
-244.032      66.8836       0.0751604            2.54653
-243.332      66.8831       0.0839757            2.54653
-242.632      66.8695       0.089151            2.54653
-241.932      66.851       0.109318            2.54653
-241.232      66.8573       0.144026            2.54653
-240.532      66.8888       0.139564            2.54653
