#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 0.805283 fm^-1 (group = 1)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-224.547       1.24657e-16
-224.511       0.0106442
-221.764       2.5388e-17
-220.849       4.17213e-18
-219.759       0.0022591
-218.313       5.11608e-17
-217.723       0.00160733
-217.014       6.10516e-17
-217.014       3.29322e-17
-216.352       2.60601e-17
-216.352       4.12445e-17
-216.196       3.53226e-17
-216.196       2.17534e-18
-216.067       1.12855e-16
-215.65       2.26445e-17
-215.65       1.16798e-16
-215.632       6.08944e-17
-215.57       1.47776e-16
-215.421       4.16745e-17
-215.029       3.56446e-17
-214.575       3.3126e-16
-213.426       0.014985
-213.012       9.33419e-18
-213.012       1.257e-16
-212.527       5.07788e-17
-212.305       2.28405e-18
-212.194       1.82638e-16
-212.194       1.09247e-16
-211.966       1.33958e-16
-211.464       2.96316e-17
-211.161       1.78742e-16
-211.161       6.80786e-17
-210.674       2.11452e-16
-210.674       1.13446e-16
-210.49       1.51926e-17
-210.29       0.000653723
-208.854       6.60892e-17
-208.854       8.6966e-17
-208.202       1.40216e-17
-203.991       0.00675097
-191.295       1.23636e-16
-190.701       5.80673e-18
-190.701       1.68427e-17
-190.348       2.38416e-17
-189.008       0.00218513
-188.926       8.24811e-16
-188.914       3.78672e-16
-188.679       3.1202e-16
-188.529       3.83371e-16
-188.438       3.94656e-16
-187.177       3.05083e-16
-187.162       8.5652e-18
-187.137       4.6796e-17
-186.955       4.96169e-16
-186.533       5.52296e-17
-186.133       7.51928e-16
-185.814       0.0452876
-185.68       2.78838e-15
-185.505       5.75223e-16
-185.289       9.00972e-16
-185.147       4.14165e-16
-184.881       4.03974e-16
-184.377       2.39262e-14
-184.365       9.59389e-15
-184.352       0.0319884
-183.563       5.63785e-17
-183.367       6.245e-17
-183.288       3.43692e-16
-183.285       0.0154387
-182.456       1.09288e-16
-182.316       2.55872e-16
-182.005       1.42518e-16
-181.686       1.91687e-16
-181.458       2.30285e-16
