#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 2.54653 fm^-1 (group = 6)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-282.432       5.87898e-18
-282.116       0.00033853
-281.617       1.03664e-17
-278.827       0.000912146
-248.074       3.08621e-18
-246.994       8.07086e-05
-246.803       2.8007e-17
-245.891       2.01311e-18
-244.333       1.65548e-18
-243.824       0.00070392
-242.75       0.000355161
-242.667       1.15712e-16
-240.957       0.00117055
-240.232       8.52556e-18
-239.788       1.55733e-18
-239.421       3.20719e-18
-239.312       8.84209e-17
-239.288       3.52569e-17
-239.228       7.44419e-05
-239.065       2.1684e-17
-239.06       3.42608e-17
-238.953       5.89806e-17
-238.71       9.22656e-17
-238.618       0.00015604
-238.542       6.93889e-17
-238.451       0
-238.368       0
-238.26       5.55112e-17
-238.094       2.22045e-16
-238.029       2.46656e-17
-237.868       0.000352618
-237.834       4.44089e-16
-237.709       5.55112e-17
-237.677       0.000294586
-237.626       2.08167e-17
-237.52       5.55112e-17
-237.168       2.498e-16
-237.069       0.000148804
-236.808       5.27356e-16
-236.798       0.000661199
-236.766       2.65413e-16
-236.698       8.32667e-17
-236.583       1.11022e-16
-236.513       1.66533e-16
-236.471       6.93889e-17
-236.191       0.000171981
-235.998       9.54098e-18
-235.388       1.44199e-17
-235.113       8.81727e-17
-234.95       0.000810579
-234.789       0.000715496
-234.345       2.3351e-17
-234.037       1.66967e-17
-234.004       0.000126338
-233.689       1.82959e-17
-233.32       0.00109129
-233.1       1.82146e-17
-232.841       1.96317e-05
-232.657       7.1991e-17
-232.474       0.00151609
-232.318       1.24588e-16
-232.141       0.00101017
-232.025       5.04425e-17
-231.841       0.000240176
-231.694       0.00218036
-231.374       0.000275832
-231.303       5.11543e-17
-230.56       6.52556e-18
-230.525       5.70771e-17
-229.517       2.15913e-16
-229.076       0.00169177
-228.336       8.87155e-20
-227.919       0.000540942
-227.407       0.00352878
-211.917       6.21253e-18
-210.944       6.11451e-05
-210.813       7.0812e-19
-210.754       4.14623e-18
-210.19       0.000492104
-210.048       1.19262e-18
-209.894       6.44016e-17
-209.452       6.4239e-18
-209.235       0.000301209
-209.061       2.35407e-17
-208.01       1.17229e-17
-206.835       0.00115467
-205.906       0.000735975
-205.687       2.34188e-16
-205.456       2.25514e-17
-205.024       0.000721139
-204.285       0.00198538
-204.244       0.00200747
-203.018       0.00121177
-202.491       0.000679723
-202.265       0.000407463
-202.185       0.000511513
-201.834       0.000634097
-201.728       0.000845396
-201.577       0.000725875
-201.393       6.64385e-05
-201.292       0.0010148
-201.055       0.00147904
-200.734       0.000280621
-198.943       0.000549246
-198.452       0.00069937
-198.164       0.0011628
-197.964       0.000905149
-197.777       0.00265876
-197.606       0.00304099
-196.974       0.00080551
-196.866       0.000214784
-196.69       0.00108222
-196.293       0.000337219
-195.799       0.0010889
-195.515       0.000812571
-195.191       0.00114988
-194.817       0.00226228
-194.521       0.00263733
-194.209       0.00101527
-193.973       0.00211039
-193.682       0.00235212
-193.466       0.00217937
-192.79       0.000764653
-192.238       0.000995249
-192.117       0.00158549
-191.899       0.000868563
-191.537       0.000218277
-191.273       0.0019847
-190.82       0.000855861
-190.578       0.00163086
-190.09       7.1083e-05
-189.824       0.000790269
-189.584       0.000707236
-189.312       0.000731863
-189.109       0.000907593
-188.669       0.00312958
-188.64       0.00196
-187.805       0.00282385
-187.776       0.000818067
-187.155       0.000264238
