#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 1.97253 fm^-1 (group = 11)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-100.994       2.4774e-16
-100.822       1.98517e-16
-100.62       1.94289e-16
-100.586       1.56125e-16
-100.31       2.37874e-16
-100.152       9.28077e-17
-99.8064       9.22168e-16
-99.7068       3.28947e-16
-99.4682       2.55004e-16
-99.4311       0.00905866
-99.338       2.90057e-15
-99.2152       0.00048991
-99.165       3.29294e-15
-99.0677       0.00593624
-98.9343       1.24795e-16
-98.6922       0.00227813
-98.5773       3.33629e-16
-98.3259       0.00212077
-98.0799       5.01185e-16
-98.0255       0.0040815
-98.0228       6.99667e-16
-97.54       0.0104318
-97.4546       1.69898e-15
-96.8328       5.177e-17
-96.3586       2.91243e-16
-95.8373       0.00201584
-95.5541       1.39175e-16
-94.903       0.00573002
-94.8882       8.93071e-16
-94.1191       0.000608301
-93.4821       6.89753e-17
-91.7971       0.00316724
-82.944       1.79614e-15
-82.742       0.0423704


-42.7973       0.106593
-28.4338       1.0417e-16
-27.9782       0.0258055
-27.4382       0.00447499
-27.1639       1.921e-16
-26.5168       0.0234369
-26.2534       3.15917e-16
-25.7914       0.02004
-25.1187       2.55301e-16
-24.3115       5.1153e-16
-24.24       0.0689192
-24.233       2.06799e-15
-23.6664       0.00256168
-23.3963       5.24145e-17
-23.231       0.00422752
-23.0643       7.17843e-17
-22.533       6.15607e-17
-22.3291       4.20922e-17
-22.2708       0.00445577
-22.2065       2.34519e-16
-21.9169       2.30878e-17
-21.4049       1.07914e-18
-21.257       7.11749e-17
-21.0065       1.86413e-16
-20.7347       9.66225e-17
-20.697       7.825e-17
-20.6251       0.0070802
-20.6143       1.76337e-15
-20.5134       2.84671e-16
-20.3961       1.17654e-15
-20.3332       0.033052
-20.0535       3.72354e-16
-20.053       9.11346e-18
-19.4701       1.10617e-16
-18.9356       4.30859e-17
-18.4638       9.35594e-17
-18.2708       6.26288e-17
-17.6819       0.00908598
-16.7079       2.94314e-18
-11.2716       0.432742
-7.94163       8.70708e-16
-3.90805       0.128148
-3.60982       0.172392
4.03934       0.279672
4.97105       0.0553804
5.61034       0.478042
6.73302       0.192081
6.97492       0.0818842
7.1189       0.0119229
7.75607       0.0336153
8.20345       0.0933471
8.37158       0.0104666
8.67949       0.000838233
8.94149       0.047332
9.35813       0.0161857
9.49476       0.0550842
9.78446       0.00843139
9.95648       0.0889008
10.7429       0.0822509
10.8911       0.0403752
11.1362       0.0355072
11.4724       0.0628193
11.716       0.0231209
12.2771       0.245204
12.7808       0.0324157
12.9704       0.0733724
13.268       0.0673166
13.8104       0.0883027
14.3893       0.0343273
14.6205       0.0539063
14.9893       0.0453569
15.3597       0.0542647
15.8512       0.0305306
16.0452       0.0990438
16.3672       0.088347
16.7715       0.0510935
17.2352       0.217645
18.1814       0.0449983
18.8295       0.119589
19.5862       0.02926
20.1858       0.132635
21.6263       0.184392
25.8472       0.098912
30.5141       0.00350276
31.0542       0.163304
32.8468       0.0978234
34.396       0.064392
39.2791       0.00670356
40.1802       0.0408025
40.6673       0.00957362
41.2244       0.00238518
41.7214       0.00727856
42.1249       0.00725502
42.731       0.0273344
43.2574       0.0199849
44.0034       0.0307533
44.4297       0.029273
45.2686       0.0220221
45.8883       0.0261249
46.4784       0.0288703
47.2721       0.0281642
48.4709       0.0329503
48.9112       0.0470626
49.5083       0.0296697
50.3996       0.0175755
51.5823       0.0544247
52.1854       0.0217765
53.4872       0.0287262
54.4431       0.0735259
54.7265       0.0930902
55.5499       0.100735
56.5697       0.0184815
57.7337       0.052636
58.7584       0.000627852
59.9122       0.0296419
61.0059       0.053277
61.295       0.0718792
61.3396       0.0208606
63.9642       0.034161
67.3312       0.0250857
68.3993       0.00628466
69.0241       0.00836303
70.0458       0.0147047
70.4274       0.00960515
72.2241       0.0372875
72.9765       0.0129783
74.0872       0.0195778
74.9859       0.0202978
75.9208       0.0212649
77.0353       0.0303369
78.0827       0.0184306
79.1072       0.0219877
80.078       0.0177646
81.3168       0.0206256
82.3293       0.0162827
83.4211       0.0224515
84.5258       0.0229236
85.2818       0.0160935
86.8517       0.0296679
87.6705       0.0183806
89.0156       0.0174423
89.673       0.0411503
91.0534       0.0181531
92.0389       0.0272274
92.9342       0.0211518
93.5857       0.0262118
95.2917       0.00303445
96.5201       0.0117079
97.8016       0.0177072
100.672       0.0075043
101.572       0.0104277
102.406       0.0101066
103.338       0.00968242
104.399       0.0139209
105.558       0.0156471
106.591       0.0190132
107.437       0.0232001
108.702       0.017372
109.671       0.0174324
110.712       0.0232475
111.748       0.0206167
112.711       0.0140616
113.932       0.0246814
114.846       0.0165951
115.699       0.0141086
117.274       0.0169179
117.746       0.0191915
119.215       0.0139014
120.005       0.00763012
121.634       0.00415969
122.435       0.0125124
123.714       0.00782664
125.088       0.00617174
126.69       0.0126218
129.714       0.000461944
131.78       0.00675489
132.149       0.00311579
133.211       0.00122666
134.026       0.00661437
135.099       0.00980071
135.676       0.00729167
136.952       0.00748887
137.817       0.00988193
138.766       0.0107517
139.644       0.0107101
140.584       0.00723569
141.669       0.00684156
142.708       0.0112974
143.767       0.00819988
144.563       0.0125286
145.566       0.00735493
146.417       0.0103368
147.584       0.0156212
148.232       0.00775964
148.977       0.00481156
150.014       0.00424669
151.296       0.00587602
151.85       0.00257107
152.568       0.00619256
153.223       0.00059972
154.001       0.0044034
156.006       0.00474801
156.361       0.000473793
158.07       0.00104957
163.72       0.00544653
163.813       0.000375747
165.073       0.0070458
165.437       0.00311865
166.006       0.00634233
166.806       0.00562096
167.327       0.0043568
168.093       0.00440102
168.914       0.0045672
169.725       0.00725717
170.651       0.00677203
171.236       0.00672125
172.108       0.00451688
172.472       0.00538418
173.349       0.00165097
174.021       0.00424751
174.937       0.00112713
175.596       0.00201757
176.94       0.00477223
177.34       0.00463296
177.824       0.00292313
178.519       0.00303536
179.843       0.00149985
180.187       0.00173142
180.705       0.00135915
180.86       0.00219022
181.489       0.00279807
183.346       0.00238759
184.835       0.0048587
186.575       0.000184667
186.576       0.000155203
191.185       1.0481e-11
194.046       0.00339632
194.204       0.0015879
194.27       0.00106842
194.448       0.0018551
194.947       0.000849741
195.721       0.000175962
195.947       0.00358105
196.714       0.00226255
197.098       0.000433498
197.586       0.00273114
198.28       0.00064457
198.593       0.00617511
199.286       0.00113061
199.598       0.0011458
200.28       0.00358498
200.902       0.000849451
201.266       0.00361177
201.705       0.00183923
202.205       0.00256014
202.58       0.00369722
202.885       0.0025193
203.347       0.00237689
203.802       0.00244313
204.321       0.00118038
204.663       0.000765626
205.273       0.00265321
205.502       0.00115664
205.973       0.00276592
206.309       0.00133336
206.562       0.00161554
206.776       0.00396138
207.181       0.00100308
207.286       0.00235512
207.964       0.000582417
208.129       0.000746129
208.22       0.00122242
208.392       0.000718637
208.914       0.00104521
209.255       0.00054304
209.514       0.000791065
209.589       0.00162663
211.216       3.4422e-14
211.355       0.0043904
212.247       9.47981e-05
212.934       0.0011175
213.793       9.83562e-17
213.849       0.000246236
214.622       0.00349745
214.85       3.2224e-18
215.576       3.43099e-17
216.193       2.82547e-17
216.361       1.02554e-17
216.69       7.28072e-18
216.783       0.00044182
216.851       6.24514e-18
217.126       7.756e-17
217.312       0.000418849
217.321       1.30605e-16
217.632       1.8911e-17
217.819       3.54219e-17
217.822       0.000382573
218.277       1.83244e-17
218.282       1.055e-17
219.006       8.1074e-19
219.009       6.98182e-19
