#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 2.41585 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       3.05748e-06       2.41585
-300.732       3.06982e-06       2.41585
-300.032       3.08223e-06       2.41585
-299.332       3.09472e-06       2.41585
-298.632       3.1073e-06       2.41585
-297.932       3.11996e-06       2.41585
-297.232       3.1327e-06       2.41585
-296.532       3.14552e-06       2.41585
-295.832       3.15843e-06       2.41585
-295.132       3.17142e-06       2.41585
-294.432       3.1845e-06       2.41585
-293.732       3.19767e-06       2.41585
-293.032       3.21093e-06       2.41585
-292.332       3.22429e-06       2.41585
-291.632       3.23773e-06       2.41585
-290.932       3.25127e-06       2.41585
-290.232       3.2649e-06       2.41585
-289.532       3.27863e-06       2.41585
-288.832       3.29247e-06       2.41585
-288.132       3.3064e-06       2.41585
-287.432       3.32044e-06       2.41585
-286.732       3.33458e-06       2.41585
-286.032       3.34883e-06       2.41585
-285.332       3.3632e-06       2.41585
-284.632       3.37768e-06       2.41585
-283.932       3.39227e-06       2.41585
-283.232       3.407e-06       2.41585
-282.532       3.42185e-06       2.41585
-281.832       3.43683e-06       2.41585
-281.132       3.45195e-06       2.41585
-280.432       3.46723e-06       2.41585
-279.732       3.48266e-06       2.41585
-279.032       3.49826e-06       2.41585
-278.332       3.51405e-06       2.41585
-277.632       3.53004e-06       2.41585
-276.932       3.54627e-06       2.41585
-276.232       3.56276e-06       2.41585
-275.532       3.57956e-06       2.41585
-274.832       3.59675e-06       2.41585
-274.132       3.61444e-06       2.41585
-273.432       3.63279e-06       2.41585
-272.732       3.65211e-06       2.41585
-272.032       3.67294e-06       2.41585
-271.332       3.69638e-06       2.41585
-270.632       3.7248e-06       2.41585
-269.932       3.76288e-06       2.41585
-269.232       3.81257e-06       2.41585
-268.532       3.84481e-06       2.41585
-267.832       3.85443e-06       2.41585
-267.132       3.88611e-06       2.41585
-266.432       3.9529e-06       2.41585
-265.732       4.00867e-06       2.41585
-265.032       3.98063e-06       2.41585
-264.332       3.94767e-06       2.41585
-263.632       3.9419e-06       2.41585
-262.932       3.95336e-06       2.41585
-262.232       3.97555e-06       2.41585
-261.532       4.00502e-06       2.41585
-260.832       4.03977e-06       2.41585
-260.132       4.08591e-06       2.41585
-259.432       4.15303e-06       2.41585
-258.732       4.25761e-06       2.41585
-258.032       4.41411e-06       2.41585
-257.332       4.56278e-06       2.41585
-256.632       4.72261e-06       2.41585
-255.932       5.08995e-06       2.41585
-255.232       5.63027e-06       2.41585
-254.532       5.61648e-06       2.41585
-253.832       5.18056e-06       2.41585
-253.132       4.9958e-06       2.41585
-252.432       5.12464e-06       2.41585
-251.732       5.57062e-06       2.41585
-251.032       5.91936e-06       2.41585
-250.332       5.47926e-06       2.41585
-249.632       4.96884e-06       2.41585
-248.932       4.69679e-06       2.41585
-248.232       4.56415e-06       2.41585
-247.532       4.49858e-06       2.41585
-246.832       4.46695e-06       2.41585
-246.132       4.45396e-06       2.41585
