#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 2.41585 fm^-1      and E_F = -52.0162 MeV
#
#
#    E              |M_kE|^2

-268.237       -8.38586e-15
-267.919       -0.155518
-267.384       -9.42381e-15
-264.623       0.300916
-233.121       -1.6722e-15
-232.158       -0.0380131
-231.985       -5.8575e-15
-231.197       1.18927e-15
-229.565       -2.77599e-15
-229.034       0.255756
-227.95       -4.60527e-15
-227.213       -0.134495
-226.839       -1.30827e-15
-226.328       -1.15214e-15
-225.709       0.344739
-225.633       -0.225737
-225.586       -1.06093e-14
-225.5       -6.43202e-15
-225.187       -2.50418e-15
-224.99       -3.432e-16
-224.967       -6.67754e-16
-224.791       0.0015234
-224.726       7.74263e-15
-224.656       2.16791e-14
-224.634       -0.134526
-224.477       -3.63501e-16
-224.228       -1.7171e-16
-224.177       -9.71331e-16
-224.047       -1.27412e-15
-223.943       -5.47005e-16
-223.779       -3.91407e-16
-223.604       -8.93436e-16
-223.123       0.0865088
-223.115       8.3345e-14
-222.912       9.69493e-16
-222.799       -0.00698504
-222.539       -1.74551e-15
-222.349       -3.93242e-15
-222.058       0.074454
-221.947       4.30537e-15
-221.493       2.0223e-15
-221.24       1.92238e-14
-221.17       2.05754e-14
-221.081       -0.448458
-220.776       0.198054
-220.456       6.21715e-15
-220.143       1.62573e-14
-219.729       3.03344e-14
-219.708       -0.261528
-219.405       0.376481
-218.754       -0.593236
-218.721       -9.71459e-14
-218.082       0.254339
-218.013       -2.48389e-13
-217.844       -0.228857
-217.415       0.178483
-217.149       -0.286991
-216.581       0.267716
-216.488       -0.236051
-216.179       -0.187658
-215.961       0.079721
-215.685       0.171211
-215.591       -0.124201
-214.956       0.0341227
-214.648       3.25315e-15
-213.781       -0.0624664
-213.723       0.591522
-213.249       2.19887e-15
-212.679       -0.230584
-212.329       -1.94266e-14
-212.264       0.0205384
-211.929       -0.89574
-211.052       -4.01934e-14
-211.01       0.20161
-210.87       -0.269413
-210.471       0.0378683
-210.06       6.03088e-15
-209.581       3.72167e-15
-209.48       -0.0443729
-208.7       -4.0527e-14
-208.608       0.789678
-207.906       3.67478e-14
-207.828       -0.884133
-205.311       1.61657e-17
-205.128       -6.12832e-16
-203.637       -1.07057e-13
-203.633       0.164568
-202.908       1.15736e-15
-201.831       2.29513e-14
-201.812       -0.0696501
-201.468       -8.29786e-16
-201.238       -4.42631e-16
-201.045       -2.93249e-15
-200.688       -3.49758e-15
-200.649       -2.2751e-15
-199.119       -6.0523e-15
-198.286       0.471438
-198.187       2.72345e-14
-197.624       5.02675e-15
-197.517       2.8441e-15
-197.049       2.23364e-15
-196.709       2.97453e-15
-195.374       -0.191823
-194.301       -1.34928e-15
-193.826       0.411943
-189.361       4.94683e-16
-189.166       5.04297e-16
-188.272       3.89781e-15
-188.081       -0.248928
-187.475       0.00451032
-187.277       -0.0151906
-186.854       0.0955682
-186.15       4.7015e-15
-184.901       -0.804243
-183.965       0.0247214
-183.324       -0.61232
-182.482       0.297094
-182.007       -0.209601
-181.61       -0.362684
-181.439       -0.606809
-181.284       0.675977
-181.005       0.0587168
-180.546       -0.550399
-180.464       -0.453366
-180.352       -0.253621
-180.024       0.815232
-179.955       0.192577
-179.572       0.18509
-179.348       0.0765333
-178.773       -0.0748275
-178.373       -0.0765874
-177.611       -0.435095
-177.312       0.723148
-177.021       1.15287
-176.846       -0.537648
-176.516       -0.22166
-176.333       -0.0161523
-175.63       0.821483
-175.434       0.145097
-175.345       0.234743
-175.133       0.180168
-175.02       0.403065
-174.37       -0.492062
-173.983       0.22254
-173.579       0.585892
-173.453       0.0611426
-173.309       -0.573155
-172.741       0.115567
-171.254       0.0130879
-171.185       -0.269766
-167.312       7.76206e-16
-166.029       0.117815
-164.885       -8.64477e-16
-164.517       -0.0751839
-163.874       0.00778614
-162.797       -0.0642741
-162.542       5.7378e-15
-160.769       3.32668e-14
-160.212       0.472216
-159.951       -0.242097
-159.517       0.422278
-158.229       -0.180285
-157.988       -0.313644
-157.831       -0.0582031
-157.557       0.27268
-157.238       0.391465
-157.055       0.334015
-156.897       -0.281909
-156.587       -0.35745
-156.4       -0.0329871
-156.013       0.292908
-155.818       0.233042
-155.474       0.0648171
-155.332       0.348292
-154.923       -0.219308
-154.03       -0.0363608
-153.802       0.722127
-153.38       -0.348407
-152.676       -0.0988777
-152.47       -0.726013
-152.311       0.386993
-151.488       -0.0377371
-151.153       -0.00538082
-150.193       1.21074
-149.674       0.265527
-149.61       -0.854444
-149.025       0.281609
-148.866       -0.0758836
-148.778       1.4548e-16
-147.977       0.162347
-147.4       2.02246e-15
-147.062       -0.398186
-146.742       0.502473
-146.429       9.15026e-16
-144.945       1.19326e-15
-144.695       9.6803e-16
-143.529       -0.206076
-143.126       -2.96679e-15
-143.031       0.162676
-130.647       1.19542e-15
-129.424       0.190913
-129.16       -1.20567e-15
-128.198       -7.55945e-15
-128.1       -9.35887e-15
-127.862       -0.272732
-127.461       6.86068e-16
-127.387       4.1844e-15
-126.526       2.13766e-16
-126.466       8.82373e-16
-125.703       2.09645e-15
-124.849       1.5317e-15
-124.56       8.77159e-16
-124.083       0.309649
-123.91       -0.344725
-123.809       8.20481e-15
-123.732       7.22563e-15
-123.49       1.71379e-15
-123.189       0.488998
-122.882       -5.19571e-15
-122.559       -9.60737e-15
-122.381       -0.514072
-121.471       1.05567e-14
-121.366       1.06891e-15
-120.844       0.918137
-120.811       -5.90296e-14
-120.582       -0.258242
-120.041       0.0572746
-119.524       1.33519e-16
-119.507       -0.163554
-119.432       0.500624
-118.965       -0.539977
-118.68       -0.312698
-118.628       6.25725e-13
-118.288       0.157073
-118.133       -0.317494
-117.878       -6.80716e-17
-117.395       0.175626
-116.971       4.25664e-17
-116.818       -0.834319
-116.81       1.03569e-16
-116.456       0.658962
-116.041       6.98916e-17
-116.039       -0.324335
-115.77       0.290711
-115.567       -1.28785e-17
-115.331       -0.0437624
-115.18       0.638807
-115.141       7.27693e-14
-114.618       7.59641e-15
-114.586       6.65543e-14
-114.575       -0.42403
-114.221       -3.20922e-16
-114.076       0.27266
-113.78       -0.172903
-113.658       -7.77269e-16
-113.589       -1.33659e-15
-113.525       -6.17624e-16
-113.089       -6.09681e-16
-112.981       -9.33843e-15
-112.969       0.0270033
-112.24       8.86376e-16
-112.118       -0.0989289
-112.108       -1.30613e-14
-112.063       0.0161404
-111.732       1.72556e-15
-111.359       2.18363e-16
-110.911       2.72699e-16
-110.622       -0.0522635
-110.433       0.0499729
-110.348       1.82652e-16
-109.246       0.164065
-109.236       -3.59193e-12
-98.8578       1.38424
-85.5753       -2.04703e-14
-84.6013       1.62442e-15
-84.3803       -3.6941e-15
-84.3404       9.27836e-16
-83.9847       -0.0153863
-83.9838       -1.06145e-16
-83.9421       1.04408e-16
-83.7823       -1.66841e-16
-83.7474       -2.33419e-17
-83.5868       -3.61303e-16
-83.2019       -2.69912e-16
-83.0513       1.45375e-15
-82.9489       -3.24411e-15
-82.6755       1.01611e-14
-82.4686       -2.48645e-15
-81.9354       1.34236e-14
-81.0563       -1.57869e-14
-80.481       -0.54911
-79.9096       0.565319
-79.5597       1.05815e-14
-79.1124       -3.8346e-14
-78.0407       1.69735e-15
-77.919       -0.00790112
-77.7849       -1.57497e-15
-76.2728       -3.21194e-15
-76.1879       0.240509
-75.3297       -0.0609323


-20.6881       -3.05965
-10.1948       0.369134
-10.0859       1.78444e-14
-9.65229       -0.523175
-9.22852       7.51501e-16
-8.79425       0.380758
-8.17505       -0.401618
-8.12624       -1.98803e-15
-7.98356       -0.0979959
-7.85886       1.74153e-16
-7.61092       -1.28672e-15
-6.43636       2.55942e-16
-6.36024       2.49681e-16
-6.01995       0.0287523
-5.6517       -0.171844
-5.37842       0.196305
-5.36489       9.14405e-14
-5.31718       -0.626826
-4.48123       -1.26321e-14
-4.3992       -6.30041e-15
-4.31098       0.828448
-4.18099       1.17152e-14
-4.13343       -0.200138
-3.88582       -1.35521e-15
-3.6651       -2.74065e-15
-3.1129       -2.22136e-15
-2.88087       -1.84755e-15
-2.65275       0.176638
-2.37977       -0.13849
-2.35221       -4.84192e-14
-2.02245       0.0446024
-1.89234       -0.150876
-1.81033       -1.5013e-14
-1.47405       -1.64145e-15
-1.18924       -1.61949e-16
-1.10161       -7.06685e-16
-0.753681       -1.15963e-15
-0.253295       0.104577
0.50056       1.99594e-15
1.05693       -1.28758e-16
1.47899       7.9814e-17
1.78259       -0.0827077
2.71111       -1.79961e-14
8.24919       1.65795e-13
8.42163       -6.86557
13.8121       -3.32315e-13
14.0189       -4.17878
15.2627       3.58586
20.2304       -2.03029e-14
20.4015       -0.472883
23.3249       0.480893
23.5367       -0.191103
23.9471       1.01347
24.0663       -0.859713
24.2284       -1.31013
24.3815       0.292641
24.7904       0.0180721
25.3962       0.880616
25.6338       -0.391567
26.1277       -0.694904
26.405       1.4091
26.6841       1.01505
27.1294       -0.829924
27.4398       -1.14093
28.1113       1.51637
28.2148       0.54668
28.7306       -0.698871
29.1086       -0.143707
30.0765       -0.612708
30.6611       1.22766
31.116       1.10088
31.4707       -1.0074
31.9799       -1.17849
32.3388       1.07625
33.015       0.953553
33.394       -0.526004
33.8463       -0.367079
34.6513       -0.654342
34.829       -0.0471534
35.1728       1.36578
35.9849       0.581358
36.3311       -0.74344
36.8416       -0.0176345
37.4968       0.353466
39.1043       -6.03851
41.3402       2.27592
46.2962       -1.37287
47.1636       1.15323
48.9639       -3.25717
50.4804       2.59851
52.8783       -0.331666
53.7808       -0.323875
54.5118       0.756467
54.7217       0.258281
55.5435       0.720499
56.2531       -0.78103
56.7111       -0.401761
57.6831       -1.81761
58.1858       1.49702
58.8884       1.47025
59.7366       -0.840042
60.617       -0.869134
61.2497       1.18565
62.4487       1.03854
63.1098       1.48186
64.0302       -2.68942
64.9684       1.1471
65.8299       1.3079
66.8537       2.0123
67.6966       -2.36792
68.4973       1.65208
69.6391       1.00487
70.7797       2.31042
71.3759       -2.82037
72.2815       1.03714
73.1047       0.780388
74.3848       1.90947
75.4848       -3.6434
76.2537       2.07329
77.0456       1.09939
78.9861       -0.966963
79.0912       -0.88456
80.0467       0.965492
82.742       0.210856
83.4807       0.788127
84.1293       -0.649716
85.0174       -0.429015
87.0592       0.999392
87.7316       1.06367
88.6792       -1.18153
89.935       -0.604288
91.1757       1.43073
91.909       1.96399
92.8774       -1.37348
94.1772       0.904142
95.0618       0.98628
96.1338       0.994729
96.9679       -0.963452
98.1998       -1.78075
99.2562       1.66307
100.424       -1.17315
101.524       -0.658672
102.882       1.65765
103.447       0.499168
105.241       0.868174
105.726       -1.49842
107.187       -0.390792
108.037       1.20972
108.921       -1.0245
109.588       -0.100265
112.42       -1.53736
113.122       0.108198
113.734       0.12302
116.105       -0.640413
117.099       -0.937192
117.843       0.653439
118.965       0.795969
119.93       -0.982351
121.094       -0.917777
121.987       1.26741
122.874       1.25749
124.299       -1.2625
124.94       -1.48911
125.915       1.44251
127.178       1.04934
128.092       -1.3383
129.059       -1.77043
130.084       1.27276
131.38       1.65908
132.054       -1.30909
133.198       -1.28928
133.576       1.76821
134.991       0.90963
135.681       -0.289407
136.927       -0.186617
137.304       -0.318298
138.14       1.07651
138.537       0.566352
140.381       -0.89743
141.522       0.444759
142.051       -0.127474
150.674       -0.262908
151.442       0.0471462
152.168       0.731822
152.474       -0.74628
153.001       -0.866973
153.453       1.0236
154.171       0.284445
155.752       -1.17614
156.332       -1.09619
156.834       1.08928
157.852       0.605839
158.73       -0.711894
159.443       -0.764698
160.182       0.855912
161.194       0.728237
161.784       0.943507
162.73       -0.884654
163.489       -0.503682
164.025       0.713557
165.373       0.0953862
165.75       -0.689666
166.867       0.952063
167.336       0.0769399
168.694       -0.345829
170.57       -0.00173666
171.586       -0.212487
172.794       0.198516
174.699       -0.202073
176.791       0.38845
177.953       -0.569554
179.271       0.272028
179.524       0.397417
179.945       0.970958
180.347       -0.686729
181.004       -0.548328
181.635       0.827412
182.268       0.399361
182.845       -0.525858
183.468       -0.643783
184.128       0.596033
184.884       0.780475
185.379       -1.25029
186.209       -0.403479
186.652       1.02578
187.104       0.660295
187.645       -0.596467
188.193       -0.44144
188.76       0.202744
189.526       0.323023
189.879       0.107424
190.642       -0.474311
191.173       1.39659
191.416       0.36477
191.772       -0.696293
192.299       -0.411787
192.693       0.518415
193.363       -0.00381683
193.668       -0.245825
193.79       -0.227916
193.933       0.122628
194.033       0.0989573
194.647       -0.173884
194.979       0.384102
195.508       -0.297362
196.268       0.474647
198.11       3.55669e-15
215.906       -0.378762
215.91       -1.04254e-15
216.81       -1.44174e-15
216.854       0.375142
218.049       -0.339658
218.053       -2.45706e-16
218.275       -1.45202e-15
219.209       -2.01242e-16
219.583       0.231303
219.959       -9.20203e-15
220.072       -1.55773e-14
220.358       -7.25554e-15
220.872       1.9028e-13
221.016       0.534095
221.597       -1.4963e-14
221.757       -8.57317e-15
222.314       -1.25699e-15
222.623       -6.52851e-16
222.815       0.0463084
223.154       -5.33478e-16
223.713       -7.69389e-16
224.592       1.27507e-16
225.023       -0.745266
225.321       -6.96053e-15
226.26       0.0211578
226.27       1.35638e-11
226.27       -0.0655688
226.382       0.508552
227.076       2.68751e-15
227.265       2.64608e-15
227.889       3.21834e-15
228.421       0.687507
228.548       -4.72899e-15
229.063       3.3405e-15
229.19       -1.14773e-14
229.205       5.30293e-17
229.759       -0.360315
230.342       -1.00905e-14
230.44       4.78623e-16
230.661       5.73659e-16
230.75       4.88539e-16
230.769       1.25952e-15
230.773       4.34606e-16
231.514       -3.62865e-16
231.524       -3.32329e-15
231.532       -3.96973e-15
231.566       -1.04789e-14
231.567       0.00297346
231.568       -0.0086042
232.354       -2.96639e-15
232.387       2.46644e-16
232.387       2.22269e-15
232.418       -9.90742e-16
