#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 1.39479 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       5.90196e-06       1.39479
-300.732       5.93542e-06       1.39479
-300.032       5.96917e-06       1.39479
-299.332       6.00322e-06       1.39479
-298.632       6.03757e-06       1.39479
-297.932       6.07222e-06       1.39479
-297.232       6.10719e-06       1.39479
-296.532       6.14247e-06       1.39479
-295.832       6.17806e-06       1.39479
-295.132       6.21398e-06       1.39479
-294.432       6.25022e-06       1.39479
-293.732       6.2868e-06       1.39479
-293.032       6.3237e-06       1.39479
-292.332       6.36095e-06       1.39479
-291.632       6.39854e-06       1.39479
-290.932       6.43648e-06       1.39479
-290.232       6.47477e-06       1.39479
-289.532       6.51342e-06       1.39479
-288.832       6.55243e-06       1.39479
-288.132       6.5918e-06       1.39479
-287.432       6.63155e-06       1.39479
-286.732       6.67168e-06       1.39479
-286.032       6.71219e-06       1.39479
-285.332       6.75308e-06       1.39479
-284.632       6.79437e-06       1.39479
-283.932       6.83606e-06       1.39479
-283.232       6.87816e-06       1.39479
-282.532       6.92066e-06       1.39479
-281.832       6.96358e-06       1.39479
-281.132       7.00693e-06       1.39479
-280.432       7.0507e-06       1.39479
-279.732       7.09491e-06       1.39479
-279.032       7.13956e-06       1.39479
-278.332       7.18466e-06       1.39479
-277.632       7.23022e-06       1.39479
-276.932       7.27624e-06       1.39479
-276.232       7.32273e-06       1.39479
-275.532       7.3697e-06       1.39479
-274.832       7.41715e-06       1.39479
-274.132       7.4651e-06       1.39479
-273.432       7.51354e-06       1.39479
-272.732       7.5625e-06       1.39479
-272.032       7.61198e-06       1.39479
-271.332       7.66198e-06       1.39479
-270.632       7.71252e-06       1.39479
-269.932       7.76361e-06       1.39479
-269.232       7.81525e-06       1.39479
-268.532       7.86746e-06       1.39479
-267.832       7.92024e-06       1.39479
-267.132       7.97362e-06       1.39479
-266.432       8.02758e-06       1.39479
