#
#
#   Lonertzian-smoothed spectral function (both aprticle and hole)
#
#   k = 1.61057 fm^-1      and E_F = -50.9208 MeV
#
#
#    E               A(k,E)           k 

-301.432       5.11359e-06       1.61057
-300.732       5.14049e-06       1.61057
-300.032       5.16762e-06       1.61057
-299.332       5.19497e-06       1.61057
-298.632       5.22254e-06       1.61057
-297.932       5.25035e-06       1.61057
-297.232       5.27839e-06       1.61057
-296.532       5.30666e-06       1.61057
-295.832       5.33516e-06       1.61057
-295.132       5.36391e-06       1.61057
-294.432       5.39291e-06       1.61057
-293.732       5.42215e-06       1.61057
-293.032       5.45164e-06       1.61057
-292.332       5.48138e-06       1.61057
-291.632       5.51138e-06       1.61057
-290.932       5.54164e-06       1.61057
-290.232       5.57216e-06       1.61057
-289.532       5.60295e-06       1.61057
-288.832       5.63402e-06       1.61057
-288.132       5.66535e-06       1.61057
-287.432       5.69697e-06       1.61057
-286.732       5.72886e-06       1.61057
-286.032       5.76105e-06       1.61057
-285.332       5.79352e-06       1.61057
-284.632       5.82629e-06       1.61057
-283.932       5.85937e-06       1.61057
-283.232       5.89274e-06       1.61057
-282.532       5.92643e-06       1.61057
-281.832       5.96043e-06       1.61057
-281.132       5.99475e-06       1.61057
-280.432       6.02939e-06       1.61057
-279.732       6.06437e-06       1.61057
-279.032       6.09968e-06       1.61057
-278.332       6.13533e-06       1.61057
-277.632       6.17134e-06       1.61057
-276.932       6.2077e-06       1.61057
-276.232       6.24442e-06       1.61057
-275.532       6.28152e-06       1.61057
-274.832       6.31899e-06       1.61057
-274.132       6.35686e-06       1.61057
-273.432       6.39512e-06       1.61057
-272.732       6.43378e-06       1.61057
-272.032       6.47286e-06       1.61057
-271.332       6.51237e-06       1.61057
-270.632       6.55232e-06       1.61057
-269.932       6.59273e-06       1.61057
-269.232       6.6336e-06       1.61057
-268.532       6.67496e-06       1.61057
-267.832       6.71682e-06       1.61057
-267.132       6.7592e-06       1.61057
-266.432       6.80213e-06       1.61057
-265.732       6.84562e-06       1.61057
-265.032       6.88972e-06       1.61057
-264.332       6.93444e-06       1.61057
-263.632       6.97984e-06       1.61057
-262.932       7.02595e-06       1.61057
-262.232       7.07284e-06       1.61057
-261.532       7.12055e-06       1.61057
