#
#
#   poles of the spectral functions (both aprticle and hole)
#
#   k = 0 fm^-1 (group = 0)     and E_F = -50.9208 MeV
#
#
#    E               A(k,E)

-99.159       5.74627e-17
-99.0048       9.62772e-17
-98.9812       2.60209e-17
-98.9648       5.11743e-17
-98.7791       1.24778e-15
-98.7385       1.41112e-16
-98.5379       2.50798e-15
-98.5316       1.93968e-16
-98.1055       0.0410839
-97.8665       5.30066e-15
-97.8159       1.54529e-15
-97.8058       2.35576e-16
-97.592       3.67844e-16
-97.5036       6.92815e-16
-96.7833       1.4962e-17
-96.7427       5.47708e-17
-96.7407       5.20417e-17
-96.6777       3.49609e-16
-96.5764       5.41234e-16
-96.5761       9.54109e-16
-96.4119       0.00744234
-95.8822       6.41108e-18
-95.8822       6.32429e-17
-95.6051       1.4091e-16
-95.605       9.92624e-19
-95.368       2.22895e-16
-94.9465       3.37744e-16
-94.9464       3.8614e-16
-94.583       7.12524e-18
-94.5823       2.54172e-16
-94.5822       8.78501e-17
-94.1091       2.62873e-16
-93.9395       8.74073e-17
-93.9393       3.34425e-16
-93.2968       5.88708e-16
-93.2967       2.08285e-16
-93.2966       8.45672e-17
-93.1571       1.23915e-16
-93.1571       3.51392e-16
-93.157       5.04044e-16
-92.2242       3.15469e-16
-88.1612       1.73539e-16
-88.1612       3.02521e-16
-83.3166       2.39898e-16
-83.3164       2.71347e-17
-83.3163       8.83467e-17
-82.9794       2.46586e-16
-82.9792       8.24967e-17
-82.9791       3.71418e-17
-82.3927       3.76266e-16
-82.3927       1.75878e-17
-82.3926       4.81591e-17
-81.5958       1.39056e-15
-81.5952       3.78782e-17
-81.5952       1.92402e-16
-81.5028       9.70779e-16
-81.5026       4.38326e-17
-81.1393       0.154724
-71.1436       0.569557


-5.63534       5.11238e-17
-5.63534       1.79369e-16
-5.63534       4.43153e-17
-5.52733       8.84311e-17
-4.87463       1.86153e-16
-4.87463       6.2847e-17
-4.87463       2.00568e-17
-4.39313       0.0549825
5.87485       4.81097e-17
6.00897       8.8165e-17
6.17123       1.73814e-18
6.2167       4.66828e-18
6.39354       2.87046e-17
6.45268       2.15192e-18
6.62123       1.14813e-16
6.66062       1.01054e-16
6.67266       9.54286e-17
7.05134       8.59378e-17
7.10496       1.01528e-16
7.23639       2.95251e-18
7.58183       9.14959e-19
7.96881       2.64941e-16
8.35464       4.47529e-16
8.59803       1.23161e-15
8.68995       8.36546e-16
8.86337       0.0460266
8.983       2.00381e-16
9.16996       1.45167e-16
9.95798       1.01391e-17
10.0861       1.40339e-17
10.497       1.22982e-16
10.7749       1.45529e-16
11.0874       1.671e-16
11.6002       2.21183e-16
11.7486       1.7636e-16
12.4886       3.26505e-17
12.6595       0.0198105
12.7025       8.56686e-18
13.3431       1.41844e-17
13.8971       1.19728e-16
14.2345       1.2411e-16
14.6906       4.71713e-17
15.3458       6.78529e-17
15.7222       8.47884e-17
16.4009       1.57106e-17
16.8355       0.0155105
17.2083       2.18547e-16
17.5598       1.43036e-16
18.0178       3.83528e-17
18.9994       0.0427611
19.2       8.99287e-16
19.6157       9.04564e-16
19.7149       3.81585e-16
20.4651       8.03941e-17
22.5607       5.54597e-17
23.0027       0.0203037
23.7084       7.3222e-17
23.7887       9.69605e-18
23.8904       3.96037e-18
25.1186       2.08626e-18
25.5712       8.07798e-17
25.6086       2.94248e-17
27.1797       3.39478e-17
27.2852       3.94835e-17
28.5208       2.11358e-17
30.4208       1.87698e-16
30.7113       6.59731e-16
31.1141       0.0176604
38.5489       1.26086e-16
38.7451       2.82932e-17
39.1324       1.43645e-16
39.4874       0.00980072
39.5132       1.46992e-15
