#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 2.27768 fm^-1      and E_F = -52.0162 MeV
#
#
#    E              |M_kE|^2

-254.201       -1.62067e-14
-254.034       -0.226881
-253.048       -3.37508e-15
-250.838       0.220524
-247.958       8.73986e-16
-246.885       -5.7334e-16
-246.546       3.8755e-15
-246.529       0.0137219
-246.442       2.55398e-16
-246.376       1.00255e-16
-245.964       1.87902e-16
-245.383       -1.37561e-15
-243.71       7.87051e-16
-243.446       -3.09846e-15
-243.113       -0.332598
-242.903       -2.27622e-15
-242.316       9.31543e-16
-242.183       -1.25931e-14
-241.133       6.30959e-16
-240.585       0.167254
-240.146       6.17627e-16
-240.044       2.88373e-15
-239.852       -2.68028e-15
-239.849       -0.544652
-239.63       -3.39126e-15
-239.571       -1.21338e-15
-239.195       -7.1803e-15
-239.076       6.32432e-14
-239.059       -0.115094
-238.698       -5.4803e-16
-238.666       -9.65909e-16
-238.571       -1.93208e-15
-238.409       -7.25043e-16
-238.362       -1.35631e-15
-238.241       -1.33045e-13
-238.229       0.0183585
-238.195       5.32673e-16
-237.879       9.92187e-16
-237.556       6.12028e-13
-237.543       -0.0681437
-237.509       -1.81776e-14
-237.472       -4.13481e-15
-236.671       4.73022e-16
-236.662       2.95815e-15
-235.181       1.91361e-14
-234.926       -0.570617
-233.815       -0.109384
-233.683       -2.44973e-15
-233.607       -3.00674e-15
-233.565       -3.66478e-15
-232.358       -4.16182e-15
-232.222       0.806176
-231.894       2.96413e-16
-231.811       0.269257
-230.764       -1.0011e-15
-230.571       6.56792e-15
-228.582       -2.12191e-13
-228.577       -0.274634
-210.851       -2.65152e-16
-210.652       -1.35083e-15
-209.673       3.37724e-15
-209.398       0.232129
-209.359       9.34911e-13
-209.082       -9.87312e-16
-209.038       -8.14608e-15
-208.736       -2.02842e-16
-208.556       -1.76115e-15
-208.526       -6.61736e-16
-208.484       -2.39276e-15
-208.166       -0.222771
-208.136       1.04567e-13
-208.036       2.31173e-14
-207.901       1.80194e-15
-207.83       2.82073e-15
-207.733       1.15538e-14
-205.713       1.71016e-17
-205.351       2.35683e-15
-205.226       1.25654e-15
-205.072       0.321438
-204.747       -0.0874894
-204.547       3.59665e-15
-204.168       5.09772e-15
-203.938       0.431781
-203.471       -3.76572e-15
-203.157       -1.23153e-14
-202.723       -3.69658e-14
-202.653       -0.583256
-202.171       0.325565
-201.887       -0.261998
-201.543       0.372962
-201.236       -0.00680671
-200.593       1.40173e-14
-200.495       0.102665
-199.594       -4.09268e-15
-199.205       -4.19786e-15
-198.489       -1.27543
-198.288       0.467409
-198.022       -3.25228e-14
-197.699       -0.4315
-197.055       0.112246
-196.046       -0.240195
-195.47       0.102299
-195.187       -0.418584
-194.869       -0.510081
-194.818       0.666245
-194.273       0.341024
-194.101       -0.697687
-193.787       0.318786
-192.919       1.85454e-15
-191.648       7.99258e-15
-191.405       -1.15937
-190.628       0.124626
-190.499       2.13124e-14
-189.853       -0.359949
-189.491       -6.12533e-15
-188.912       0.319595
-188.19       -0.154513
-187.332       -6.96843e-15
-187.037       0.534084
-186.465       -0.158525
-186.347       0.353403
-185.238       4.15799e-15
-184.744       1.3523e-15
-183.661       6.79357e-15
-183.157       3.10825e-15
-183.016       -0.518507
-182.218       -2.54578e-15
-181.468       0.224138
-180.916       2.09321e-15
-179.957       -0.0916967
-179.672       0.131348
-179.141       5.8541e-15
-178.671       -0.141891
-178.319       0.169617
-177.526       1.82752e-15
-176.659       1.83031e-15
-175.506       8.20028e-16
-174.793       7.0834e-15
-174.395       1.57363e-13
-174.358       -0.406121
-173.245       -1.27573e-14
-172.869       1.08897
-172.556       3.50031e-14
-171.798       4.60178e-15
-171.239       4.53005e-15
-170.631       -0.0765402
-169.928       0.201095
-169.16       7.84851e-15
-168.698       1.09409e-14
-168.485       -0.684705
-167.479       0.440406
-167.116       2.69749e-15
-166.009       -0.0304482
-165.648       0.679765
-165.594       5.91322e-14
-164.768       -0.326764
-164.271       -1.38177e-14
-163.591       -1.32346e-13
-163.541       0.798617
-162.999       1.36264e-14
-162.7       5.83661e-15
-161.922       -1.14962
-161.211       0.945209
-161.14       1.37379e-14
-160.544       6.36823e-14
-160.457       -1.01203
-160.343       0.303153
-160.132       -0.374239
-159.832       -2.30194e-14
-159.767       -8.77843e-14
-159.731       0.331467
-152.941       6.9101e-16
-151.733       0.674334
-147.721       -1.00389e-15
-146.007       -0.706074
-144.186       1.01923e-14
-144.105       1.98227e-14
-143.925       1.86167e-14
-143.757       0.737012
-143.743       -4.28316e-13
-143.05       -3.10798e-15
-142.639       -1.13808e-14
-142.32       -3.08078e-15
-141.697       -0.973278
-141.685       4.80265e-13
-141.402       0.366033
-140.92       -0.277239
-140.587       0.150802
-140.491       -0.221702
-139.64       1.50468e-14
-139.475       0.169699
-139.047       -1.01447e-14
-138.116       -1.63047
-137.523       2.21315e-14
-136.907       0.825328
-136.715       -0.71226
-136.324       0.890153
-136.105       -0.130778
-135.339       0.000786307
-135.236       0.224551
-134.664       -0.298222
-134.613       0.263377
-134.199       -1.97244e-14
-133.76       -1.40033
-133.528       3.98089e-14
-132.478       0.863509
-132.433       -1.18729e-13
-132.188       -0.235617
-131.46       0.400247
-131.166       -0.601707
-131.108       7.47291e-14
-130.71       0.0898696
-130.687       -6.94252e-14
-129.967       -0.00949178
-129.683       2.51381e-15
-129.476       1.12839e-15
-129.183       4.63327e-15
-129.041       6.89146e-16
-128.561       1.15768e-14
-128.338       7.88888e-15
-128.171       0.734068
-128.152       -1.10277e-14
-127.589       -1.09861e-15
-127.231       -0.160834
-126.842       0.204954
-126.84       -9.28782e-15
-126.689       -1.91874e-15
-126.562       -1.74025e-15
-125.891       -1.45299e-15
-119.791       -1.25357
-108.09       1.62724e-15
-106.971       -0.0667922
-106.584       1.48825e-15
-106.58       7.22287e-16
-106.518       -1.24191e-16
-106.077       -9.3848e-16
-105.73       5.40037e-16
-105.687       1.57175e-15
-105.605       7.38378e-16
-105.59       0.119338
-105.449       9.98424e-16
-105.359       2.91857e-15
-105.273       -0.103679
-105.238       1.90045e-15
-105.033       2.85001e-15
-104.963       2.22645e-15
-104.801       3.21564e-15
-104.685       2.08657e-15
-104.502       -1.37952e-16
-104.445       7.54005e-17
-104.355       -5.73483e-18
-104.229       -1.04205e-15
-104.101       6.09311e-16
-102.781       2.27112e-15
-102.681       9.03903e-16
-102.639       6.28581e-17
-102.427       -3.76994e-15
-102.361       0.178992
-102.283       -1.06758e-14
-102.083       2.63522e-15
-101.988       1.71904e-15
-101.827       6.35652e-15
-101.783       -0.483435
-101.758       1.81331e-14
-101.586       9.80725e-15
-101.507       4.49177e-14
-101.407       2.64622e-14
-101.357       2.69365e-14
-101.093       2.70184e-14
-101.079       0.719033
-101.003       -2.56879e-14
-100.38       -1.00974e-14
-100.332       -2.60225e-14
-99.6577       -0.437733
-99.2013       -6.75404e-15
-99.0706       -4.1794e-16
-99.0638       -5.81274e-16
-98.9795       -1.48105e-15
-98.8645       -2.22905e-15
-98.5235       1.11629e-14
-98.224       8.77157e-16
-98.2098       0.342617
-97.8815       -1.23199
-97.4733       -1.59527e-14
-97.3868       -2.2693e-14
-97.2057       0.0958758
-97.1133       -6.0344e-15
-97.0115       -0.665832
-95.8512       1.17605e-15
-95.8204       -1.17115e-14
-95.6029       -3.0013e-15
-95.4091       -2.03226e-15
-95.1544       4.60318e-16
-94.3648       -8.86835e-15
-94.2729       8.00613e-15
-94.2531       0.284328
-92.8417       1.54798e-15
-92.4407       0.10816
-91.9998       -1.10163e-15
-82.6246       -2.63914


-8.40323       -1.94407e-13
-8.00557       -5.49737
-5.91211       -1.7498e-14
-4.21638       5.53762
5.77295       2.69499e-15
5.99338       -3.57667e-13
6.10637       3.50181e-13
6.31151       -0.952995
6.40891       1.07057
6.5312       -7.64804e-13
6.85268       -3.43024e-15
6.94001       0.615765
7.17778       3.14142e-15
7.3458       9.03558e-16
7.36268       8.49771e-15
7.52054       -5.84584e-17
7.71415       6.3161e-15
7.93811       1.726e-14
8.21177       2.62342e-14
8.24997       -0.614185
8.44028       1.15943
8.6741       3.36676e-14
9.00071       4.65064e-15
9.46045       6.57793e-15
9.68172       -1.1418
9.90281       -2.15499e-14
10.1613       0.66514
10.3058       1.67738e-14
10.9037       -0.658898
11.3302       1.92261
11.4382       8.60712e-14
11.8256       -1.48977
11.979       0.455041
12.3886       1.48656e-14
13.0692       -2.05759
13.122       -1.06031e-13
13.803       -1.56628e-14
14.2853       0.373227
14.7056       -0.857482
15.1748       0.922599
15.4221       -0.371831
15.6095       -2.28536e-14
16.3087       -5.13856e-15
16.6927       0.151283
17.5113       1.62312e-15
17.9989       3.1218e-15
18.6006       -0.106932
18.8259       1.2008
19.3658       3.76688e-15
20.1482       -3.87835e-16
21.1791       4.12643e-16
21.4422       -1.15351e-16
23.0194       -1.05847
23.8897       -4.38506e-15
24.1258       -5.40976e-15
25.3351       -5.07598e-16
25.5583       -1.63695e-15
27.2352       8.1212e-17
29.1952       -3.79615e-14
29.7943       4.2646
30.801       1.7602e-14
31.362       -4.41856
31.5201       -1.83869e-13
32.8937       3.36336
38.1509       4.88715e-11
38.866       -0.0869744
39.1181       1.2009
39.879       -0.951963
40.9496       0.634064
