#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 1.61057 fm^-1 (group = 2)     and E_F = -52.0162 MeV
#
#   Sigma^{infty} = -24.1367 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-167.971      -31.3768       1.50137            1.61057
-167.271      -31.3271       1.94292            1.61057
-166.571      -31.2645       2.15877            1.61057
-165.871      -31.1288       2.32852            1.61057
-165.171      -31.1955       2.13319            1.61057
-164.471      -31.7998       2.1294            1.61057
-163.771      -32.6384       2.67808            1.61057
-163.071      -33.4165       4.07522            1.61057
-162.371      -33.1104       6.70022            1.61057
-161.671      -29.8127       8.64488            1.61057
-160.971      -26.6533       6.72431            1.61057
-160.271      -26.3453       4.26971            1.61057
-159.571      -27.1193       2.95732            1.61057
-158.871      -28.0121       2.55769            1.61057
-158.171      -28.5886       2.87381            1.61057
-157.471      -28.2009       3.38862            1.61057
-156.771      -27.4554       2.786            1.61057
-156.071      -27.6174       1.85724            1.61057
-155.371      -28.1496       1.33066            1.61057
-154.671      -28.7052       1.0836            1.61057
-153.971      -29.2308       0.998154            1.61057
-153.271      -29.726       1.04338            1.61057
-152.571      -30.1437       1.24446            1.61057
-151.871      -30.2956       1.5175            1.61057
-151.171      -30.3082       1.44848            1.61057
-150.471      -30.6522       1.24223            1.61057
-149.771      -31.1894       1.20751            1.61057
-149.071      -31.7929       1.35807            1.61057
-148.371      -32.3973       1.72932            1.61057
-147.671      -32.8258       2.30691            1.61057
-146.971      -33.1149       2.84591            1.61057
-146.271      -33.3299       3.63791            1.61057
-145.571      -32.8612       4.24525            1.61057
-144.871      -32.6399       4.00395            1.61057
-144.171      -33.2429       3.73862            1.61057
-143.471      -34.3521       4.15867            1.61057
-142.771      -35.2207       5.38315            1.61057
-142.071      -35.6608       6.80949            1.61057
-141.371      -35.9919       8.88877            1.61057
-140.671      -34.5538       11.6878            1.61057
-139.971      -31.7911       12.0581            1.61057
-139.271      -31.1008       11.6129            1.61057
-138.571      -30.7631       12.5096            1.61057
-137.871      -29.1068       13.8696            1.61057
-137.171      -26.7139       14.3607            1.61057
-136.471      -23.9614       13.4572            1.61057
-135.771      -22.5399       12.1117            1.61057
-135.071      -20.4166       10.5837            1.61057
-134.371      -19.6784       7.31344            1.61057
-133.671      -20.8256       4.93707            1.61057
-132.971      -22.2855       3.77773            1.61057
-132.271      -23.5651       3.37622            1.61057
-131.571      -24.5392       3.40503            1.61057
-130.871      -25.2421       3.80036            1.61057
-130.171      -25.246       4.33322            1.61057
-129.471      -25.1044       4.33615            1.61057
-128.771      -24.9902       4.63109            1.61057
-128.071      -24.0238       4.4299            1.61057
-127.371      -23.7688       3.16763            1.61057
-126.671      -24.3747       2.22263            1.61057
-125.971      -25.1791       1.74509            1.61057
-125.271      -25.9883       1.56596            1.61057
-124.571      -26.7925       1.59913            1.61057
-123.871      -27.6193       1.86123            1.61057
-123.171      -28.4504       2.48714            1.61057
-122.471      -28.9887       3.71417            1.61057
-121.771      -28.4317       5.10675            1.61057
-121.071      -27.6691       5.4266            1.61057
-120.371      -27.4867       6.3327            1.61057
-119.671      -25.4114       7.69967            1.61057
-118.971      -22.667       6.10571            1.61057
-118.271      -22.4068       3.68418            1.61057
-117.571      -23.1259       2.28714            1.61057
-116.871      -23.8939       1.55961            1.61057
-116.171      -24.5521       1.15594            1.61057
-115.471      -25.106       0.914465            1.61057
-114.771      -25.5816       0.761164            1.61057
-114.071      -26.001       0.659871            1.61057
-113.371      -26.3806       0.591646            1.61057
-112.671      -26.7325       0.546022            1.61057
-111.971      -27.0659       0.517072            1.61057
-111.271      -27.3881       0.501576            1.61057
-110.571      -27.7051       0.498244            1.61057
-109.871      -28.0222       0.507575            1.61057
-109.171      -28.3421       0.531087            1.61057
-108.471      -28.6677       0.566213            1.61057
-107.771      -29.0108       0.616294            1.61057
-107.071      -29.3676       0.691037            1.61057
-106.371      -29.7469       0.772163            1.61057
-105.671      -30.1952       0.880987            1.61057
-104.971      -30.7231       1.06897            1.61057
-104.271      -31.3388       1.39411            1.61057
-103.571      -32.0328       1.97895            1.61057
-102.871      -32.6336       3.0444            1.61057
-102.171      -32.5327       4.56771            1.61057
-101.471      -31.5475       5.56714            1.61057
-100.771      -30.4965       5.83162            1.61057
-100.071      -29.9501       5.51932            1.61057
-99.3707      -29.7155       5.62134            1.61057
-98.6707      -29.3657       5.41895            1.61057
-97.9707      -29.6233       5.64513            1.61057
-97.2707      -28.9351       6.69646            1.61057
-96.5707      -26.8974       6.46426            1.61057
-95.8707      -26.0666       4.50528            1.61057
-95.1707      -26.6745       3.05182            1.61057
-94.4707      -27.4697       2.32955            1.61057
-93.7707      -28.2187       1.84946            1.61057
-93.0707      -29.02       1.54701            1.61057
-92.3707      -29.8227       1.40658            1.61057
-91.6707      -30.6195       1.37177            1.61057
-90.9707      -31.4332       1.41287            1.61057
-90.2707      -32.2916       1.52166            1.61057
-89.5707      -33.2243       1.70467            1.61057
-88.8707      -34.259       1.97985            1.61057
-88.1707      -35.4292       2.36034            1.61057
-87.4707      -36.8239       2.8826            1.61057
-86.7707      -38.5383       3.67312            1.61057
-86.0707      -40.6686       4.92764            1.61057
-85.3707      -43.3265       7.02722            1.61057
-84.6707      -46.4515       10.7768            1.61057
-84.5507      -46.9863       11.6807            1.61057
-84.4307      -47.4975       12.6813            1.61057
-84.3107      -47.9698       13.7844            1.61057
-84.1907      -48.3851       14.9928            1.61057
-84.0707      -48.7223       16.3047            1.61057
-83.9507      -48.9596       17.7115            1.61057
-83.8307      -49.077       19.1969            1.61057
-83.7107      -49.0607       20.7368            1.61057
-83.5907      -48.9079       22.3023            1.61057
-83.4707      -48.6297       23.8659            1.61057
-83.3507      -48.2514       25.4096            1.61057
-83.2307      -47.8057       26.9336            1.61057
-83.1107      -47.3227       28.4606            1.61057
-82.9907      -46.817       30.0336            1.61057
-82.8707      -46.2771       31.707            1.61057
-82.7507      -45.6608       33.5346            1.61057
-82.6307      -44.8957       35.5554            1.61057
-82.5107      -43.8839       37.7812            1.61057
-82.3907      -42.5118       40.1855            1.61057
-82.2707      -40.6638       42.6943            1.61057
-82.1507      -38.2411       45.1808            1.61057
-82.0307      -35.1863       47.468            1.61057
-81.9107      -31.5097       49.3437            1.61057
-81.7907      -27.3089       50.5924            1.61057
-81.6707      -22.7707       51.0376            1.61057
-81.5507      -18.1479       50.5851            1.61057
-81.4307      -13.7135       49.2474            1.61057
-81.3107      -9.70803       47.1396            1.61057
-81.1907      -6.29955       44.4477            1.61057
-81.0707      -3.56842       41.3856            1.61057
-80.9507      -1.51569       38.1551            1.61057
-80.8307      -0.0856118       34.9213            1.61057
-80.7107      0.808972       31.8035            1.61057
-80.5907      1.26564       28.8774            1.61057
-80.4707      1.37845       26.1833            1.61057
-80.3507      1.23048       23.7358            1.61057
-80.2307      0.891033       21.5324            1.61057
-80.1107      0.415661       19.5603            1.61057
-79.9907      -0.152344       17.8014            1.61057
-79.8707      -0.779994       16.2353            1.61057
-79.7507      -1.44259       14.8416            1.61057
-79.6307      -2.12193       13.6006            1.61057
-79.5107      -2.80481       12.4943            1.61057
-79.3907      -3.48181       11.5065            1.61057
-79.2707      -4.14637       10.6227            1.61057
-79.1507      -4.79402       9.8302            1.61057
-79.0307      -5.42188       9.11795            1.61057
-78.9107      -6.02819       8.47624            1.61057
-78.7907      -6.61206       7.89669            1.61057
-78.6707      -7.17316       7.37198            1.61057
-78.5507      -7.71162       6.89577            1.61057
-78.4307      -8.22783       6.46255            1.61057
-78.3107      -8.72243       6.06751            1.61057
-78.1907      -9.19615       5.70648            1.61057
-78.0707      -9.64982       5.37579            1.61057
-77.9507      -10.0843       5.07225            1.61057
-77.8307      -10.5005       4.79305            1.61057
-77.7107      -10.8993       4.53574            1.61057
-77.5907      -11.2816       4.29812            1.61057
-77.4707      -11.6482       4.0783            1.61057
-77.3507      -11.9999       3.87458            1.61057
-77.2307      -12.3376       3.68545            1.61057
-77.1107      -12.6618       3.50957            1.61057
-76.9907      -12.9735       3.34575            1.61057
-76.8707      -13.2732       3.19294            1.61057
-76.7507      -13.5615       3.05018            1.61057
-76.6307      -13.839       2.91662            1.61057
-76.5107      -14.1064       2.7915            1.61057
-76.3907      -14.3641       2.67412            1.61057
-76.2707      -14.6126       2.56386            1.61057
-76.1507      -14.8525       2.46018            1.61057
-76.0307      -15.0841       2.36255            1.61057
-75.9107      -15.3078       2.27052            1.61057
-75.7907      -15.524       2.18367            1.61057
-75.6707      -15.7332       2.10162            1.61057
-75.5507      -15.9356       2.02403            1.61057
-75.4307      -16.1316       1.95057            1.61057
-75.3107      -16.3214       1.88097            1.61057
-75.1907      -16.5054       1.81496            1.61057
-75.0707      -16.6838       1.75229            1.61057
-74.9507      -16.8569       1.69274            1.61057
-74.8307      -17.025       1.63611            1.61057
-74.7107      -17.1881       1.58221            1.61057
-74.5907      -17.3467       1.53087            1.61057
-74.4707      -17.5007       1.48193            1.61057
