#
#
#   Lonertzian-smoothed self-energy (both particle and hole)
#
#   k = 0.805283 fm^-1 (group = 1)     and E_F = -42.5769 MeV
#
#   Sigma^{infty} = -83.3033 MeV
#
#
#    E               Re \Sig(k,E)       Im \Sig(k,E)             k 

-253.243      -89.5172       0.0453659            0.805283
-252.543      -89.5512       0.04619            0.805283
-251.843      -89.5857       0.0470445            0.805283
-251.143      -89.6208       0.0479313            0.805283
-250.443      -89.6564       0.0488529            0.805283
-249.743      -89.6926       0.0498116            0.805283
-249.043      -89.7294       0.0508105            0.805283
-248.343      -89.7669       0.0518526            0.805283
-247.643      -89.805       0.0529416            0.805283
-246.943      -89.8438       0.0540816            0.805283
-246.243      -89.8833       0.0552772            0.805283
-245.543      -89.9236       0.0565337            0.805283
-244.843      -89.9646       0.0578571            0.805283
-244.143      -90.0065       0.0592545            0.805283
-243.443      -90.0493       0.060734            0.805283
-242.743      -90.0929       0.0623052            0.805283
-242.043      -90.1376       0.0639793            0.805283
-241.343      -90.1833       0.0657695            0.805283
-240.643      -90.2301       0.0676919            0.805283
-239.943      -90.2781       0.0697656            0.805283
-239.243      -90.3275       0.0720141            0.805283
-238.543      -90.3781       0.0744663            0.805283
-237.843      -90.4304       0.077158            0.805283
-237.143      -90.4842       0.0801345            0.805283
-236.443      -90.54       0.0834535            0.805283
-235.743      -90.5977       0.0871901            0.805283
-235.043      -90.6578       0.0914427            0.805283
-234.343      -90.7205       0.096344            0.805283
-233.643      -90.7862       0.102075            0.805283
-232.943      -90.8554       0.10889            0.805283
-232.243      -90.9288       0.117155            0.805283
-231.543      -91.0072       0.127411            0.805283
-230.843      -91.0917       0.140489            0.805283
-230.143      -91.1841       0.157717            0.805283
-229.443      -91.2864       0.181317            0.805283
-228.743      -91.4019       0.215221            0.805283
-228.043      -91.535       0.266856            0.805283
-227.343      -91.6911       0.351316            0.805283
-226.643      -91.8724       0.501532            0.805283
-225.943      -92.0521       0.790023            0.805283
-225.243      -92.0539       1.31983            0.805283
-224.543      -91.4453       1.79131            0.805283
-223.843      -90.7579       1.41963            0.805283
-223.143      -90.7152       0.875288            0.805283
-222.443      -90.9079       0.577685            0.805283
-221.743      -91.1216       0.437021            0.805283
-221.043      -91.319       0.378048            0.805283
-220.343      -91.4919       0.368754            0.805283
-219.643      -91.6319       0.373663            0.805283
-218.943      -91.78       0.365735            0.805283
-218.243      -91.9536       0.380621            0.805283
-217.543      -92.1357       0.420288            0.805283
-216.843      -92.348       0.483866            0.805283
-216.143      -92.6041       0.612619            0.805283
-215.443      -92.8973       0.868903            0.805283
-214.743      -93.1642       1.38203            0.805283
-214.043      -93.0438       2.29966            0.805283
-213.343      -91.8665       2.91274            0.805283
-212.643      -90.8513       2.13756            0.805283
-211.943      -90.8448       1.28187            0.805283
-211.243      -91.1324       0.823907            0.805283
-210.543      -91.427       0.592777            0.805283
-209.843      -91.6865       0.467842            0.805283
-209.143      -91.9181       0.396679            0.805283
-208.443      -92.1308       0.357668            0.805283
-207.743      -92.3321       0.340343            0.805283
-207.043      -92.5284       0.341431            0.805283
-206.343      -92.7247       0.364448            0.805283
-205.643      -92.9204       0.423343            0.805283
-204.943      -93.0875       0.546338            0.805283
-204.243      -93.117       0.708723            0.805283
-203.543      -93.0329       0.677073            0.805283
-202.843      -93.1176       0.516913            0.805283
-202.143      -93.3079       0.419214            0.805283
-201.443      -93.5173       0.375498            0.805283
-200.743      -93.7283       0.359171            0.805283
-200.043      -93.9408       0.357362            0.805283
-199.343      -94.1577       0.364473            0.805283
-198.643      -94.3819       0.378087            0.805283
-197.943      -94.616       0.39727            0.805283
-197.243      -94.8628       0.421897            0.805283
-196.543      -95.1254       0.452386            0.805283
-195.843      -95.4072       0.489629            0.805283
-195.143      -95.712       0.535034            0.805283
-194.443      -96.0448       0.59067            0.805283
-193.743      -96.4117       0.659535            0.805283
-193.043      -96.8205       0.746023            0.805283
-192.343      -97.2817       0.856728            0.805283
-191.643      -97.8091       1.00189            0.805283
-190.943      -98.4217       1.19809            0.805283
-190.243      -99.1452       1.47354            0.805283
-189.543      -100.012       1.87668            0.805283
-188.843      -101.067       2.48705            0.805283
-188.143      -102.383       3.48105            0.805283
-187.443      -103.955       5.27646            0.805283
-186.743      -105.28       8.68734            0.805283
-186.043      -103.991       14.0395            0.805283
-185.343      -98.5273       16.7188            0.805283
-184.643      -94.521       15.9531            0.805283
-183.943      -90.9937       14.1298            0.805283
-183.243      -89.68       10.7547            0.805283
-182.543      -90.6081       8.23676            0.805283
-181.843      -92.4754       7.7144            0.805283
-181.143      -93.3214       9.41194            0.805283
-180.443      -90.8302       11.0237            0.805283
-179.743      -88.1032       8.66006            0.805283
-179.043      -88.5351       5.77776            0.805283
-178.343      -90.0726       4.40016            0.805283
-177.643      -91.5935       4.17832            0.805283
-176.943      -92.5579       4.82825            0.805283
-176.243      -92.3865       5.58593            0.805283
-175.543      -91.8692       5.35809            0.805283
-174.843      -91.8345       4.85963            0.805283
-174.143      -92.0416       4.34143            0.805283
-173.443      -92.342       3.8357            0.805283
-172.743      -93.0583       3.24006            0.805283
-172.043      -94.1407       3.12493            0.805283
-171.343      -95.1033       3.62338            0.805283
-170.643      -95.325       4.37147            0.805283
-169.943      -95.3246       4.22441            0.805283
-169.243      -96.3109       3.99754            0.805283
-168.543      -97.7715       4.59248            0.805283
-167.843      -99.2361       6.32996            0.805283
-167.143      -99.4937       9.85918            0.805283
-166.443      -95.5665       13.059            0.805283
-165.743      -91.2248       10.6094            0.805283
-165.043      -91.3242       7.24242            0.805283
-164.343      -93.0149       5.85928            0.805283
-163.643      -94.7532       6.09138            0.805283
-162.943      -95.4282       7.72725            0.805283
-162.243      -93.8902       8.6385            0.805283
-161.543      -93.2966       7.36042            0.805283
-160.843      -94.2544       7.06664            0.805283
-160.143      -94.2486       7.91223            0.805283
-159.443      -93.5351       7.50059            0.805283
-158.743      -94.1167       6.96309            0.805283
-158.043      -94.4457       7.47202            0.805283
-157.343      -94.0799       7.32989            0.805283
-156.643      -94.5112       6.85834            0.805283
-155.943      -95.3634       6.90663            0.805283
-155.243      -96.3534       7.67377            0.805283
-154.543      -96.382       9.65781            0.805283
-153.843      -94.3093       10.3569            0.805283
-153.143      -93.7726       9.27321            0.805283
-152.443      -94.0333       9.52062            0.805283
-151.743      -92.769       10.1739            0.805283
-151.043      -91.0346       8.42973            0.805283
-150.343      -91.7651       6.03759            0.805283
-149.643      -93.59       4.92783            0.805283
-148.943      -95.5446       4.79425            0.805283
-148.243      -97.5664       5.46615            0.805283
-147.543      -99.4345       7.31889            0.805283
-146.843      -100.166       10.7648            0.805283
-146.143      -97.1261       14.7146            0.805283
-145.443      -91.9074       13.1687            0.805283
-144.743      -91.485       9.0852            0.805283
-144.043      -93.5652       7.03499            0.805283
-143.343      -96.1448       6.75463            0.805283
-142.643      -98.7851       8.14263            0.805283
-141.943      -100.576       11.9208            0.805283
-141.243      -97.9642       17.6983            0.805283
-140.543      -90.2808       17.6689            0.805283
-139.843      -87.8565       12.2018            0.805283
-139.143      -89.4437       9.13901            0.805283
-138.443      -90.7213       8.67723            0.805283
-137.743      -90.2577       7.96817            0.805283
-137.043      -90.716       5.86711            0.805283
-136.343      -92.3799       4.40392            0.805283
-135.643      -94.2543       3.71652            0.805283
-134.943      -96.1149       3.48969            0.805283
-134.243      -97.9966       3.58259            0.805283
-133.543      -99.9842       3.99263            0.805283
-132.843      -102.17       4.84771            0.805283
-132.143      -104.596       6.49354            0.805283
-131.443      -106.937       9.68521            0.805283
-130.743      -107.323       15.2198            0.805283
-130.043      -102.118       20.0748            0.805283
-129.343      -96.0971       17.1354            0.805283
-128.643      -96.6976       12.4979            0.805283
-127.943      -100.131       11.1149            0.805283
-127.243      -103.761       12.9889            0.805283
-126.543      -105.089       18.3161            0.805283
-125.843      -100.135       22.9217            0.805283
-125.143      -95.1011       20.8831            0.805283
-124.443      -93.2329       17.7206            0.805283
-123.743      -93.8353       13.7658            0.805283
-123.043      -97.0561       11.6783            0.805283
-122.343      -100.376       12.0725            0.805283
-121.643      -102.541       13.3336            0.805283
-120.943      -105.021       14.646            0.805283
-120.243      -107.904       17.5385            0.805283
-119.543      -109.978       22.8174            0.805283
-118.843      -108.159       30.9795            0.805283
-118.143      -98.619       34.6074            0.805283
-117.443      -93.6857       29.3937            0.805283
-116.743      -94.5771       26.8953            0.805283
-116.043      -94.8758       26.6595            0.805283
-115.343      -95.5939       27.8312            0.805283
-114.643      -92.2784       30.2739            0.805283
-113.943      -88.0993       26.5717            0.805283
-113.243      -89.2669       22.1808            0.805283
-112.543      -91.7648       19.2998            0.805283
-112.423      -92.4058       18.8131            0.805283
-112.303      -93.1411       18.3662            0.805283
-112.183      -93.9669       17.9792            0.805283
-112.063      -94.8741       17.6687            0.805283
-111.943      -95.851       17.4463            0.805283
-111.823      -96.8854       17.3202            0.805283
-111.703      -97.9659       17.2952            0.805283
-111.583      -99.082       17.3744            0.805283
-111.463      -100.225       17.5597            0.805283
-111.343      -101.386       17.8524            0.805283
-111.223      -102.558       18.2539            0.805283
-111.103      -103.736       18.7656            0.805283
-110.983      -104.913       19.3893            0.805283
-110.863      -106.085       20.1279            0.805283
-110.743      -107.246       20.9855            0.805283
-110.623      -108.392       21.9688            0.805283
-110.503      -109.515       23.0873            0.805283
-110.383      -110.607       24.3538            0.805283
-110.263      -111.652       25.7833            0.805283
-110.143      -112.627       27.3922            0.805283
-110.023      -113.498       29.1952            0.805283
-109.903      -114.222       31.2012            0.805283
-109.783      -114.742       33.4085            0.805283
-109.663      -114.992       35.7977            0.805283
-109.543      -114.903       38.3249            0.805283
-109.423      -114.408       40.915            0.805283
-109.303      -113.461       43.4594            0.805283
-109.183      -112.054       45.8204            0.805283
-109.063      -110.232       47.8472            0.805283
-108.943      -108.106       49.403            0.805283
-108.823      -105.844       50.397            0.805283
-108.703      -103.644       50.8101            0.805283
-108.583      -101.699       50.7034            0.805283
-108.463      -100.161       50.2047            0.805283
-108.343      -99.1183       49.48            0.805283
-108.223      -98.597       48.7021            0.805283
-108.103      -98.5686       48.0275            0.805283
-107.983      -98.9694       47.5839            0.805283
-107.863      -99.7165       47.4683            0.805283
-107.743      -100.719       47.7514            0.805283
-107.623      -101.883       48.4832            0.805283
-107.503      -103.116       49.6991            0.805283
-107.383      -104.322       51.4236            0.805283
-107.263      -105.402       53.6714            0.805283
-107.143      -106.248       56.4464            0.805283
-107.023      -106.746       59.738            0.805283
-106.903      -106.769       63.5161            0.805283
-106.783      -106.184       67.7247            0.805283
-106.663      -104.853       72.2755            0.805283
-106.543      -102.642       77.0404            0.805283
-106.423      -99.4285       81.8437            0.805283
-106.303      -95.1197       86.4548            0.805283
-106.183      -89.6789       90.5861            0.805283
-106.063      -83.1609       93.9054            0.805283
-105.943      -75.7449       96.0741            0.805283
-105.823      -67.7474       96.8077            0.805283
-105.703      -59.5954       95.9465            0.805283
-105.583      -51.7591       93.5029            0.805283
-105.463      -44.6651       89.6656            0.805283
-105.343      -38.6232       84.7537            0.805283
-105.223      -33.7925       79.1446            0.805283
-105.103      -30.1893       73.2032            0.805283
-104.983      -27.7239       67.2345            0.805283
-104.863      -26.2444       61.4628            0.805283
-104.743      -25.5761       56.0334            0.805283
-104.623      -25.5475       51.0262            0.805283
-104.503      -26.0058       46.4725            0.805283
-104.383      -26.8224       42.3708            0.805283
-104.263      -27.8939       38.6998            0.805283
-104.143      -29.1394       35.4276            0.805283
-104.023      -30.497       32.5176            0.805283
-103.903      -31.9205       29.9326            0.805283
-103.783      -33.3757       27.637            0.805283
-103.663      -34.8378       25.598            0.805283
-103.543      -36.2891       23.786            0.805283
-103.423      -37.7172       22.175            0.805283
-103.303      -39.1136       20.7422            0.805283
-103.183      -40.4727       19.4679            0.805283
-103.063      -41.791       18.3351            0.805283
-102.943      -43.0663       17.3295            0.805283
-102.823      -44.2973       16.4387            0.805283
-102.703      -45.4834       15.6527            0.805283
-102.583      -46.6239       14.9629            0.805283
-102.463      -47.7181       14.3622            0.805283
-102.343      -48.7649       13.8446            0.805283
-102.223      -49.7625       13.4054            0.805283
-102.103      -50.708       13.04            0.805283
-101.983      -51.5976       12.744            0.805283
-101.863      -52.426       12.5127            0.805283
-101.743      -53.1867       12.3397            0.805283
-101.623      -53.8725       12.2166            0.805283
-101.503      -54.4761       12.1316            0.805283
-101.383      -54.9922       12.0694            0.805283
-101.263      -55.4191       12.0109            0.805283
-101.143      -55.761       11.935            0.805283
-101.023      -56.0301       11.8213            0.805283
-100.903      -56.2456       11.6542            0.805283
-100.783      -56.4316       11.426            0.805283
-100.663      -56.6126       11.139            0.805283
-100.543      -56.8087       10.8044            0.805283
-100.423      -57.0325       10.4384            0.805283
-100.303      -57.288       10.0588            0.805283
-100.183      -57.5723       9.6803            0.805283
-100.063      -57.8779       9.31322            0.805283
-99.9434      -58.1953       8.96215            0.805283
-99.8234      -58.5163       8.62672            0.805283
-99.7034      -58.835       8.30299            0.805283
-99.5834      -59.1496       7.98549            0.805283
-99.4634      -59.4616       7.66924            0.805283
-99.3434      -59.7751       7.35145            0.805283
-99.2234      -60.095       7.03221            0.805283
-99.1034      -60.4253       6.71416            0.805283
-98.9834      -60.7681       6.40145            0.805283
-98.8634      -61.1235       6.09853            0.805283
-98.7434      -61.4899       5.8092            0.805283
-98.6234      -61.8647       5.53612            0.805283
-98.5034      -62.2447       5.28074            0.805283
-98.3834      -62.627       5.04347            0.805283
-98.2634      -63.009       4.82395            0.805283
-98.1434      -63.3887       4.62132            0.805283
-98.0234      -63.7643       4.43443            0.805283
-97.9034      -64.1345       4.26201            0.805283
-97.7834      -64.4987       4.10278            0.805283
-97.6634      -64.8561       3.95549            0.805283
