#
#
#   poles of the irreducible self-energy (both particle and hole)
#
#   k = 1.80067 fm^-1      and E_F = -52.0162 MeV
#
#
#    E              |M_kE|^2

-261.96       -1.19844e-15
-260.98       -0.0637648
-260.864       -5.42525e-16
-260.001       8.47561e-15
-258.233       -3.26503e-15
-257.603       0.473185
-256.704       9.66096e-15
-255.416       -0.0501605
-254.049       0.0782311
-234.216       4.52023e-18
-232.802       -0.105894
-232.433       2.11378e-17
-231.326       5.08337e-15
-230.206       -1.00228e-14
-229.769       0.628248
-228.253       -0.0793069
-228.203       -2.12938e-15
-227.315       -1.55294e-15
-226.968       -9.99094e-16
-226.501       0.147029
-226.176       9.39033e-16
-226.019       -0.213523
-225.712       0.217764
-225.649       1.03328e-14
-225.611       2.29976e-15
-225.331       6.56834e-15
-225.259       -0.164793
-225.239       -8.56625e-14
-225.091       -6.8053e-15
-224.91       -8.11266e-15
-224.646       4.50785e-15
-224.491       0.0796193
-224.307       -1.1134e-14
-224.266       -0.186207
-223.88       4.10428e-15
-223.67       0.392783
-223.596       -1.37313e-14
-223.183       -1.47445e-15
-222.781       -3.86551e-15
-222.14       -3.52003e-15
-221.885       -0.252818
-221.551       7.00895e-14
-221.461       0.737244
-220.653       -0.529414
-220.366       0.617062
-220.233       -0.19758
-219.348       0.537575
-218.788       -0.15396
-218.188       -0.402573
-217.985       0.578426
-217.568       -0.335082
-216.774       0.0713213
-216.698       0.405829
-216.424       0.149535
-216.356       0.305506
-216.162       -0.0648375
-216.133       -0.294023
-215.947       -0.154036
-215.788       -0.148841
-215.491       0.27602
-215.365       0.121052
-215.006       0.0485855
-214.673       0.0206496
-214.477       -0.106022
-214.444       -0.214147
-213.592       -0.178524
-212.775       0.38521
-212.517       -0.0846093
-212.203       -0.597868
-212.121       -0.312502
-211.528       0.407593
-211.398       0.233462
-210.647       -0.195449
-210.483       -0.17901
-210.365       -0.114548
-209.98       0.362349
-209.523       0.491126
-209.159       -0.549918
-209.141       -1.14442
-208.614       -0.211828
-208.285       0.715888
-207.203       -0.185909
-206.566       0.494366
-204.996       -0.070631
-203.92       0.0130759
-203.739       -3.19822e-15
-202.798       -0.249533
-202.407       0.13973
-201.574       -0.00368956
-200.957       -1.69301e-15
-198.74       -5.02703e-15
-198.396       -2.97919e-15
-197.967       0.560724
-197.346       1.40348e-15
-195.75       1.13156e-15
-195.358       4.03891e-16
-194.921       -0.161133
-192.961       -0.0356553
-188.921       1.08177e-10
-188.908       0.434346
-188.201       -0.117533
-187.952       0.383843
-187.48       -0.473298
-187.257       -0.0804645
-186.568       0.342825
-184.783       0.224777
-184.457       -0.939294
-184.226       -1.37207
-183.15       0.444928
-182.777       0.07565
-182.498       -0.324585
-182.127       -0.63057
-181.442       0.730629
-181.353       0.505943
-180.986       0.964152
-180.643       -1.52097
-180.279       -0.242895
-179.815       -0.746773
-179.241       0.169215
-178.439       0.852658
-178.104       -1.67987
-177.477       -0.256106
-176.917       -0.494304
-176.672       -0.495254
-176.351       0.652208
-175.748       0.585635
-175.235       -0.197789
-174.495       -0.465149
-174.054       0.630619
-173.823       0.203085
-173.289       0.268638
-172.655       -0.118392
-172.231       -0.272425
-171.644       -0.336881
-171.1       0.499841
-170.447       -0.625207
-168.695       -2.98817e-06
-167.784       -0.460536
-167.178       0.97416
-165.545       -0.00573386
-164.462       -0.181684
-163.912       0.526037
-163.452       0.247497
-163.205       0.248263
-162.819       -0.475766
-162.51       -0.499193
-161.885       0.469254
-161.446       0.504839
-160.681       0.676804
-160.261       -0.63993
-159.49       -0.294016
-158.972       0.405012
-158.537       0.640672
-158.064       0.671428
-157.482       -0.748688
-157.067       -0.89003
-156.468       0.900103
-156.13       0.887
-155.705       0.312086
-155.017       -0.523226
-154.764       -0.319895
-153.847       0.69394
-153.271       1.21719
-153.055       -0.933471
-152.795       -0.418017
-152.146       -0.158852
-151.966       -0.53044
-151.628       0.565917
-150.975       0.329789
-150.202       -0.737133
-149.975       -0.542294
-149.94       -0.0244593
-149.586       -0.706321
-148.842       0.159686
-148.751       0.64058
-148.365       -0.348191
-148.174       -0.100881
-147.29       0.0768567
-146.096       -0.159203
-144.514       0.974621
-143.542       -0.263013
-140.63       1.74973
-138.145       -0.686145
-132.06       -1.8964e-15
-131.076       -1.05846e-15
-130.283       -1.1054
-129.913       4.44331e-15
-129.468       0.345802
-128.835       -0.387803
-127.807       0.278642
-125.441       -1.3166
-124.61       0.439118
-124.381       -0.628303
-124.053       -0.762664
-123.891       -0.523859
-123.365       0.976258
-122.591       -1.02758
-122.162       -0.30057
-121.961       2.11539
-121.079       -1.50681
-120.891       -0.439113
-120.744       -0.711377
-120.544       0.435087
-120.287       0.410123
-120.005       0.745591
-119.632       0.936922
-119.399       -0.852726
-119.042       -0.491767
-118.853       -0.946714
-118.513       0.319611
-118.324       0.961494
-118.036       0.578126
-117.418       -0.388049
-117.15       -0.525751
-116.831       -1.24811
-116.618       0.686439
-116.408       0.102478
-116.129       0.265182
-115.694       -1.16333
-115.488       -0.0302466
-115.12       -0.276006
-114.897       -0.392966
-114.852       0.813924
-114.582       0.599213
-114.307       0.500715
-114.026       -0.179423
-113.799       -0.0957662
-113.672       -0.375413
-113.29       0.458659
-113.177       0.116182
-112.582       3.79573e-09
-112.345       -0.661533
-111.949       -0.579301
-111.657       0.173959
-111.015       -0.453186
-110.2       0.194966
-109.989       -0.653098
-109.682       0.74467
-109.426       3.16897e-14
-109.139       -0.80475
-108.187       0.747623
-106.067       -4.87916e-15
-104.799       -0.281185
-103.729       2.67142
-100.875       1.72197
-99.532       -9.48821e-14
-99.2962       -2.46147
-88.7111       1.01404e-15
-87.2057       0.117095
-86.9253       1.95416e-16
-85.5592       -9.89036e-15
-85.2403       -5.63129e-15
-85.019       -8.68267e-15
-84.9334       -1.17669e-15
-84.4915       -0.289437
-84.4135       -3.28733e-16
-84.3597       -3.59096e-15
-84.3073       -3.07628e-15
-84.1888       0.157921
-84.1835       -8.35095e-16
-84.1668       -1.16049e-15
-84.0169       -2.13128e-15
-83.9033       -1.16982e-14
-83.8511       -2.02447e-15
-83.7171       -0.501241
-83.7132       -4.55772e-15
-83.7047       -7.89305e-15
-83.5992       -1.34966e-14
-83.5386       -1.98145e-14
-83.4243       -6.11476e-15
-83.4138       -3.31765e-15
-83.3616       -9.70135e-15
-83.0355       -1.04786e-14
-82.915       1.42426e-16
-82.7082       -1.17615e-14
-82.6023       -1.20043e-14
-82.5984       -1.67661e-14
-81.8235       0.886269
-81.6558       -2.48074e-14
-81.4019       -1.21579e-14
